cell_id,condition,family,inheritance_mode,fidelity,penalty,calibration_condition,n_agents,auc,auc_lo,auc_hi
A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,0.7,6.0,C1,4783,0.7798872219890894,0.7694126652424695,0.7896176625823593
A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,0.7,6.0,C1,5052,0.7606409054862664,0.7464940951867329,0.773878300427795
A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,0.7,6.0,C1,5026,0.7699692860608501,0.7583203104427045,0.7809065688116656
A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,0.9,6.0,C1,4677,0.7420713276048401,0.7268924453068986,0.7563537409971475
A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,0.9,6.0,C1,4959,0.7317900411212035,0.7174920307826274,0.7470221418642213
A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,0.9,6.0,C1,4930,0.7199073239765308,0.7061117251769248,0.7326130863732602
A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1.0,6.0,C1,4629,0.673080054679505,0.6600190462036467,0.6876571720209336
A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1.0,6.0,C1,4856,0.6627847427020966,0.6473355090914188,0.677689372678872
A_f1_move__baldwinian,A_f1_move,A,baldwinian,1.0,6.0,C1,4819,0.651021033166095,0.6368612712207995,0.6649807138576612
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,C1,4812,0.6636349450500457,0.6474252986938236,0.6803258065788832
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,0.7,6.0,C1,5113,0.7575728087304072,0.7451596014372087,0.7701865484538577
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,0.9,6.0,C1,5089,0.7201880646302266,0.7076488756106349,0.7329877307257654
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,C1,5243,0.7850851339499225,0.7752968125888282,0.7954109168305671
A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,0.7,6.0,C4,4783,0.7811961463141698,0.7700349541924731,0.7914858378917049
A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,0.7,6.0,C4,5052,0.7628447527371777,0.7491963406628382,0.7763608096014389
A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,0.7,6.0,C4,5026,0.772105295161652,0.7610323453605722,0.783349008994127
A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,0.9,6.0,C4,4677,0.7467032514898775,0.7325879749265813,0.7618121760300167
A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,0.9,6.0,C4,4959,0.7375767769304843,0.7231617653596016,0.7520282089260445
A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,0.9,6.0,C4,4930,0.7262484363225103,0.7137298619772006,0.7385772794626749
A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1.0,6.0,C4,4629,0.6818874140030329,0.6673279288967244,0.6957702120026461
A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1.0,6.0,C4,4856,0.6731311116256702,0.6579653388678656,0.6882538844521945
A_f1_move__baldwinian,A_f1_move,A,baldwinian,1.0,6.0,C4,4819,0.662112741849028,0.6486280998741993,0.6756652187030641
