cell_id,condition,family,inheritance_mode,n_runs,conditional_onset_fraction,conditional_onset_median_tick_censored,conditional_onset_median_generation,cooperative_onset_fraction,cooperative_onset_median_tick_censored,cooperative_onset_median_generation
A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,30,0.8666666666666667,600.0,1.92,0.0,1550.0,
A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,30,1.0,300.0,1.07,0.0,1550.0,
A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,30,0.7333333333333333,750.0,1.363469387755102,0.0,1550.0,
A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,30,1.0,250.0,1.04,0.0,1550.0,
A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,30,0.9,550.0,1.44,0.0,1550.0,
A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,30,1.0,200.0,1.031111111111111,0.0,1550.0,
A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,30,1.0,200.0,0.94,0.0,1550.0,
A_f0.9_blind__lamarckian,A_f0.9_blind,A,lamarckian,30,1.0,200.0,0.96,0.0,1550.0,
A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,30,1.0,250.0,1.0,0.0,1550.0,
A_f0.9_cells__lamarckian,A_f0.9_cells,A,lamarckian,30,1.0,200.0,0.99,0.0,1550.0,
A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,30,1.0,300.0,0.99,0.0,1550.0,
A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,30,1.0,175.0,0.98,0.0,1550.0,
A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,30,1.0,200.0,0.9757142857142858,0.0,1550.0,
A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,30,1.0,150.0,0.9199999999999999,0.0,1550.0,
A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,30,1.0,250.0,0.9395918367346938,0.0,1550.0,
A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,30,1.0,150.0,0.9,0.0,1550.0,
A_f1_move__baldwinian,A_f1_move,A,baldwinian,30,1.0,200.0,0.98,0.0,1550.0,
A_f1_move__lamarckian,A_f1_move,A,lamarckian,30,1.0,150.0,0.9199999999999999,0.0,1550.0,
C1__baldwinian,C1,C1,baldwinian,30,0.0,1550.0,,0.0,1550.0,
C1__lamarckian,C1,C1,lamarckian,30,0.0,1550.0,,0.0,1550.0,
C2__baldwinian,C2,C2,baldwinian,30,1.0,200.0,0.8987179487179487,0.0,1550.0,
C2__lamarckian,C2,C2,lamarckian,30,1.0,175.0,0.92,0.0,1550.0,
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,30,0.8333333333333334,525.0,1.32,0.0,1550.0,
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,30,1.0,300.0,1.0512765957446808,0.0,1550.0,
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,30,1.0,200.0,0.96,0.0,1550.0,
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,30,1.0,175.0,0.94,0.0,1550.0,
C4__baldwinian,C4,C4,baldwinian,30,0.03333333333333333,1550.0,1.4,0.0,1550.0,
C4__lamarckian,C4,C4,lamarckian,30,0.06666666666666667,1550.0,2.58,0.0,1550.0,
