run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
A_f0.7_blind__baldwinian__s1,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,1,0.06759172986669647,600.0,2.2127659574468086,,
A_f0.7_blind__baldwinian__s2,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,2,0.06759172986669647,500.0,1.5555555555555556,,
A_f0.7_blind__baldwinian__s3,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,3,0.06759172986669647,1200.0,4.52,,
A_f0.7_blind__baldwinian__s4,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,4,0.06759172986669647,1100.0,2.88,,
A_f0.7_blind__baldwinian__s5,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,5,0.06759172986669647,,,,
A_f0.7_blind__baldwinian__s6,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,6,0.06759172986669647,550.0,2.4,,
A_f0.7_blind__baldwinian__s7,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,7,0.06759172986669647,50.0,0.82,,
A_f0.7_blind__baldwinian__s8,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,8,0.06759172986669647,,,,
A_f0.7_blind__baldwinian__s9,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,9,0.06759172986669647,1000.0,3.36,,
A_f0.7_blind__baldwinian__s10,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,10,0.06759172986669647,600.0,1.9,,
A_f0.7_blind__baldwinian__s11,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,11,0.06759172986669647,350.0,1.1,,
A_f0.7_blind__baldwinian__s12,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,12,0.06759172986669647,800.0,1.94,,
A_f0.7_blind__baldwinian__s13,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,13,0.06759172986669647,650.0,2.4285714285714284,,
A_f0.7_blind__baldwinian__s14,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,14,0.06759172986669647,850.0,2.82,,
A_f0.7_blind__baldwinian__s15,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,15,0.06759172986669647,150.0,1.0638297872340423,,
A_f0.7_blind__baldwinian__s16,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,16,0.06759172986669647,450.0,2.217391304347826,,
A_f0.7_blind__baldwinian__s17,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,17,0.06759172986669647,200.0,0.96,,
A_f0.7_blind__baldwinian__s18,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,18,0.06759172986669647,250.0,1.18,,
A_f0.7_blind__baldwinian__s19,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,19,0.06759172986669647,600.0,1.76,,
A_f0.7_blind__baldwinian__s20,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,20,0.06759172986669647,,,,
A_f0.7_blind__baldwinian__s21,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,21,0.06759172986669647,300.0,1.16,,
A_f0.7_blind__baldwinian__s22,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,22,0.06759172986669647,250.0,0.78,,
A_f0.7_blind__baldwinian__s23,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,23,0.06759172986669647,300.0,1.72,,
A_f0.7_blind__baldwinian__s24,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,24,0.06759172986669647,850.0,2.16,,
A_f0.7_blind__baldwinian__s25,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,25,0.06759172986669647,200.0,1.04,,
A_f0.7_blind__baldwinian__s26,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,26,0.06759172986669647,,,,
A_f0.7_blind__baldwinian__s27,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,27,0.06759172986669647,100.0,0.7959183673469388,,
A_f0.7_blind__baldwinian__s28,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,28,0.06759172986669647,850.0,2.24,,
A_f0.7_blind__baldwinian__s29,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,29,0.06759172986669647,1150.0,4.54,,
A_f0.7_blind__baldwinian__s30,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,30,0.06759172986669647,850.0,2.26,,
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,0.05993114113623804,200.0,1.18,,
A_f0.7_blind__lamarckian__s2,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,2,0.05993114113623804,700.0,1.8,,
A_f0.7_blind__lamarckian__s3,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,3,0.05993114113623804,150.0,0.9791666666666666,,
A_f0.7_blind__lamarckian__s4,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,4,0.05993114113623804,150.0,1.125,,
