inheritance_mode,treatment,baseline,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
baldwinian,C2,C1,rate,0.008890710574923206,0.005873932200130387,0.011952234486005112,30,0.9333333333333333,1.0766025636444838
baldwinian,C2,C1,delta_cue,0.07497256178573015,0.06993340656973696,0.07965071949198615,30,1.0,5.471273163758839
baldwinian,C2,C1,delta_true,0.06735057654211088,0.06204236908338622,0.07275265008781549,30,1.0,4.372052689511369
baldwinian,C2,C1,realised_enforcement,-0.11800328378072517,-0.126627807368738,-0.1090489180410305,30,1.0,-4.552588025383905
baldwinian,C2,C1,population_late,0.14666666666666686,-0.35338888888888875,0.6867222222222217,30,0.3333333333333333,0.09856115631267427
baldwinian,C2,C1,eval_heldout_delta_cue,0.046919318262383165,0.009822215823707044,0.08358854880336368,30,0.8,0.447896545223111
baldwinian,C2,C4,rate,0.01705213543833078,0.013890848947216887,0.020444854905615525,30,0.9666666666666667,1.8356249052018712
baldwinian,C2,C4,delta_cue,0.07229619490383526,0.06728571457503739,0.07727836365869054,30,1.0,5.154701873297277
baldwinian,C2,C4,delta_true,0.06922649259125337,0.06429237941308526,0.07455888615658614,30,1.0,4.874648959978169
baldwinian,C2,C4,realised_enforcement,-0.11996856585100393,-0.128217215739299,-0.11118100995302037,30,1.0,-5.154152072257742
baldwinian,C2,C4,population_late,-0.8822222222222222,-1.7867777777777778,-0.1711111111111111,30,0.3,-0.3772658639424898
baldwinian,C2,C4,eval_heldout_delta_cue,0.042073940080436606,0.011835038193662592,0.07580760200123618,30,0.7333333333333333,0.4642268427093477
baldwinian,C1,C4,rate,0.008161424863407573,0.004388716881275116,0.011803350074790863,30,0.8666666666666667,0.7714032867317997
baldwinian,C1,C4,delta_cue,-0.0026763668818948873,-0.0049705971853869985,-0.0003266602718524633,30,0.6333333333333333,-0.3931578545757835
baldwinian,C1,C4,delta_true,0.0018759160491424731,-0.001587709711983138,0.005113263792617544,30,0.5333333333333333,0.19373219878321243
baldwinian,C1,C4,realised_enforcement,-0.0019652820702787733,-0.011624214451589027,0.007815395950745733,30,0.5,-0.0677881637348106
baldwinian,C1,C4,population_late,-1.0288888888888892,-1.7245000000000004,-0.43772222222222273,30,0.43333333333333335,-0.5739942001155489
baldwinian,C1,C4,eval_heldout_delta_cue,-0.00484537818194656,-0.03048899336996345,0.027240733997183325,30,0.6,-0.05907136812813946
lamarckian,C2,C1,rate,0.10630097995544514,0.09964818433797715,0.11272070200063286,30,1.0,5.7238134479263225
lamarckian,C2,C1,delta_cue,0.35961548593116766,0.3433813581537581,0.37628107342140155,30,1.0,7.6453768261250925
lamarckian,C2,C1,delta_true,0.35415538891878506,0.3380633273424055,0.37024484756180137,30,1.0,7.559000770266427
lamarckian,C2,C1,realised_enforcement,-0.3385256403274752,-0.346931890032205,-0.33005094256747114,30,1.0,-14.075340779292105
lamarckian,C2,C1,population_late,-7.904444444444442,-8.862666666666666,-6.964388888888887,30,1.0,-2.866452528268818
lamarckian,C2,C1,eval_heldout_delta_cue,0.4909804862176936,0.44268971536600243,0.5375153500281593,30,1.0,3.6840462254677653
lamarckian,C2,C4,rate,0.10709120226740586,0.10165476863473105,0.11275490857906198,30,1.0,6.502492671064949
lamarckian,C2,C4,delta_cue,0.3518680186842044,0.33493840034824873,0.36934425192694464,30,1.0,7.119750087712557
lamarckian,C2,C4,delta_true,0.3521328363436904,0.336510671143928,0.3681203384056676,30,1.0,7.7232256862804185
lamarckian,C2,C4,realised_enforcement,-0.33151672404128746,-0.3402149794404636,-0.3229823657740528,30,1.0,-13.590295337778995
