run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,monitor_policy,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
A_f0.7_blind__baldwinian__s1,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,1,0.7,6.0,adaptive_blind,3.0,0,50,707,0,0,59,0.5853521126760564,0.7272266147051538,0.4874864154821621,49.06666666666667,4.84,-0.001014728908240781,12754.0,0.0981652814803199,0.12954245904726042,0.07577589681580008,0.12714987714987716,0.08017789072426938,0.05376656223146034,0.04697198642560778,0.5039936102236422,0.16666666666666666,0.08917197452229299,0.07749469214437367,241.0,0.056687898089171976,0.03920348475420037,0.017484413334971603,3177.0
A_f0.7_blind__baldwinian__s2,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,2,0.7,6.0,adaptive_blind,3.0,0,50,679,0,0,59,0.5824119718309859,0.6949632611943806,0.4712457127005759,46.6,4.14,-0.003007406853649344,12639.0,0.09644750375820872,0.12481778425655976,0.0746748706474619,0.12219209914794733,0.07866220735785953,0.05014291360909787,0.0435298917900878,0.48236259228876127,0.05571847507331378,0.036231884057971016,0.019486591015342766,617.0,0.07598784194528875,0.034252297410192145,0.041735544535096605,2184.0
A_f0.7_blind__baldwinian__s3,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,3,0.7,6.0,adaptive_blind,3.0,0,50,699,0,0,59,0.5765669014084507,0.6962187905046777,0.4723495191126672,44.06666666666667,5.594594594594595,-0.00034391793078444524,13177.0,0.09888441982241784,0.12911939492166397,0.07686253934942287,0.12497566673155538,0.0822139303482587,0.05225685557224109,0.04276173638329668,0.5072908672294705,0.05099150141643059,0.046875,0.004116501416430593,673.0,0.06048387096774194,0.04149715215622457,0.018986718811517367,2221.0
A_f0.7_blind__baldwinian__s4,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,4,0.7,6.0,adaptive_blind,3.0,0,50,626,0,0,59,0.582693661971831,0.7114609183759751,0.4786298779074161,50.0,3.98,-0.003544810548627261,14825.0,0.08263069139966273,0.11685919973212791,0.059534568459105285,0.10994087213599409,0.0669287156060767,0.057324631273022626,0.043012156529917384,0.5142857142857142,0.21875,0.0784313725490196,0.1403186274509804,115.0,0.06952380952380953,0.051066217732884396,0.018457591790925133,3882.0
A_f0.7_blind__baldwinian__s5,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,5,0.7,6.0,adaptive_blind,3.0,0,50,664,0,0,59,0.5827288732394368,0.7242676608576006,0.4864486397619723,50.0,3.6,-0.0021274783076306184,14687.0,0.0840198815278818,0.11315789473684211,0.06343673753921227,0.10953420669577875,0.06876292024806877,0.049721157197629845,0.040771286447709984,0.5121555915721232,0.05459770114942529,0.08417508417508418,-0.02957738302565889,645.0,0.07036833424958769,0.04552758435993572,0.024840749889651965,3686.0
A_f0.7_blind__baldwinian__s6,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,6,0.7,6.0,adaptive_blind,3.0,0,50,681,0,0,59,0.5860211267605634,0.7138555753244932,0.4773816115749061,50.0,4.8,-0.0007491012039865949,11262.0,0.10433315574498313,0.1452239721824504,0.07296406715832418,0.1396536412078153,0.08079313406333234,0.07225990502412621,0.058860507144482946,0.4646808510638298,0.0471976401179941,0.05555555555555555,-0.008357915437561453,789.0,0.0791311093871218,0.04963600264725347,0.029495106739868326,2800.0
A_f0.7_blind__baldwinian__s7,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,7,0.7,6.0,adaptive_blind,3.0,0,50,718,0,0,59,0.5814260563380282,0.6929918263131793,0.4718953109227879,46.86666666666667,5.041666666666667,-0.003317312350280456,13807.0,0.09408271166799449,0.1109841684347968,0.08059895833333333,0.10732714138286893,0.08444889278118353,0.030385210101463472,0.0228782486016854,0.5196304849884527,0.16666666666666666,0.19148936170212766,-0.024822695035461,143.0,0.05025553662691652,0.03335017685699848,0.01690535976991804,4327.0
A_f0.7_blind__baldwinian__s8,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,8,0.7,6.0,adaptive_blind,3.0,0,50,757,0,0,59,0.5865140845070422,0.7130900012037323,0.485719357804365,48.13333333333333,5.2,-0.0033622662004174192,15371.0,0.08555071238045671,0.11304073255446795,0.06628305853712516,0.10486429326753613,0.07424976796947509,0.04675767401734279,0.030614525298061038,0.5475285171102662,0.12021857923497267,0.07407407407407407,0.0461445051608986,318.0,0.0704647676161919,0.05138607167004733,0.019078695946144572,2813.0
A_f0.7_blind__baldwinian__s9,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,9,0.7,6.0,adaptive_blind,3.0,0,50,694,0,0,59,0.5850000000000001,0.7231401408578134,0.4839686139308068,50.0,3.8,-0.001722015396880626,12816.0,0.09698813982521848,0.13524967753823475,0.06888618216267424,0.13117344922955354,0.07467113747743101,0.06636349537556051,0.05650231175212253,0.4658085277554304,0.14107883817427386,0.07317073170731707,0.06790810646695679,446.0,0.07939508506616257,0.058941058941058944,0.020454026125103622,2059.0
A_f0.7_blind__baldwinian__s10,A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,10,0.7,6.0,adaptive_blind,3.0,0,50,678,0,0,59,0.5866725352112674,0.7124688845741428,0.4794900441324454,50.0,3.94,-0.0016386694154193206,12226.0,0.1029772615736954,0.13558330081935233,0.07943661971830986,0.13608957795004306,0.0826958586125033,0.05614668110104247,0.053393719337539766,0.4980142970611596,0.09219858156028368,0.1386861313868613,-0.04648754982657763,278.0,0.08029197080291971,0.053266331658291456,0.02702563914462825,1954.0
