cell_id,condition,family,inheritance_mode,fidelity,n_agents,n_seeds,auc_classifier,auc_classifier_lo,auc_classifier_hi,auc_rank,auc_rank_lo,auc_rank_hi,positive_rate
A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,0.7,4783,30,0.7806530633655058,0.7686627371306,0.7913753622416727,0.7824070674220172,0.7705782113841761,0.793027014777469,0.49822287267405396
A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,0.7,5871,30,0.7651613918490437,0.7527075338074138,0.7781664041966057,0.7594451524883675,0.7461959354734466,0.7731319898659745,0.4970192471469937
A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,0.7,5052,30,0.760334824297173,0.745559116943953,0.7749951090722285,0.759951400011911,0.7443028812799815,0.77520315269102,0.4992082343626287
A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,0.7,6014,30,0.7710665301922088,0.7591510690941529,0.7830679715455896,0.7661072209254938,0.7544016697297601,0.7771685394813745,0.49866977053541733
A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,0.7,5026,30,0.7706435485526001,0.7596704993538108,0.7820759265845311,0.7698872597642963,0.7583742046320798,0.7811914915242627,0.49781138081973736
A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,0.7,5873,30,0.7684600301155357,0.7547778882424496,0.7814741051521924,0.7546088900207728,0.7423986888422105,0.7667842751606846,0.4973608036778478
A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,0.9,4677,30,0.7515242558840795,0.7371836836706225,0.7653684123943152,0.7513240207220534,0.736890682102764,0.7658981370536168,0.49925165704511437
A_f0.9_blind__lamarckian,A_f0.9_blind,A,lamarckian,0.9,5334,30,0.7380019950103651,0.7203530272610086,0.7540908893394193,0.6667157335177909,0.6489863395575762,0.6831372145579716,0.49775028121484816
A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,0.9,4959,30,0.7397610155375687,0.7255986089687049,0.7537241141871274,0.7416604312521147,0.72659309630353,0.7566814137964151,0.49687436983262756
A_f0.9_cells__lamarckian,A_f0.9_cells,A,lamarckian,0.9,5188,30,0.7399495973240242,0.7275889385101828,0.7523549801430707,0.6400878279335809,0.6256872816783889,0.6540501677045149,0.4971087124132614
