run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,0.5,0.7,6.0,0,adaptive_blind,3.0,0.452755905511811,59,0.5892429577464787,0.6690898780398898,0.468689825808119,1800,0,50,540,520,490,520,0
A_f0.7_blind__lamarckian__s2,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,2,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4612085769980507,59,0.5840140845070421,0.6857466819034885,0.47293539632944354,1800,0,50,487,467,437,467,0
A_f0.7_blind__lamarckian__s3,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,3,0.5,0.7,6.0,0,adaptive_blind,3.0,0.49851190476190477,59,0.5939964788732395,0.7106490207924829,0.4893550616625945,1800,0,50,624,604,574,604,0
A_f0.7_blind__lamarckian__s4,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,4,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4614485981308411,59,0.5845246478873241,0.7048475560689673,0.4805816850277236,1800,0,50,541,521,491,521,0
A_f0.7_blind__lamarckian__s5,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,5,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4708365310821182,59,0.5886971830985918,0.7073818803538925,0.484215069966844,1800,0,44,546,526,502,526,0
A_f0.7_blind__lamarckian__s6,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,6,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4695892575039494,59,0.5889260563380282,0.7121558450775788,0.48433909860069957,1800,0,50,513,493,463,493,0
A_f0.7_blind__lamarckian__s7,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,7,0.5,0.7,6.0,0,adaptive_blind,3.0,0.46220302375809935,59,0.5928169014084507,0.6789827650263662,0.47450992959321603,1800,0,50,589,569,539,569,0
A_f0.7_blind__lamarckian__s8,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,8,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4750830564784053,59,0.5906514084507042,0.7190590502809981,0.4923981102471342,1800,0,50,501,481,451,481,0
A_f0.7_blind__lamarckian__s9,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,9,0.5,0.7,6.0,0,adaptive_blind,3.0,0.5064464141821112,59,0.5825352112676058,0.7324970676574443,0.49054905534192694,1800,0,50,425,405,375,405,0
A_f0.7_blind__lamarckian__s10,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,10,0.5,0.7,6.0,0,adaptive_blind,3.0,0.4856918855350843,59,0.5873591549295775,0.7097219013168383,0.4840276497834727,1800,0,36,480,460,444,460,0
A_f0.7_blind__lamarckian__s11,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,11,0.5,0.7,6.0,0,adaptive_blind,3.0,0.5160744500846024,59,0.5792429577464789,0.723991397826636,0.48247289312967795,1800,0,50,496,476,446,476,0
A_f0.7_blind__lamarckian__s12,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,12,0.5,0.7,6.0,0,adaptive_blind,3.0,0.44698462751281043,59,0.5889436619718309,0.7230887529121215,0.4857774239339988,1800,0,50,467,447,417,447,0
A_f0.7_blind__lamarckian__s13,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,13,0.5,0.7,6.0,0,adaptive_blind,3.0,0.5105105105105106,59,0.5924295774647889,0.7449436565259442,0.49957583769820246,1800,0,50,554,534,504,534,0
A_f0.7_blind__lamarckian__s14,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,14,0.5,0.7,6.0,0,adaptive_blind,3.0,0.5064993276557598,59,0.5861795774647887,0.7380043962851343,0.49418423333336825,1800,0,50,483,463,433,463,0
A_f0.7_blind__lamarckian__s15,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,15,0.5,0.7,6.0,0,adaptive_blind,3.0,0.49444032616753153,59,0.5851232394366198,0.7435289125840164,0.49377294132907246,1800,0,50,533,513,483,513,0
A_f0.7_blind__lamarckian__s16,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,16,0.5,0.7,6.0,0,adaptive_blind,3.0,0.5352223534041716,59,0.5932922535211268,0.7382227101822667,0.49878839191680235,1800,0,50,429,409,379,409,0
