run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,50,train,50,0.68,36,6,94.72054874497456,0.8333333333333334,0.5,adaptive_blind,0.53125,0.6926383332588515,0.4547453703703701,247.0,50.0,66.0,366.0,59.0,9.0,0.0,0.0,34.0,5.0,7.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,100,train,50,0.82,11,11,40.21126086833566,0.9791666666666666,0.5,adaptive_blind,0.575,0.9568568830926757,0.6052844467640919,289.0,43.0,65.0,386.0,101.0,14.0,0.0,0.0,35.0,6.0,7.0,38.0,20.0,1.0,0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,150,train,50,1.1,19,19,70.24779999720181,0.8541666666666666,0.5,adaptive_blind,0.63125,0.8281562352999648,0.5711560364464692,375.0,62.0,103.0,472.0,49.0,8.0,0.0,0.0,43.0,8.0,9.0,31.0,15.0,2.0,0.0,0.0,0.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,200,train,50,1.18,10,10,88.25773014277551,0.8958333333333334,0.5,adaptive_blind,0.64375,0.7310174029313655,0.5389470443349758,425.0,74.0,61.0,360.0,45.0,4.0,0.0,0.0,57.0,3.0,6.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,250,train,50,1.28,19,19,45.734360578207415,0.9375,0.5,adaptive_blind,0.5625,0.8598519058233584,0.5884214743589742,339.0,56.0,87.0,471.0,138.0,26.0,0.0,0.0,37.0,6.0,14.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,300,train,48,1.3333333333333333,18,20,60.82099994392642,0.9166666666666666,0.5,adaptive_blind,0.61875,0.8587610636889282,0.605173780487805,304.0,55.0,77.0,431.0,67.0,19.0,0.0,0.0,51.0,4.0,13.0,27.0,16.0,2.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,350,train,40,1.5,16,24,47.326867824481205,0.9375,0.5,adaptive_blind,0.59375,0.8603353511737766,0.5857331081081081,242.0,36.0,86.0,525.0,79.0,15.0,0.0,0.0,57.0,2.0,16.0,26.0,17.0,1.0,0.0,0.0,0.0,0.0,16.0,26.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,400,train,38,1.763157894736842,11,13,64.97299123729435,0.9583333333333334,0.5,adaptive_blind,0.60625,0.7186249807432474,0.491568396226415,201.0,51.0,51.0,322.0,52.0,7.0,0.0,0.0,59.0,0.0,7.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,450,train,45,1.9777777777777779,10,3,89.47669156415346,0.8541666666666666,0.5,adaptive_blind,0.60625,0.7818080136777041,0.5292658083441981,190.0,29.0,68.0,424.0,78.0,13.0,0.0,0.0,62.0,0.0,12.0,12.0,23.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
A_f0.7_blind__lamarckian__s1,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,1,500,train,48,2.3125,18,15,67.52485469471081,0.9166666666666666,0.5,adaptive_blind,0.63125,0.6673853996641679,0.530403963414634,253.0,52.0,102.0,562.0,75.0,17.0,0.0,0.0,45.0,0.0,31.0,21.0,13.0,2.0,0.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0
