run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,50,train,50,0.7,32,2,84.24476376221781,0.8958333333333334,0.5,adaptive_cells,0.5375,0.03269426730809584,0.05693014705882349,215.0,41.0,41.0,245.0,85.0,12.0,0.0,0.0,31.0,6.0,5.0,40.0,23.0,2.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,100,train,48,0.75,12,14,61.594206817226976,0.875,0.5,adaptive_cells,0.5,0.040250600582382695,0.06485969387755097,339.0,56.0,63.0,299.0,45.0,10.0,0.0,0.0,43.0,9.0,12.0,32.0,13.0,1.0,0.0,0.0,0.0,0.0,12.0,32.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,150,train,50,0.98,20,18,98.7550011010088,0.8333333333333334,0.5,adaptive_cells,0.4875,0.024073019597425464,0.043610074626865725,260.0,58.0,68.0,442.0,39.0,13.0,0.0,0.0,38.0,2.0,10.0,29.0,14.0,6.0,0.0,0.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,200,train,45,1.0666666666666667,15,20,58.90175959386852,0.9375,0.5,adaptive_cells,0.50625,0.03839818365722897,0.07387427953890513,382.0,54.0,66.0,393.0,57.0,13.0,0.0,0.0,51.0,4.0,10.0,43.0,16.0,4.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,250,train,48,1.0416666666666667,18,15,88.69445010546866,0.8125,0.5,adaptive_cells,0.5,0.012822861802832456,0.029526515151515165,404.0,80.0,64.0,319.0,67.0,17.0,0.0,0.0,43.0,11.0,4.0,22.0,15.0,2.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,300,train,46,1.1521739130434783,16,18,52.78836888772183,0.9375,0.5,adaptive_cells,0.53125,0.034227596185002276,0.06427660349854225,266.0,44.0,43.0,251.0,92.0,10.0,0.0,0.0,50.0,2.0,13.0,24.0,16.0,1.0,0.0,0.0,0.0,0.0,13.0,24.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,350,train,46,1.3695652173913044,20,20,141.57895907979025,0.6458333333333334,0.5,adaptive_cells,0.48125,0.02641484113433558,0.05853189149560101,292.0,44.0,70.0,306.0,70.0,12.0,0.0,0.0,28.0,3.0,13.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,400,train,50,1.5,18,14,115.55046743364751,0.7291666666666666,0.5,adaptive_cells,0.53125,0.04431456690766886,0.06251827485380113,369.0,71.0,63.0,416.0,56.0,16.0,0.0,0.0,47.0,2.0,11.0,30.0,15.0,3.0,0.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,450,train,50,1.36,19,19,93.4589910163209,0.75,0.5,adaptive_cells,0.49375,0.025293712959322118,0.05129437869822473,406.0,72.0,78.0,522.0,145.0,21.0,0.0,0.0,35.0,4.0,8.0,27.0,18.0,1.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,500,train,50,1.72,23,23,105.60778573245614,0.7708333333333334,0.5,adaptive_cells,0.48125,0.03186688097451462,0.061659356725146,329.0,69.0,101.0,492.0,70.0,12.0,0.0,0.0,40.0,5.0,16.0,24.0,17.0,2.0,0.0,0.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0
