run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,0.5,0.7,6.0,0,adaptive_cells,3.0,0.3849357861853523,59,0.5062323943661972,0.021930300333683185,0.04321222005273479,1800,0,46,527,507,481,507,0
A_f0.7_cells__lamarckian__s2,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,2,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4118089507333584,59,0.510193661971831,0.022277930070795388,0.042858108208172215,1800,0,50,521,501,471,501,0
A_f0.7_cells__lamarckian__s3,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,3,0.5,0.7,6.0,0,adaptive_cells,3.0,0.42293510324483774,59,0.509119718309859,0.02290230548325474,0.04480425664041808,1800,0,35,527,507,492,507,0
A_f0.7_cells__lamarckian__s4,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,4,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4061917195076464,59,0.5140316901408449,0.020725198657799,0.04258934813364242,1800,0,50,505,485,455,485,0
A_f0.7_cells__lamarckian__s5,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,5,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4012158054711246,59,0.5069542253521128,0.021080058772914186,0.04160512716784751,1800,0,50,500,480,450,480,0
A_f0.7_cells__lamarckian__s6,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,6,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4095276220976781,59,0.5093133802816902,0.019785804741202635,0.04009791679485451,1800,0,50,560,540,510,540,0
A_f0.7_cells__lamarckian__s7,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,7,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4047531992687386,59,0.5124471830985915,0.021616556706022114,0.043038071552455474,1800,0,50,529,509,479,509,0
A_f0.7_cells__lamarckian__s8,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,8,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4168413696715583,59,0.5147711267605634,0.02345913277283978,0.04630804813793968,1800,0,50,535,515,485,515,0
A_f0.7_cells__lamarckian__s9,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,9,0.5,0.7,6.0,0,adaptive_cells,3.0,0.3961759082217973,59,0.5105633802816901,0.021709271647926277,0.041146136260371065,1800,0,50,458,438,408,438,0
A_f0.7_cells__lamarckian__s10,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,10,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4150870406189555,59,0.5069542253521127,0.02184828072138273,0.042146582279604945,1800,0,50,449,429,399,429,0
A_f0.7_cells__lamarckian__s11,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,11,0.5,0.7,6.0,0,adaptive_cells,3.0,0.42696160267111855,59,0.5122711267605634,0.02099382325390609,0.04023087768896711,1800,0,46,522,502,476,502,0
A_f0.7_cells__lamarckian__s12,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,12,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4046601941747573,59,0.5077288732394366,0.021300602912943275,0.04102850497143744,1800,0,50,508,488,458,488,0
A_f0.7_cells__lamarckian__s13,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,13,0.5,0.7,6.0,0,adaptive_cells,3.0,0.3991552270327349,59,0.5115316901408451,0.022537662415591367,0.0444518090439088,1800,0,50,536,516,486,516,0
A_f0.7_cells__lamarckian__s14,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,14,0.5,0.7,6.0,0,adaptive_cells,3.0,0.4420415224913495,59,0.5114084507042255,0.020938042005020613,0.040309334810607375,1800,0,49,468,448,419,448,0
A_f0.7_cells__lamarckian__s15,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,15,0.5,0.7,6.0,0,adaptive_cells,3.0,0.3693003828750435,59,0.508468309859155,0.022379232801219763,0.04207993223459199,1800,0,43,499,479,456,479,0
A_f0.7_cells__lamarckian__s16,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,16,0.5,0.7,6.0,0,adaptive_cells,3.0,0.41321994588326244,59,0.5101232394366197,0.022125846037150548,0.04233497924953595,1800,0,50,479,459,429,459,0
A_f0.7_cells__lamarckian__s17,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,17,0.5,0.7,6.0,0,adaptive_cells,3.0,0.38114423851732476,59,0.5090845070422536,0.01901776356484342,0.03775152055731871,1800,0,47,470,450,423,450,0
A_f0.7_cells__lamarckian__s18,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,18,0.5,0.7,6.0,0,adaptive_cells,3.0,0.41422430636967567,59,0.5013732394366197,0.021021102778737102,0.04152788700005638,1800,0,50,494,474,444,474,0
A_f0.7_cells__lamarckian__s19,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,19,0.5,0.7,6.0,0,adaptive_cells,3.0,0.40425531914893614,59,0.5065316901408452,0.020271505134096177,0.04162904438544718,1800,0,50,525,505,475,505,0
