run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,50,train,50,0.66,34,4,114.38790446955159,0.8125,0.5,adaptive_cells,0.5,0.03369367340689232,0.05700367647058835,285.0,59.0,70.0,352.0,61.0,7.0,0.0,0.0,35.0,8.0,5.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,100,train,50,0.76,12,12,57.282488456726185,0.875,0.5,adaptive_cells,0.50625,0.025912426352696083,0.041055389221556826,391.0,56.0,68.0,380.0,50.0,16.0,0.0,0.0,47.0,5.0,10.0,28.0,19.0,1.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,150,train,50,0.86,9,9,62.66264367883068,0.9166666666666666,0.5,adaptive_cells,0.5,0.011776610967134482,0.02673822188449848,291.0,62.0,64.0,392.0,49.0,9.0,0.0,0.0,52.0,4.0,11.0,12.0,18.0,4.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,200,train,50,0.9,12,12,63.76994240077367,0.875,0.5,adaptive_cells,0.48125,0.02438048892537592,0.04872959940652821,338.0,63.0,63.0,404.0,51.0,12.0,0.0,0.0,58.0,5.0,8.0,27.0,23.0,3.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,250,train,50,1.12,19,19,47.52559605356451,0.9791666666666666,0.5,adaptive_cells,0.44375,0.025539000694422352,0.05608455882352925,297.0,55.0,60.0,302.0,54.0,9.0,0.0,0.0,62.0,3.0,21.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,300,train,50,1.38,17,17,71.21851638550665,0.875,0.5,adaptive_cells,0.43125,0.02094915008241324,0.04334888059701503,322.0,66.0,86.0,444.0,94.0,13.0,0.0,0.0,40.0,2.0,15.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,350,train,50,1.38,12,12,68.19997316311344,0.8333333333333334,0.5,adaptive_cells,0.49375,0.032815998318412476,0.06861413043478248,313.0,57.0,73.0,529.0,128.0,22.0,0.0,0.0,46.0,4.0,15.0,27.0,14.0,1.0,0.0,0.0,0.0,0.0,15.0,27.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,400,train,50,1.32,15,15,62.194319083725375,0.8958333333333334,0.5,adaptive_cells,0.5125,0.022197570096809997,0.05085059171597628,287.0,35.0,83.0,486.0,95.0,16.0,0.0,0.0,49.0,1.0,13.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,450,train,50,1.32,12,12,77.01829111402827,0.8541666666666666,0.5,adaptive_cells,0.525,0.025933154040404267,0.04887796735905048,328.0,54.0,60.0,360.0,63.0,13.0,0.0,0.0,47.0,2.0,11.0,19.0,30.0,1.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,500,train,50,1.62,16,16,66.52837918143328,0.8541666666666666,0.5,adaptive_cells,0.46875,0.019438731609881285,0.04055014970059867,410.0,83.0,37.0,306.0,54.0,9.0,0.0,0.0,70.0,1.0,9.0,20.0,19.0,1.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,550,train,50,1.88,18,18,64.70274662058537,0.9166666666666666,0.5,adaptive_cells,0.475,0.022907015243671183,0.04600074404761911,244.0,51.0,68.0,314.0,46.0,9.0,0.0,0.0,48.0,8.0,21.0,15.0,20.0,1.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,600,train,50,1.98,13,13,89.26685160633852,0.8541666666666666,0.5,adaptive_cells,0.5125,0.025747019643935123,0.060635964912280516,330.0,56.0,85.0,474.0,98.0,17.0,0.0,0.0,46.0,1.0,16.0,23.0,24.0,2.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,650,train,50,2.2,19,19,66.37354161314892,0.875,0.5,adaptive_cells,0.55625,0.029651081808052884,0.0636206268221573,433.0,74.0,66.0,395.0,100.0,16.0,0.0,0.0,60.0,2.0,14.0,23.0,25.0,1.0,0.0,0.0,0.0,0.0,14.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,700,train,50,2.24,11,11,63.101788430724554,0.8958333333333334,0.5,adaptive_cells,0.475,0.02438048892537593,0.04872959940652821,410.0,70.0,78.0,471.0,65.0,15.0,0.0,0.0,64.0,2.0,12.0,19.0,20.0,1.0,0.0,0.0,0.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,750,train,50,2.4,15,15,72.55123240012581,0.8958333333333334,0.5,adaptive_cells,0.4875,0.023525407447653076,0.04355410447761199,291.0,62.0,84.0,439.0,73.0,11.0,0.0,0.0,63.0,2.0,19.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,800,train,50,2.46,11,11,32.913668451163204,0.9791666666666666,0.5,adaptive_cells,0.51875,0.025539000694422356,0.05608455882352925,361.0,72.0,50.0,329.0,115.0,23.0,0.0,0.0,63.0,5.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,850,train,38,2.3947368421052633,8,20,50.5946385003486,0.9791666666666666,0.5,adaptive_cells,0.5125,0.025912426352696083,0.041055389221556826,253.0,45.0,52.0,313.0,153.0,26.0,0.0,0.0,48.0,2.0,15.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,900,train,43,2.7209302325581395,22,17,93.80036089825026,0.75,0.5,adaptive_cells,0.53125,0.022907015243671183,0.04600074404761911,299.0,70.0,79.0,437.0,132.0,29.0,0.0,0.0,44.0,3.0,23.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,950,train,41,2.8780487804878048,14,16,57.75786562788963,0.8958333333333334,0.5,adaptive_cells,0.525,0.03781916479583475,0.0692663043478261,409.0,77.0,64.0,424.0,85.0,12.0,0.0,0.0,60.0,2.0,15.0,37.0,16.0,1.0,0.0,0.0,0.0,0.0,15.0,37.0,0.0,0.0,0.0,0.0
