run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,50,train,50,0.7,33,3,115.12224322575125,0.75,0.5,adaptive_move,0.60625,0.11190202533573906,0.17712249373433586,193.0,25.0,46.0,251.0,97.0,16.0,0.0,0.0,25.0,5.0,3.0,39.0,23.0,2.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,100,train,50,0.76,12,12,90.64295689027344,0.8333333333333334,0.5,adaptive_move,0.54375,0.07009886679314908,0.1354360079575596,293.0,36.0,64.0,417.0,50.0,9.0,0.0,0.0,37.0,4.0,11.0,37.0,15.0,1.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,150,train,50,0.88,20,20,95.24983743670046,0.75,0.5,adaptive_move,0.55625,0.12213360807873586,0.20742002369668233,509.0,89.0,82.0,464.0,63.0,14.0,0.0,0.0,36.0,3.0,7.0,41.0,12.0,3.0,0.0,0.0,0.0,0.0,7.0,41.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,200,train,50,0.86,15,15,103.440481613227,0.7708333333333334,0.5,adaptive_move,0.5875,0.11606693837416499,0.20470971563981055,430.0,62.0,69.0,391.0,78.0,15.0,0.0,0.0,36.0,3.0,10.0,31.0,17.0,3.0,0.0,0.0,0.0,0.0,10.0,31.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,250,train,50,0.86,7,7,81.9854987324544,0.8333333333333334,0.5,adaptive_move,0.5625,0.08139786319858165,0.14746246736292457,297.0,54.0,73.0,367.0,96.0,14.0,0.0,0.0,41.0,6.0,9.0,29.0,17.0,2.0,0.0,0.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,300,train,50,0.9,19,19,108.16693815081202,0.7708333333333334,0.5,adaptive_move,0.54375,0.07080119673000652,0.11998980978260865,424.0,75.0,85.0,438.0,99.0,18.0,0.0,0.0,34.0,3.0,12.0,24.0,19.0,1.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,350,train,50,0.86,14,14,59.74356893404803,0.875,0.5,adaptive_move,0.54375,0.09058293311770206,0.1540641191709844,461.0,72.0,89.0,518.0,65.0,13.0,0.0,0.0,48.0,5.0,8.0,32.0,8.0,2.0,0.0,0.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,400,train,50,0.9,13,13,84.6901390814065,0.8333333333333334,0.5,adaptive_move,0.5875,0.13018569486929585,0.20399430455635525,386.0,58.0,106.0,621.0,101.0,15.0,0.0,0.0,37.0,0.0,28.0,23.0,12.0,3.0,0.0,0.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,450,train,50,0.9,13,13,96.57009352587427,0.75,0.5,adaptive_move,0.54375,0.08430600139618619,0.15643476863753203,465.0,84.0,96.0,544.0,146.0,28.0,0.0,0.0,35.0,0.0,14.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,500,train,50,1.32,19,19,86.8924505994891,0.8541666666666666,0.5,adaptive_move,0.55,0.07787409363862594,0.1542978791773777,471.0,88.0,115.0,641.0,78.0,17.0,0.0,0.0,40.0,3.0,6.0,40.0,16.0,3.0,0.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,550,train,50,1.86,28,28,48.05352701996004,0.9375,0.5,adaptive_move,0.53125,0.10901430720253977,0.1834931930693069,351.0,77.0,74.0,385.0,122.0,21.0,0.0,0.0,45.0,11.0,9.0,30.0,14.0,4.0,0.0,0.0,0.0,0.0,9.0,30.0,0.0,0.0,0.0,0.0
