run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,50,train,50,0.68,35,5,88.70893169428405,0.8541666666666666,0.5,adaptive_blind,0.625,0.5638259062278026,0.4143468370883885,250.0,13.0,18.0,246.0,120.0,5.0,0.0,0.0,31.0,2.0,4.0,48.0,21.0,2.0,0.0,0.0,0.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,100,train,50,0.92,21,21,48.870639522761884,0.9791666666666666,0.5,adaptive_blind,0.6,0.9346714596844928,0.6168507281553399,270.0,15.0,26.0,494.0,83.0,4.0,0.0,0.0,38.0,6.0,5.0,44.0,13.0,1.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,150,train,43,0.9534883720930233,12,19,125.28473478217302,0.7291666666666666,0.5,adaptive_blind,0.6375,0.8233105178285007,0.5842288788522849,255.0,12.0,21.0,393.0,54.0,4.0,0.0,0.0,28.0,1.0,4.0,35.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,200,train,50,1.04,25,18,103.16588338239613,0.7083333333333334,0.5,adaptive_blind,0.575,0.9399370374711102,0.5937977620087338,392.0,14.0,30.0,566.0,95.0,8.0,0.0,0.0,55.0,3.0,3.0,36.0,11.0,3.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,250,train,50,1.16,16,16,85.95534919135609,0.8333333333333334,0.5,adaptive_blind,0.61875,0.9937710365116879,0.6019409311087194,290.0,20.0,40.0,595.0,50.0,0.0,0.0,0.0,38.0,3.0,7.0,39.0,17.0,0.0,0.0,0.0,0.0,0.0,7.0,39.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,300,train,50,1.2,13,13,85.85444705582469,0.7916666666666666,0.5,adaptive_blind,0.59375,0.8640389407036955,0.5791608342665175,243.0,19.0,21.0,516.0,55.0,1.0,0.0,0.0,34.0,2.0,4.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,350,train,50,1.4,21,21,67.40879066091468,0.8125,0.5,adaptive_blind,0.6,0.9570546011800862,0.599460744908896,275.0,9.0,37.0,623.0,116.0,5.0,0.0,0.0,41.0,0.0,3.0,41.0,25.0,1.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,400,train,50,1.42,15,15,95.0305888877463,0.7916666666666666,0.5,adaptive_blind,0.58125,0.9990992194633976,0.6087585257082895,313.0,15.0,34.0,512.0,235.0,16.0,0.0,0.0,55.0,1.0,4.0,37.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,450,train,50,1.44,17,17,84.72508653513748,0.8541666666666666,0.5,adaptive_blind,0.625,0.8549464673721565,0.5957573227132578,319.0,20.0,37.0,568.0,80.0,3.0,0.0,0.0,41.0,4.0,2.0,43.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,43.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,500,train,50,1.58,14,14,71.69391627485305,0.7916666666666666,0.5,adaptive_blind,0.5625,0.8412246039958247,0.5764083520179373,359.0,22.0,26.0,525.0,130.0,8.0,0.0,0.0,50.0,0.0,5.0,28.0,14.0,1.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,550,train,50,1.96,21,21,100.39615835546095,0.8541666666666666,0.5,adaptive_blind,0.64375,0.8867241881992587,0.6030368831822759,195.0,15.0,28.0,488.0,124.0,4.0,0.0,0.0,32.0,2.0,8.0,31.0,24.0,1.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,600,train,50,2.18,16,16,112.22340434546064,0.7083333333333334,0.5,adaptive_blind,0.56875,0.8029289007834916,0.5211407103825136,428.0,19.0,25.0,454.0,161.0,8.0,0.0,0.0,44.0,0.0,2.0,21.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,650,train,50,2.2,16,16,116.71547267907353,0.7291666666666666,0.5,adaptive_blind,0.61875,0.9384111887183264,0.5929593373493978,286.0,12.0,32.0,489.0,108.0,4.0,0.0,0.0,41.0,3.0,5.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0
