run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f0.9_cells__baldwinian__s1,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,1,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4333458505444987,59,0.5080457746478874,0.024836807290298007,0.045136494998579565,1800,0,50,643,623,593,0,0
A_f0.9_cells__baldwinian__s2,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,2,0.5,0.9,6.0,0,adaptive_cells,3.0,0.408887077048512,59,0.506725352112676,0.020419572223802564,0.039546490388050554,1800,0,50,672,652,622,0,0
A_f0.9_cells__baldwinian__s3,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,3,0.5,0.9,6.0,0,adaptive_cells,3.0,0.3862392494136044,59,0.5028521126760563,0.02034116728644688,0.03935289810083101,1800,0,50,656,636,606,0,0
A_f0.9_cells__baldwinian__s4,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,4,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4295630869742752,59,0.5098591549295775,0.021216525056961935,0.041539653190699834,1800,0,50,591,571,541,0,0
A_f0.9_cells__baldwinian__s5,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,5,0.5,0.9,6.0,0,adaptive_cells,3.0,0.40070782540306726,59,0.5099823943661971,0.021910429005921925,0.040379474431911866,1800,0,50,637,617,587,0,0
A_f0.9_cells__baldwinian__s6,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,6,0.5,0.9,6.0,0,adaptive_cells,3.0,0.42701798410706815,59,0.5118661971830986,0.021133348465714973,0.040421299082366094,1800,0,50,642,622,592,0,0
A_f0.9_cells__baldwinian__s7,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,7,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4064761904761905,59,0.507711267605634,0.021952216079895785,0.042182504760590045,1800,0,50,655,635,605,0,0
A_f0.9_cells__baldwinian__s8,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,8,0.5,0.9,6.0,0,adaptive_cells,3.0,0.43427931292008964,59,0.510193661971831,0.023821809972381418,0.04519475760352105,1800,0,50,653,633,603,0,0
A_f0.9_cells__baldwinian__s9,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,9,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4085141219811707,59,0.5094366197183098,0.021384298172246703,0.03982664261578717,1800,0,50,652,632,602,0,0
A_f0.9_cells__baldwinian__s10,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,10,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4144973968762515,59,0.5049823943661972,0.02169161335630345,0.04112690375110301,1800,0,50,603,583,553,0,0
A_f0.9_cells__baldwinian__s11,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,11,0.5,0.9,6.0,0,adaptive_cells,3.0,0.40136674259681093,59,0.5089964788732393,0.01839537350147822,0.035354967792066726,1800,0,50,635,615,585,0,0
A_f0.9_cells__baldwinian__s12,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,12,0.5,0.9,6.0,0,adaptive_cells,3.0,0.3912863070539419,59,0.5113028169014084,0.01978605043883027,0.03716890804311319,1800,0,50,588,568,538,0,0
A_f0.9_cells__baldwinian__s13,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,13,0.5,0.9,6.0,0,adaptive_cells,3.0,0.43505234587049246,59,0.5070950704225352,0.023634864060154134,0.04402631326457735,1800,0,50,682,662,632,0,0
A_f0.9_cells__baldwinian__s14,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,14,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4250111259457054,59,0.509806338028169,0.019891595449936746,0.03823395033907567,1800,0,50,600,580,550,0,0
A_f0.9_cells__baldwinian__s15,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,15,0.5,0.9,6.0,0,adaptive_cells,3.0,0.3936737804878049,59,0.508838028169014,0.022404118361744104,0.040580303205702,1800,0,50,573,553,523,0,0
A_f0.9_cells__baldwinian__s16,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,16,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4214975845410628,59,0.5139612676056339,0.021802768117275505,0.04131384143155718,1800,0,50,626,606,576,0,0
A_f0.9_cells__baldwinian__s17,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,17,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4083444296493564,59,0.5024647887323945,0.018973767772220575,0.03640729105718591,1800,0,50,580,560,530,0,0
A_f0.9_cells__baldwinian__s18,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,18,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4028548770816812,59,0.5155985915492957,0.022233051209357833,0.04036675593473982,1800,0,50,616,596,566,0,0
A_f0.9_cells__baldwinian__s19,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,19,0.5,0.9,6.0,0,adaptive_cells,3.0,0.4412751677852349,59,0.5090845070422535,0.021705880572825367,0.04165670122351309,1800,0,50,598,578,548,0,0
A_f0.9_cells__baldwinian__s20,A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,20,0.5,0.9,6.0,0,adaptive_cells,3.0,0.41905168731311404,59,0.5097887323943663,0.02004917821918915,0.03918974066235229,1800,0,50,631,611,581,0,0
