run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f0.9_move__baldwinian__s1,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,1,0.5,0.9,6.0,0,adaptive_move,3.0,0.4114420062695925,59,0.539225352112676,0.07260464307903607,0.13318792592735765,1800,0,50,647,627,597,0,0
A_f0.9_move__baldwinian__s2,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,2,0.5,0.9,6.0,0,adaptive_move,3.0,0.4316962443252167,59,0.5433274647887324,0.07198836727413514,0.1314124337507732,1800,0,50,621,601,571,0,0
A_f0.9_move__baldwinian__s3,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,3,0.5,0.9,6.0,0,adaptive_move,3.0,0.44587227414330216,59,0.5367429577464788,0.071838401479419,0.12861433109557383,1800,0,50,712,692,662,0,0
A_f0.9_move__baldwinian__s4,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,4,0.5,0.9,6.0,0,adaptive_move,3.0,0.3864365971107544,59,0.5380633802816901,0.0677234525374015,0.1269317862371529,1800,0,50,621,601,571,0,0
A_f0.9_move__baldwinian__s5,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,5,0.5,0.9,6.0,0,adaptive_move,3.0,0.4146049481245012,59,0.541725352112676,0.06967761842155976,0.12885920193260203,1800,0,50,623,603,573,0,0
A_f0.9_move__baldwinian__s6,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,6,0.5,0.9,6.0,0,adaptive_move,3.0,0.4067357512953368,59,0.5392957746478874,0.06990006343772123,0.12928138556790852,1800,0,50,632,612,582,0,0
A_f0.9_move__baldwinian__s7,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,7,0.5,0.9,6.0,0,adaptive_move,3.0,0.42024539877300615,59,0.5352640845070422,0.07222833492245609,0.1311666230323326,1800,0,50,670,650,620,0,0
A_f0.9_move__baldwinian__s8,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,8,0.5,0.9,6.0,0,adaptive_move,3.0,0.4174174174174174,59,0.5376056338028168,0.07934000949130998,0.14075331440103753,1800,0,50,672,652,622,0,0
A_f0.9_move__baldwinian__s9,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,9,0.5,0.9,6.0,0,adaptive_move,3.0,0.420719652036378,59,0.5349823943661973,0.0696815717411908,0.12997587472805483,1800,0,50,628,608,578,0,0
A_f0.9_move__baldwinian__s10,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,10,0.5,0.9,6.0,0,adaptive_move,3.0,0.42990654205607476,59,0.5351584507042253,0.07237773384536283,0.13130215982401314,1800,0,50,608,588,558,0,0
A_f0.9_move__baldwinian__s11,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,11,0.5,0.9,6.0,0,adaptive_move,3.0,0.4269162210338681,59,0.5329225352112676,0.070085330225116,0.12983468538498416,1800,0,50,651,631,601,0,0
A_f0.9_move__baldwinian__s12,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,12,0.5,0.9,6.0,0,adaptive_move,3.0,0.408036454018227,59,0.5327816901408452,0.07328038000291451,0.13249211766462304,1800,0,50,654,634,604,0,0
A_f0.9_move__baldwinian__s13,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,13,0.5,0.9,6.0,0,adaptive_move,3.0,0.41625143733231124,59,0.542887323943662,0.07535384062083962,0.13671096743795708,1800,0,50,663,643,613,0,0
A_f0.9_move__baldwinian__s14,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,14,0.5,0.9,6.0,0,adaptive_move,3.0,0.3822341857335128,59,0.5393309859154928,0.06873588591795604,0.12893821870825542,1800,0,50,553,533,503,0,0
A_f0.9_move__baldwinian__s15,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,15,0.5,0.9,6.0,0,adaptive_move,3.0,0.3994738819992484,59,0.5367077464788733,0.07045197749323273,0.1296468365119995,1800,0,50,613,593,563,0,0
A_f0.9_move__baldwinian__s16,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,16,0.5,0.9,6.0,0,adaptive_move,3.0,0.42134387351778657,59,0.5416373239436618,0.07074399360804032,0.1320093890923508,1800,0,50,632,612,582,0,0
A_f0.9_move__baldwinian__s17,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,17,0.5,0.9,6.0,0,adaptive_move,3.0,0.4178052005288673,59,0.5324119718309859,0.07083245102074352,0.13152266846246277,1800,0,50,607,587,557,0,0
A_f0.9_move__baldwinian__s18,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,18,0.5,0.9,6.0,0,adaptive_move,3.0,0.41178878428162097,59,0.5427112676056338,0.06804105320738273,0.12674195739929214,1800,0,50,603,583,553,0,0
A_f0.9_move__baldwinian__s19,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,19,0.5,0.9,6.0,0,adaptive_move,3.0,0.41859504132231407,59,0.5391197183098593,0.06889903877546716,0.12724255173915755,1800,0,50,628,608,578,0,0
A_f0.9_move__baldwinian__s20,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,20,0.5,0.9,6.0,0,adaptive_move,3.0,0.4251082251082251,59,0.5336091549295775,0.06373440074531725,0.11875242832261379,1800,0,50,650,630,600,0,0
A_f0.9_move__baldwinian__s21,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,21,0.5,0.9,6.0,0,adaptive_move,3.0,0.4073780245934153,59,0.5340845070422534,0.07166879192402141,0.13210964721873733,1800,0,50,602,582,552,0,0
A_f0.9_move__baldwinian__s22,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,22,0.5,0.9,6.0,0,adaptive_move,3.0,0.41263330598851516,59,0.5420422535211269,0.07034125164978415,0.1310756547903139,1800,0,50,627,607,577,0,0
A_f0.9_move__baldwinian__s23,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,23,0.5,0.9,6.0,0,adaptive_move,3.0,0.42835011618900076,59,0.5398415492957747,0.06861619291463403,0.12833006724606152,1800,0,50,668,648,618,0,0
A_f0.9_move__baldwinian__s24,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,24,0.5,0.9,6.0,0,adaptive_move,3.0,0.42527287993282953,59,0.5388204225352113,0.06760447797430975,0.12594461203433271,1800,0,50,590,570,540,0,0
A_f0.9_move__baldwinian__s25,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,25,0.5,0.9,6.0,0,adaptive_move,3.0,0.38458149779735684,59,0.5395598591549299,0.06908987733423955,0.12787216478107885,1800,0,50,589,569,539,0,0
A_f0.9_move__baldwinian__s26,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,26,0.5,0.9,6.0,0,adaptive_move,3.0,0.3988,59,0.5366021126760565,0.07008220403362837,0.13054312541518548,1800,0,50,599,579,549,0,0
A_f0.9_move__baldwinian__s27,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,27,0.5,0.9,6.0,0,adaptive_move,3.0,0.3947903947903948,59,0.5404929577464789,0.06767049265105275,0.1266261382506575,1800,0,50,580,560,530,0,0
A_f0.9_move__baldwinian__s28,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,28,0.5,0.9,6.0,0,adaptive_move,3.0,0.383984375,59,0.5428697183098591,0.07293504228022904,0.1330870409909826,1800,0,50,602,582,552,0,0
A_f0.9_move__baldwinian__s29,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,29,0.5,0.9,6.0,0,adaptive_move,3.0,0.4146441793500617,59,0.529524647887324,0.06258189577263355,0.11728933782925366,1800,0,50,638,618,588,0,0
A_f0.9_move__baldwinian__s30,A_f0.9_move__baldwinian,A_f0.9_move,A,baldwinian,30,0.5,0.9,6.0,0,adaptive_move,3.0,0.4010607915136679,59,0.535580985915493,0.06746716841788392,0.12764423620336723,1800,0,50,578,558,528,0,0
