run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,0.5,0.9,6.0,0,adaptive_move,3.0,0.3055360896986685,59,0.5474119718309859,0.09196417596767902,0.15884160875720135,1800,0,50,487,467,437,467,0
A_f0.9_move__lamarckian__s2,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,2,0.5,0.9,6.0,0,adaptive_move,3.0,0.3072157434402332,59,0.539119718309859,0.08889193017421695,0.15226542513447539,1800,0,49,437,417,388,417,0
A_f0.9_move__lamarckian__s3,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,3,0.5,0.9,6.0,0,adaptive_move,3.0,0.3283208020050125,59,0.5385211267605635,0.08165457008009287,0.14616878284830698,1800,0,38,471,451,433,451,0
A_f0.9_move__lamarckian__s4,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,4,0.5,0.9,6.0,0,adaptive_move,3.0,0.3189049204587495,59,0.5411795774647888,0.07585620076465392,0.1396369921501289,1800,0,40,453,433,413,433,0
A_f0.9_move__lamarckian__s5,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,5,0.5,0.9,6.0,0,adaptive_move,3.0,0.30169613857813066,59,0.5406690140845072,0.07991493309509115,0.1458764358915497,1800,0,47,467,447,420,447,0
A_f0.9_move__lamarckian__s6,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,6,0.5,0.9,6.0,0,adaptive_move,3.0,0.32704160246533126,59,0.5434683098591548,0.076797351045898,0.13975881035995816,1800,0,38,450,430,412,430,0
A_f0.9_move__lamarckian__s7,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,7,0.5,0.9,6.0,0,adaptive_move,3.0,0.28537333787930447,59,0.5461971830985916,0.08738196659516241,0.15312237399288114,1800,0,36,435,415,399,415,0
A_f0.9_move__lamarckian__s8,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,8,0.5,0.9,6.0,0,adaptive_move,3.0,0.2952542372881356,59,0.5489964788732397,0.08863086487187345,0.15457610843430367,1800,0,38,465,445,427,445,0
A_f0.9_move__lamarckian__s9,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,9,0.5,0.9,6.0,0,adaptive_move,3.0,0.28733944954128443,59,0.550088028169014,0.08310769565051225,0.14962217209548548,1800,0,33,454,434,421,434,0
A_f0.9_move__lamarckian__s10,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,10,0.5,0.9,6.0,0,adaptive_move,3.0,0.2956231454005935,59,0.545369718309859,0.08550426883727819,0.14942132410807693,1800,0,38,412,392,374,392,0
