run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,50,train,50,0.72,32,2,100.85573237982445,0.7916666666666666,0.5,adaptive_move,0.58125,0.05687506998853928,0.101592966573816,276.0,20.0,17.0,279.0,80.0,6.0,0.0,0.0,50.0,5.0,1.0,31.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,100,train,50,0.96,16,16,50.41198608226313,0.9375,0.5,adaptive_move,0.59375,0.06357289898223013,0.1359746042216361,272.0,17.0,21.0,354.0,29.0,0.0,0.0,0.0,48.0,3.0,3.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,150,train,47,1.2340425531914894,16,19,102.37763252953272,0.7916666666666666,0.5,adaptive_move,0.5875,0.09061972101666227,0.17513182382134018,322.0,23.0,27.0,415.0,42.0,2.0,0.0,0.0,50.0,3.0,3.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,200,train,49,1.3265306122448979,19,17,76.28507309365018,0.8125,0.5,adaptive_move,0.49375,0.07711727507756014,0.13801256613756618,309.0,21.0,17.0,373.0,81.0,3.0,0.0,0.0,49.0,1.0,3.0,27.0,23.0,2.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,250,train,50,1.4,17,16,41.741769519096295,0.9166666666666666,0.5,adaptive_move,0.53125,0.134845248614195,0.21230053191489384,491.0,32.0,12.0,419.0,93.0,6.0,0.0,0.0,66.0,1.0,2.0,34.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,300,train,50,1.36,15,15,63.33314066226361,0.8541666666666666,0.5,adaptive_move,0.55,0.1276242706428031,0.20155873493975895,234.0,13.0,24.0,443.0,104.0,4.0,0.0,0.0,40.0,0.0,6.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,350,train,47,1.446808510638298,14,17,88.05579884286931,0.875,0.5,adaptive_move,0.575,0.12998802920811783,0.21582943925233633,371.0,12.0,32.0,498.0,99.0,4.0,0.0,0.0,54.0,1.0,10.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,400,train,50,1.56,11,8,91.35020891277009,0.8125,0.5,adaptive_move,0.63125,0.11196579464893121,0.20577205882352945,414.0,24.0,27.0,429.0,51.0,2.0,0.0,0.0,68.0,0.0,11.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,450,train,50,1.34,10,10,54.54762540645113,0.9583333333333334,0.5,adaptive_move,0.54375,0.1109560901325283,0.19761117788461546,436.0,23.0,26.0,428.0,124.0,6.0,0.0,0.0,83.0,1.0,8.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,500,train,50,1.66,12,12,82.63970280122633,0.875,0.5,adaptive_move,0.5375,0.12964673219283737,0.19251986552567213,429.0,17.0,22.0,439.0,56.0,3.0,0.0,0.0,73.0,0.0,5.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,550,train,50,1.86,10,10,143.49392004769004,0.6458333333333334,0.5,adaptive_move,0.56875,0.11804491398452378,0.1988027108433732,382.0,18.0,26.0,363.0,52.0,5.0,0.0,0.0,63.0,0.0,9.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0
A_f0.9_move__lamarckian__s1,A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,1,600,train,50,1.94,10,10,85.52376093890705,0.9166666666666666,0.5,adaptive_move,0.525,0.09068029581964823,0.15580587855297168,312.0,12.0,31.0,617.0,110.0,5.0,0.0,0.0,71.0,1.0,4.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0
