run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4047890535917902,59,0.5775704225352112,0.724006747977726,0.4805378956365571,1800,0,50,671,651,621,0,0
A_f1_blind__baldwinian__s2,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,2,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4470064724919094,59,0.5766021126760564,0.7157610653508356,0.47577355078946215,1800,0,50,689,669,639,0,0
A_f1_blind__baldwinian__s3,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,3,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4641867827463395,59,0.5819542253521126,0.7330884533278986,0.486908526585771,1800,0,50,688,668,638,0,0
A_f1_blind__baldwinian__s4,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,4,0.5,1.0,6.0,0,adaptive_blind,3.0,0.39187056037884765,59,0.5787147887323943,0.7313217278410353,0.4814234042173134,1800,0,50,594,574,544,0,0
A_f1_blind__baldwinian__s5,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,5,0.5,1.0,6.0,0,adaptive_blind,3.0,0.42671394799054374,59,0.5779577464788732,0.7225247488643909,0.47999943087112573,1800,0,50,641,621,591,0,0
A_f1_blind__baldwinian__s6,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,6,0.5,1.0,6.0,0,adaptive_blind,3.0,0.40488431876606684,59,0.5788380281690141,0.7384445593545529,0.48152457822641304,1800,0,50,635,615,585,0,0
A_f1_blind__baldwinian__s7,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,7,0.5,1.0,6.0,0,adaptive_blind,3.0,0.42168674698795183,59,0.5801760563380282,0.6958392775291585,0.46998448814279514,1800,0,50,666,646,616,0,0
A_f1_blind__baldwinian__s8,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,8,0.5,1.0,6.0,0,adaptive_blind,3.0,0.45602365114560234,59,0.5816197183098591,0.7416554712735337,0.49164374381290676,1800,0,50,653,633,603,0,0
A_f1_blind__baldwinian__s9,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,9,0.5,1.0,6.0,0,adaptive_blind,3.0,0.40850202429149796,59,0.57875,0.7514264817766306,0.48946363767227985,1800,0,50,621,601,571,0,0
A_f1_blind__baldwinian__s10,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,10,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4272281275551921,59,0.5726056338028168,0.7159739385969737,0.47761204578224487,1800,0,50,573,553,523,0,0
A_f1_blind__baldwinian__s11,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,11,0.5,1.0,6.0,0,adaptive_blind,3.0,0.44850352112676056,59,0.5800704225352113,0.7259802300854524,0.4759106820500039,1800,0,50,619,599,569,0,0
A_f1_blind__baldwinian__s12,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,12,0.5,1.0,6.0,0,adaptive_blind,3.0,0.43422148209825145,59,0.5803521126760564,0.7405469551409196,0.4883261197590817,1800,0,50,622,602,572,0,0
A_f1_blind__baldwinian__s13,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,13,0.5,1.0,6.0,0,adaptive_blind,3.0,0.40854368932038837,59,0.5791549295774648,0.7349646678308619,0.48688776990965643,1800,0,50,639,619,589,0,0
A_f1_blind__baldwinian__s14,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,14,0.5,1.0,6.0,0,adaptive_blind,3.0,0.434957532409477,59,0.5801056338028169,0.7366951053905986,0.48239114166117014,1800,0,50,633,613,583,0,0
A_f1_blind__baldwinian__s15,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,15,0.5,1.0,6.0,0,adaptive_blind,3.0,0.47747400847131305,59,0.5755633802816901,0.7659810781561818,0.495829208275864,1800,0,50,655,635,605,0,0
A_f1_blind__baldwinian__s16,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,16,0.5,1.0,6.0,0,adaptive_blind,3.0,0.40778533635676495,59,0.5799295774647887,0.7128473332307249,0.47615566304066376,1800,0,50,637,617,587,0,0
A_f1_blind__baldwinian__s17,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,17,0.5,1.0,6.0,0,adaptive_blind,3.0,0.39362618432385876,59,0.5806514084507043,0.7128994665532062,0.4722784526927238,1800,0,50,610,590,560,0,0
A_f1_blind__baldwinian__s18,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,18,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4340263046245227,59,0.581056338028169,0.7043000611965898,0.47449547362799827,1800,0,50,623,603,573,0,0
A_f1_blind__baldwinian__s19,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,19,0.5,1.0,6.0,0,adaptive_blind,3.0,0.45197255574614065,59,0.5764788732394366,0.7437900982712139,0.4844370053531695,1800,0,50,575,555,525,0,0
A_f1_blind__baldwinian__s20,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,20,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4527320034692108,59,0.5805281690140844,0.7250850428515653,0.4800080654810582,1800,0,50,650,630,600,0,0
A_f1_blind__baldwinian__s21,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,21,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4205679201841903,59,0.5812852112676056,0.733690570454586,0.4887204351554923,1800,0,50,665,645,615,0,0
A_f1_blind__baldwinian__s22,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,22,0.5,1.0,6.0,0,adaptive_blind,3.0,0.4558258642765685,59,0.5800704225352113,0.754451972393305,0.4932948857730375,1800,0,50,589,569,539,0,0
