run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,50,train,50,0.74,35,5,89.38344968987622,0.8333333333333334,0.5,adaptive_blind,0.55625,0.5375862668980284,0.3994866071428571,224.0,0.0,0.0,315.0,71.0,0.0,0.0,0.0,42.0,0.0,0.0,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,100,train,50,0.84,12,12,46.485130700517075,0.9583333333333334,0.5,adaptive_blind,0.59375,0.877608425562932,0.5874796637744035,310.0,0.0,0.0,496.0,71.0,0.0,0.0,0.0,50.0,0.0,0.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,150,train,50,1.06,18,18,88.49019585797394,0.875,0.5,adaptive_blind,0.58125,0.8612020931915242,0.5947506476683939,330.0,0.0,0.0,514.0,121.0,0.0,0.0,0.0,55.0,0.0,0.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,200,train,50,1.12,14,14,60.92436874893214,0.875,0.5,adaptive_blind,0.575,0.8184879076698935,0.5717125706214687,360.0,0.0,0.0,553.0,46.0,0.0,0.0,0.0,62.0,0.0,0.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,250,train,50,0.94,14,14,59.6716967063703,0.9166666666666666,0.5,adaptive_blind,0.61875,0.8688341994378403,0.5894342105263157,419.0,0.0,0.0,473.0,89.0,0.0,0.0,0.0,63.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,300,train,50,0.92,18,18,69.25581611678095,0.8333333333333334,0.5,adaptive_blind,0.5875,0.8990019743117341,0.5805866912599318,328.0,0.0,0.0,472.0,44.0,0.0,0.0,0.0,43.0,0.0,0.0,38.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,350,train,50,0.98,17,17,80.84558341514665,0.875,0.5,adaptive_blind,0.5875,0.7865824581326941,0.5576697892271663,334.0,0.0,0.0,467.0,78.0,0.0,0.0,0.0,62.0,0.0,0.0,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,400,train,50,1.02,20,20,83.70802456791047,0.8541666666666666,0.5,adaptive_blind,0.60625,0.8559494180577016,0.5669574499411072,329.0,0.0,0.0,561.0,40.0,0.0,0.0,0.0,44.0,0.0,0.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,450,train,50,1.04,21,21,51.914977799861106,0.9375,0.5,adaptive_blind,0.6375,0.83411094244668,0.5835205866523145,288.0,0.0,0.0,450.0,66.0,0.0,0.0,0.0,64.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,500,train,47,1.4680851063829787,22,25,62.88195260486091,0.8541666666666666,0.5,adaptive_blind,0.65625,0.8378089271542704,0.5825256479481642,315.0,0.0,0.0,502.0,98.0,0.0,0.0,0.0,63.0,0.0,0.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
A_f1_blind__baldwinian__s1,A_f1_blind__baldwinian,A_f1_blind,A,baldwinian,1,550,train,45,1.8,21,23,69.5202542070846,0.9375,0.5,adaptive_blind,0.58125,0.8548692138094077,0.5700072674418604,313.0,0.0,0.0,355.0,117.0,0.0,0.0,0.0,56.0,0.0,0.0,40.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
