run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,0.5,1.0,6.0,0,adaptive_blind,3.0,0.27036516853932585,59,0.5804929577464788,0.6955508445833855,0.47072355306045033,1800,0,47,451,431,404,431,0
A_f1_blind__lamarckian__s2,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,2,0.5,1.0,6.0,0,adaptive_blind,3.0,0.2720060445787684,59,0.5825000000000001,0.6744687855880905,0.460620382653224,1800,0,50,439,419,389,419,0
A_f1_blind__lamarckian__s3,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,3,0.5,1.0,6.0,0,adaptive_blind,3.0,0.23969903260480116,59,0.5738908450704224,0.6586501636860098,0.4463979237709431,1800,0,40,429,409,389,409,0
A_f1_blind__lamarckian__s4,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,4,0.5,1.0,6.0,0,adaptive_blind,3.0,0.21862068965517242,59,0.5783978873239437,0.6715352136673338,0.45353094107836517,1800,0,49,415,395,366,395,0
A_f1_blind__lamarckian__s5,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,5,0.5,1.0,6.0,0,adaptive_blind,3.0,0.27126099706744866,59,0.5823239436619718,0.6716048973339949,0.4602323973347197,1800,0,38,435,415,397,415,0
A_f1_blind__lamarckian__s6,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,6,0.5,1.0,6.0,0,adaptive_blind,3.0,0.23563664596273293,59,0.5730457746478874,0.6488250215202215,0.44165964123335416,1800,0,48,407,387,359,387,0
A_f1_blind__lamarckian__s7,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,7,0.5,1.0,6.0,0,adaptive_blind,3.0,0.23504721930745015,59,0.5839084507042253,0.6645663231399129,0.4527068263006205,1800,0,40,402,382,362,382,0
A_f1_blind__lamarckian__s8,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,8,0.5,1.0,6.0,0,adaptive_blind,3.0,0.20585397233837247,59,0.580862676056338,0.6040734400674284,0.43059293921645325,1800,0,43,398,378,355,378,0
A_f1_blind__lamarckian__s9,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,9,0.5,1.0,6.0,0,adaptive_blind,3.0,0.25920360631104433,59,0.5795774647887323,0.6928683275240662,0.45822989944383496,1800,0,37,386,366,349,366,0
A_f1_blind__lamarckian__s10,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,10,0.5,1.0,6.0,0,adaptive_blind,3.0,0.27341105678826627,59,0.5789788732394365,0.7142259694445288,0.47384885278850153,1800,0,50,438,418,388,418,0
