run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,50,train,50,0.7,31,1,86.78197142688092,0.7916666666666666,0.5,adaptive_blind,0.55625,0.5562099582708648,0.4012499999999999,325.0,0.0,0.0,305.0,109.0,0.0,0.0,0.0,45.0,0.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,100,train,50,0.74,8,8,59.85501325199095,0.9583333333333334,0.5,adaptive_blind,0.5875,1.0579328598616438,0.6560451680672266,239.0,0.0,0.0,519.0,84.0,0.0,0.0,0.0,39.0,0.0,0.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,150,train,50,0.8,14,14,76.11088370886527,0.875,0.5,adaptive_blind,0.54375,0.874304194232211,0.5748241963260621,466.0,0.0,0.0,594.0,46.0,0.0,0.0,0.0,53.0,0.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,200,train,50,0.82,12,12,53.57559899284793,0.9375,0.5,adaptive_blind,0.5875,0.9058054297681143,0.6081848205383851,565.0,0.0,0.0,620.0,49.0,0.0,0.0,0.0,57.0,0.0,0.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,250,train,50,0.84,14,14,64.34410475145938,0.8333333333333334,0.5,adaptive_blind,0.58125,0.745462796947557,0.5623738789237671,284.0,0.0,0.0,600.0,64.0,0.0,0.0,0.0,42.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,300,train,50,0.86,12,12,51.63353783266725,0.9375,0.5,adaptive_blind,0.5875,0.8677209680951835,0.5518734452736316,351.0,0.0,0.0,502.0,71.0,0.0,0.0,0.0,61.0,0.0,0.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,350,train,50,0.86,8,8,83.56854190287433,0.8958333333333334,0.5,adaptive_blind,0.56875,0.9083002124833507,0.5980513932702414,350.0,0.0,0.0,815.0,45.0,0.0,0.0,0.0,53.0,0.0,0.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,400,train,50,0.9,12,12,54.545938913033986,0.9166666666666666,0.5,adaptive_blind,0.6125,0.8626395790488324,0.5825302863436124,459.0,0.0,0.0,738.0,49.0,0.0,0.0,0.0,78.0,0.0,0.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,450,train,50,1.0,11,11,88.72775319416542,0.8541666666666666,0.5,adaptive_blind,0.60625,0.930315150012207,0.5889236111111111,403.0,0.0,0.0,784.0,33.0,0.0,0.0,0.0,57.0,0.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,500,train,50,1.34,15,15,61.24675740367346,0.9583333333333334,0.5,adaptive_blind,0.5625,0.9919997046888631,0.6303346548507462,333.0,0.0,0.0,765.0,29.0,0.0,0.0,0.0,66.0,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,550,train,50,1.64,15,15,99.12028514411095,0.7708333333333334,0.5,adaptive_blind,0.6375,0.7190765250861046,0.5448215352449226,259.0,0.0,0.0,581.0,86.0,0.0,0.0,0.0,54.0,0.0,0.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,600,train,50,1.7,13,13,66.08272881095421,0.875,0.5,adaptive_blind,0.575,0.8565820477656987,0.5617748205741626,281.0,0.0,0.0,571.0,74.0,0.0,0.0,0.0,69.0,0.0,0.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,650,train,50,1.68,8,8,54.56762138681455,0.9166666666666666,0.5,adaptive_blind,0.6125,0.9494085995915211,0.617413330078125,173.0,0.0,0.0,562.0,44.0,0.0,0.0,0.0,68.0,0.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,700,train,50,1.68,13,13,40.22694442474147,0.9583333333333334,0.5,adaptive_blind,0.61875,0.9275104939723696,0.6157279554263566,192.0,0.0,0.0,524.0,51.0,0.0,0.0,0.0,77.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,750,train,50,1.96,16,16,68.82152233856444,0.8958333333333334,0.5,adaptive_blind,0.5625,0.8679766760146623,0.569995629370629,334.0,0.0,0.0,486.0,31.0,0.0,0.0,0.0,76.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,800,train,50,2.1,12,12,50.46833116355603,0.8958333333333334,0.5,adaptive_blind,0.5625,0.6615961162072552,0.5003684119278782,258.0,0.0,0.0,536.0,68.0,0.0,0.0,0.0,81.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
A_f1_blind__lamarckian__s1,A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1,850,train,50,2.16,8,8,76.73851875612162,0.8333333333333334,0.5,adaptive_blind,0.60625,0.8655149585602737,0.5746654328018224,203.0,0.0,0.0,581.0,58.0,0.0,0.0,0.0,74.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
