run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36442598187311176,59,0.5110563380281691,0.020541686694665034,0.03825059805108282,1800,0,50,636,616,586,0,0
A_f1_cells__baldwinian__s2,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,2,0.5,1.0,6.0,0,adaptive_cells,3.0,0.380178716490658,59,0.5078345070422534,0.019391790015320605,0.03711676231992612,1800,0,50,614,594,564,0,0
A_f1_cells__baldwinian__s3,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,3,0.5,1.0,6.0,0,adaptive_cells,3.0,0.3820047355958958,59,0.5108626760563381,0.02053563289489368,0.03814932077406657,1800,0,50,660,640,610,0,0
A_f1_cells__baldwinian__s4,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,4,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36698717948717946,59,0.5134683098591549,0.018329260990105255,0.036286958254543034,1800,0,50,643,623,593,0,0
A_f1_cells__baldwinian__s5,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,5,0.5,1.0,6.0,0,adaptive_cells,3.0,0.34125438254772106,59,0.5099823943661972,0.018472876100445974,0.034889030171044534,1800,0,50,574,554,524,0,0
A_f1_cells__baldwinian__s6,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,6,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36438582028029676,59,0.5104049295774647,0.017701868976144335,0.03518327044164383,1800,0,50,645,625,595,0,0
A_f1_cells__baldwinian__s7,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,7,0.5,1.0,6.0,0,adaptive_cells,3.0,0.3556840077071291,59,0.5064436619718309,0.018928076297089147,0.036936118592787885,1800,0,50,654,634,604,0,0
A_f1_cells__baldwinian__s8,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,8,0.5,1.0,6.0,0,adaptive_cells,3.0,0.3580657069029162,59,0.5151760563380282,0.019676277730244975,0.03856996933059989,1800,0,50,673,653,623,0,0
A_f1_cells__baldwinian__s9,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,9,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36650485436893204,59,0.5111971830985915,0.01914430095908535,0.036093561417309565,1800,0,50,581,561,531,0,0
A_f1_cells__baldwinian__s10,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,10,0.5,1.0,6.0,0,adaptive_cells,3.0,0.4051830522418758,59,0.5123239436619719,0.021231999342929027,0.039049931486811226,1800,0,50,595,575,545,0,0
A_f1_cells__baldwinian__s11,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,11,0.5,1.0,6.0,0,adaptive_cells,3.0,0.38300653594771245,59,0.5058274647887324,0.018998809931675128,0.03533435568587566,1800,0,50,623,603,573,0,0
A_f1_cells__baldwinian__s12,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,12,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36315141567501025,59,0.5132922535211266,0.018240721056599123,0.035388993168732584,1800,0,50,548,528,498,0,0
A_f1_cells__baldwinian__s13,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,13,0.5,1.0,6.0,0,adaptive_cells,3.0,0.38685015290519875,59,0.5074823943661971,0.02132805486805198,0.04009226930888265,1800,0,50,640,620,590,0,0
A_f1_cells__baldwinian__s14,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,14,0.5,1.0,6.0,0,adaptive_cells,3.0,0.38182652592932537,59,0.5073063380281689,0.017459085061825703,0.03336655969902689,1800,0,50,606,586,556,0,0
A_f1_cells__baldwinian__s15,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,15,0.5,1.0,6.0,0,adaptive_cells,3.0,0.36241108199176336,59,0.5072535211267605,0.020786993962234723,0.03833355986886395,1800,0,50,649,629,599,0,0
A_f1_cells__baldwinian__s16,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,16,0.5,1.0,6.0,0,adaptive_cells,3.0,0.35057915057915057,59,0.5123239436619719,0.018526136917797604,0.03619146106075446,1800,0,50,584,564,534,0,0
A_f1_cells__baldwinian__s17,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,17,0.5,1.0,6.0,0,adaptive_cells,3.0,0.3632013919095259,59,0.5071302816901408,0.017217376329998764,0.03337686038762899,1800,0,50,591,571,541,0,0
