run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,50,train,50,0.76,35,5,88.00705474723323,0.7708333333333334,0.5,adaptive_cells,0.56875,0.025087342205159183,0.043684701492537226,232.0,0.0,0.0,255.0,60.0,0.0,0.0,0.0,50.0,0.0,0.0,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,100,train,50,0.78,10,10,35.4293547901879,0.9791666666666666,0.5,adaptive_cells,0.50625,0.01802119785539311,0.03529743975903621,325.0,0.0,0.0,300.0,68.0,0.0,0.0,0.0,55.0,0.0,0.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,150,train,50,0.96,17,17,87.25686495229435,0.7916666666666666,0.5,adaptive_cells,0.48125,0.01938721532490713,0.04316231343283583,332.0,0.0,0.0,409.0,80.0,0.0,0.0,0.0,43.0,0.0,0.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,200,train,50,1.06,14,14,67.28079552169044,0.9375,0.5,adaptive_cells,0.55625,0.03201467252695856,0.059283357771260814,277.0,0.0,0.0,432.0,74.0,0.0,0.0,0.0,50.0,0.0,0.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,250,train,50,1.14,9,9,74.50249565917002,0.8541666666666666,0.5,adaptive_cells,0.4625,0.026021587527983968,0.046335565476190554,311.0,0.0,0.0,345.0,77.0,0.0,0.0,0.0,56.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,300,train,50,1.3,21,21,47.75114005367489,0.9375,0.5,adaptive_cells,0.48125,0.027077965823141613,0.05632352941176455,396.0,0.0,0.0,430.0,117.0,0.0,0.0,0.0,58.0,0.0,0.0,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,350,train,50,1.3,9,9,62.40291571086046,0.875,0.5,adaptive_cells,0.53125,0.02374564152806605,0.05109097633136095,221.0,0.0,0.0,447.0,139.0,0.0,0.0,0.0,54.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,400,train,50,1.28,17,17,82.03397147991026,0.8333333333333334,0.5,adaptive_cells,0.54375,0.02841784297104292,0.043852611940298436,428.0,0.0,0.0,488.0,124.0,0.0,0.0,0.0,58.0,0.0,0.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,450,train,50,1.2,14,14,89.32392399687069,0.7708333333333334,0.5,adaptive_cells,0.51875,0.029616337050657325,0.05659926470588239,284.0,0.0,0.0,537.0,113.0,0.0,0.0,0.0,48.0,0.0,0.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,500,train,50,1.58,18,18,119.29037734000698,0.7083333333333334,0.5,adaptive_cells,0.53125,0.019987983316988332,0.04069985029940115,327.0,0.0,0.0,482.0,151.0,0.0,0.0,0.0,56.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,550,train,50,1.98,28,28,87.03132760968518,0.8333333333333334,0.5,adaptive_cells,0.525,0.03202988372383081,0.054323377581120935,292.0,0.0,0.0,326.0,60.0,0.0,0.0,0.0,70.0,0.0,0.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,600,train,50,2.02,24,24,57.99988264052414,0.9166666666666666,0.5,adaptive_cells,0.48125,0.019987983316988325,0.04069985029940115,314.0,0.0,0.0,509.0,47.0,0.0,0.0,0.0,53.0,0.0,0.0,38.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,650,train,45,2.2666666666666666,13,18,99.71703297526548,0.7916666666666666,0.5,adaptive_cells,0.55625,0.01744073699076886,0.03786599099099086,392.0,0.0,0.0,297.0,91.0,0.0,0.0,0.0,55.0,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,700,train,45,2.6222222222222222,21,21,94.08912787663402,0.8125,0.5,adaptive_cells,0.4875,0.031704749744901936,0.046577380952381064,381.0,0.0,0.0,266.0,56.0,0.0,0.0,0.0,62.0,0.0,0.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,750,train,49,2.6530612244897958,17,13,64.17206755067828,0.9166666666666666,0.5,adaptive_cells,0.525,0.03605002934865679,0.051997041420118295,428.0,0.0,0.0,330.0,82.0,0.0,0.0,0.0,60.0,0.0,0.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,800,train,50,2.64,16,15,79.81036011690881,0.8958333333333334,0.5,adaptive_cells,0.5,0.024649317004978487,0.053604351032448205,348.0,0.0,0.0,352.0,119.0,0.0,0.0,0.0,64.0,0.0,0.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,850,train,50,2.66,14,14,68.48078554319973,0.9166666666666666,0.5,adaptive_cells,0.51875,0.01744073699076886,0.03786599099099086,382.0,0.0,0.0,390.0,45.0,0.0,0.0,0.0,68.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,900,train,50,2.7,15,15,109.44258112267126,0.7916666666666666,0.5,adaptive_cells,0.53125,0.02413856523650897,0.040999251497005895,323.0,0.0,0.0,297.0,67.0,0.0,0.0,0.0,61.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,950,train,42,2.761904761904762,12,20,63.650842185724755,0.9583333333333334,0.5,adaptive_cells,0.56875,0.02189571145322239,0.04596354166666683,426.0,0.0,0.0,283.0,66.0,0.0,0.0,0.0,80.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1000,train,46,2.891304347826087,22,18,108.35004054778936,0.75,0.5,adaptive_cells,0.50625,0.018421372108112437,0.04053143712574858,378.0,0.0,0.0,406.0,84.0,0.0,0.0,0.0,48.0,0.0,0.0,41.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1050,train,37,3.27027027027027,16,25,79.8366013576627,0.875,0.5,adaptive_cells,0.5125,0.03361605805246963,0.04937870919881315,217.0,0.0,0.0,352.0,65.0,0.0,0.0,0.0,40.0,0.0,0.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1100,train,33,3.272727272727273,13,17,138.31227287365994,0.75,0.5,adaptive_cells,0.525,0.05188508557824353,0.07285043352601162,229.0,0.0,0.0,380.0,40.0,0.0,0.0,0.0,45.0,0.0,0.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1150,train,45,3.577777777777778,26,14,45.438369338267364,0.9375,0.5,adaptive_cells,0.525,0.0400627515248503,0.06724200581395356,229.0,0.0,0.0,301.0,45.0,0.0,0.0,0.0,72.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1200,train,42,3.761904761904762,10,13,130.62305264184715,0.7708333333333334,0.5,adaptive_cells,0.5375,0.015434445975162123,0.032430135951661665,299.0,0.0,0.0,283.0,66.0,0.0,0.0,0.0,49.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1250,train,50,4.1,20,12,112.3520097550793,0.7708333333333334,0.5,adaptive_cells,0.4625,0.017015256077169822,0.03254342900302132,246.0,0.0,0.0,395.0,106.0,0.0,0.0,0.0,51.0,0.0,0.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1300,train,50,4.16,16,16,74.39263989344457,0.8958333333333334,0.5,adaptive_cells,0.5,0.025933154040404267,0.04887796735905048,423.0,0.0,0.0,563.0,105.0,0.0,0.0,0.0,57.0,0.0,0.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1350,train,50,4.42,19,19,97.06026430605914,0.8333333333333334,0.5,adaptive_cells,0.54375,0.026299032703673578,0.05134985207100584,460.0,0.0,0.0,594.0,54.0,0.0,0.0,0.0,48.0,0.0,0.0,40.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1400,train,50,4.44,21,21,65.99620862673866,0.8958333333333334,0.5,adaptive_cells,0.45625,0.03357338857269379,0.05447087020648955,300.0,0.0,0.0,521.0,129.0,0.0,0.0,0.0,49.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1450,train,50,4.58,15,15,76.10434535272123,0.875,0.5,adaptive_cells,0.46875,0.026941456929397718,0.04895215133531172,444.0,0.0,0.0,384.0,96.0,0.0,0.0,0.0,65.0,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1500,train,50,4.8,16,16,81.99749081435073,0.8541666666666666,0.5,adaptive_cells,0.50625,0.018421372108112437,0.04053143712574858,428.0,0.0,0.0,522.0,66.0,0.0,0.0,0.0,58.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
A_f1_cells__baldwinian__s1,A_f1_cells__baldwinian,A_f1_cells,A,baldwinian,1,1550,eval,48,4.958333333333333,29,31,114.65808399316128,0.7708333333333334,0.5,adaptive_cells,0.51,0.0,0.0,407.0,0.0,0.0,451.0,57.0,0.0,0.0,49.0,36.0,0.0,0.0,36.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,8.0
