run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,0.5,1.0,6.0,0,adaptive_cells,3.0,0.19597267170082705,59,0.5042957746478873,0.010364067301377356,0.022271115451545268,1800,0,37,377,357,340,357,0
A_f1_cells__lamarckian__s2,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,2,0.5,1.0,6.0,0,adaptive_cells,3.0,0.23613193403298352,59,0.5056338028169015,0.012186461758529226,0.02578138005312112,1800,0,42,405,385,363,385,0
A_f1_cells__lamarckian__s3,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,3,0.5,1.0,6.0,0,adaptive_cells,3.0,0.21231422505307856,59,0.5055633802816901,0.011995934469122055,0.024500552234823083,1800,0,45,400,380,355,380,0
A_f1_cells__lamarckian__s4,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,4,0.5,1.0,6.0,0,adaptive_cells,3.0,0.16240497581202487,59,0.5096478873239436,0.008615308883869703,0.019444561675567334,1800,0,46,391,371,345,371,0
A_f1_cells__lamarckian__s5,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,5,0.5,1.0,6.0,0,adaptive_cells,3.0,0.17833735770955503,59,0.5008978873239437,0.010198983016692479,0.02139678420517001,1800,0,50,405,385,355,385,0
A_f1_cells__lamarckian__s6,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,6,0.5,1.0,6.0,0,adaptive_cells,3.0,0.21105715353007098,59,0.5019718309859157,0.010672758578255928,0.022878159503189725,1800,0,50,396,376,346,376,0
A_f1_cells__lamarckian__s7,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,7,0.5,1.0,6.0,0,adaptive_cells,3.0,0.18971807628524046,58,0.5041197183098594,0.0114524232682046,0.02351919237181404,1800,0,42,386,366,344,366,0
A_f1_cells__lamarckian__s8,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,8,0.5,1.0,6.0,0,adaptive_cells,3.0,0.1656239710240369,59,0.5013380281690141,0.00998490296465045,0.020420999277640888,1800,0,40,368,348,328,348,0
A_f1_cells__lamarckian__s9,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,9,0.5,1.0,6.0,0,adaptive_cells,3.0,0.2097722263041881,59,0.5011091549295774,0.011728121454302807,0.023371043915401978,1800,0,50,400,380,350,380,0
A_f1_cells__lamarckian__s10,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,10,0.5,1.0,6.0,0,adaptive_cells,3.0,0.22974963181148747,59,0.5044894366197183,0.012186405697710876,0.025330643112961786,1800,0,45,411,391,366,391,0
