run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,50,train,50,0.76,32,2,94.2371006880563,0.7916666666666666,0.5,adaptive_cells,0.50625,0.024464301385827572,0.046186755952380976,380.0,0.0,0.0,277.0,117.0,0.0,0.0,0.0,40.0,0.0,0.0,41.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,100,train,50,0.76,6,6,64.36401016373982,0.875,0.5,adaptive_cells,0.575,0.02338297114670397,0.03822259759759761,367.0,0.0,0.0,419.0,91.0,0.0,0.0,0.0,56.0,0.0,0.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,150,train,50,0.74,13,13,91.67405351083778,0.7708333333333334,0.5,adaptive_cells,0.5375,0.03736598217723463,0.0692663043478261,451.0,0.0,0.0,582.0,157.0,0.0,0.0,0.0,48.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,200,train,50,0.78,7,7,96.50681986401429,0.7708333333333334,0.5,adaptive_cells,0.54375,0.026414841134335572,0.05853189149560101,337.0,0.0,0.0,735.0,76.0,0.0,0.0,0.0,46.0,0.0,0.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,250,train,50,0.76,10,10,47.16950967536612,0.9375,0.5,adaptive_cells,0.48125,0.011776610967134483,0.02673822188449848,455.0,0.0,0.0,482.0,108.0,0.0,0.0,0.0,74.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,300,train,50,0.82,7,7,121.59739080258103,0.6666666666666666,0.5,adaptive_cells,0.45625,0.006938234570375453,0.01805981595092021,594.0,0.0,0.0,445.0,113.0,0.0,0.0,0.0,52.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,350,train,50,0.84,4,4,86.48390148520434,0.7708333333333334,0.5,adaptive_cells,0.44375,0.004692225200453794,0.01219135802469129,567.0,0.0,0.0,549.0,110.0,0.0,0.0,0.0,64.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,400,train,50,0.84,4,4,73.19944780692052,0.8333333333333334,0.5,adaptive_cells,0.5,0.01018619107727263,0.0265862462006079,507.0,0.0,0.0,651.0,134.0,0.0,0.0,0.0,59.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,450,train,50,0.84,7,7,79.8960538544316,0.8125,0.5,adaptive_cells,0.4875,0.01071471372890797,0.023913871951219523,423.0,0.0,0.0,618.0,62.0,0.0,0.0,0.0,61.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,500,train,49,1.183673469387755,11,12,74.74086165305772,0.8125,0.5,adaptive_cells,0.475,0.018421372108112437,0.04053143712574858,359.0,0.0,0.0,465.0,104.0,0.0,0.0,0.0,74.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,550,train,50,1.6,24,23,63.13559406642605,0.8958333333333334,0.5,adaptive_cells,0.5,0.018421372108112437,0.04053143712574858,248.0,0.0,0.0,401.0,67.0,0.0,0.0,0.0,68.0,0.0,0.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,600,train,50,1.7,12,12,75.13769059386712,0.8333333333333334,0.5,adaptive_cells,0.50625,0.02529371295932211,0.05129437869822473,317.0,0.0,0.0,451.0,80.0,0.0,0.0,0.0,64.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
A_f1_cells__lamarckian__s1,A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1,650,train,50,1.78,11,11,45.318579820030095,0.9375,0.5,adaptive_cells,0.5375,0.008036850975537881,0.020938455657492083,342.0,0.0,0.0,481.0,37.0,0.0,0.0,0.0,76.0,0.0,0.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
