run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,0.5,1.0,6.0,0,adaptive_move,3.0,0.35653188180404355,59,0.5391373239436619,0.06537184840899687,0.12207718191319313,1800,0,50,628,608,578,0,0
A_f1_move__baldwinian__s2,A_f1_move__baldwinian,A_f1_move,A,baldwinian,2,0.5,1.0,6.0,0,adaptive_move,3.0,0.3914997956681651,59,0.532887323943662,0.06829438314321756,0.12595170260612953,1800,0,50,628,608,578,0,0
A_f1_move__baldwinian__s3,A_f1_move__baldwinian,A_f1_move,A,baldwinian,3,0.5,1.0,6.0,0,adaptive_move,3.0,0.37108150470219436,59,0.5333274647887322,0.0701313284753755,0.1261473123684722,1800,0,50,659,639,609,0,0
A_f1_move__baldwinian__s4,A_f1_move__baldwinian,A_f1_move,A,baldwinian,4,0.5,1.0,6.0,0,adaptive_move,3.0,0.3451756156641098,59,0.545387323943662,0.06987212255218118,0.13036303246118114,1800,0,50,607,587,557,0,0
A_f1_move__baldwinian__s5,A_f1_move__baldwinian,A_f1_move,A,baldwinian,5,0.5,1.0,6.0,0,adaptive_move,3.0,0.37791601866251945,59,0.5362147887323944,0.0717445531329414,0.13072128009718154,1800,0,50,613,593,563,0,0
A_f1_move__baldwinian__s6,A_f1_move__baldwinian,A_f1_move,A,baldwinian,6,0.5,1.0,6.0,0,adaptive_move,3.0,0.3824148085822465,59,0.5390140845070424,0.06931894848563697,0.1291664471990032,1800,0,50,661,641,611,0,0
A_f1_move__baldwinian__s7,A_f1_move__baldwinian,A_f1_move,A,baldwinian,7,0.5,1.0,6.0,0,adaptive_move,3.0,0.3786915887850467,59,0.538644366197183,0.06957200123365863,0.1284651918975555,1800,0,50,662,642,612,0,0
A_f1_move__baldwinian__s8,A_f1_move__baldwinian,A_f1_move,A,baldwinian,8,0.5,1.0,6.0,0,adaptive_move,3.0,0.3439191627571274,59,0.5402464788732395,0.07651085159648949,0.13816405599055617,1800,0,50,642,622,592,0,0
A_f1_move__baldwinian__s9,A_f1_move__baldwinian,A_f1_move,A,baldwinian,9,0.5,1.0,6.0,0,adaptive_move,3.0,0.37682878608145515,59,0.5356514084507046,0.07098329227678017,0.1290999833279629,1800,0,50,651,631,601,0,0
A_f1_move__baldwinian__s10,A_f1_move__baldwinian,A_f1_move,A,baldwinian,10,0.5,1.0,6.0,0,adaptive_move,3.0,0.4323873121869783,59,0.5410387323943662,0.07291560751533036,0.13371527474425066,1800,0,50,620,600,570,0,0
A_f1_move__baldwinian__s11,A_f1_move__baldwinian,A_f1_move,A,baldwinian,11,0.5,1.0,6.0,0,adaptive_move,3.0,0.4024604569420035,59,0.5355281690140844,0.06056933053803038,0.11658959387603068,1800,0,50,652,632,602,0,0
