run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,50,train,50,0.72,34,4,90.16881708848601,0.7916666666666666,0.5,adaptive_move,0.54375,0.12101724357840793,0.16597756410256403,251.0,0.0,0.0,188.0,53.0,0.0,0.0,0.0,45.0,0.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,100,train,50,0.78,9,9,59.49270924650301,0.9375,0.5,adaptive_move,0.55,0.0641804679768039,0.13050833333333345,283.0,0.0,0.0,382.0,137.0,0.0,0.0,0.0,45.0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,150,train,50,0.88,19,19,59.4479513367213,0.8958333333333334,0.5,adaptive_move,0.54375,0.08691927300269256,0.15494993540051683,355.0,0.0,0.0,489.0,69.0,0.0,0.0,0.0,47.0,0.0,0.0,41.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,200,train,50,0.98,15,15,87.62637479617925,0.8541666666666666,0.5,adaptive_move,0.58125,0.0960966966399625,0.17826457816377195,370.0,0.0,0.0,406.0,89.0,0.0,0.0,0.0,61.0,0.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,250,train,49,1.1020408163265305,15,16,67.93846218222595,0.8541666666666666,0.5,adaptive_move,0.55,0.09266659416364618,0.1693561083123427,367.0,0.0,0.0,416.0,49.0,0.0,0.0,0.0,68.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,300,train,43,1.4883720930232558,20,26,89.4641068154647,0.8125,0.5,adaptive_move,0.525,0.08950710027772939,0.15504683462532287,400.0,0.0,0.0,538.0,69.0,0.0,0.0,0.0,45.0,0.0,0.0,43.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,350,train,50,1.58,19,12,107.06525726925189,0.7291666666666666,0.5,adaptive_move,0.575,0.08797617104567124,0.15486918604651145,295.0,0.0,0.0,461.0,74.0,0.0,0.0,0.0,55.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,400,train,50,1.5,15,15,114.41324224944401,0.7916666666666666,0.5,adaptive_move,0.6,0.08162485668440982,0.15468749999999987,385.0,0.0,0.0,580.0,97.0,0.0,0.0,0.0,42.0,0.0,0.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,450,train,50,1.56,12,12,120.64584437376777,0.7291666666666666,0.5,adaptive_move,0.56875,0.0638579213349301,0.14019960732984305,475.0,0.0,0.0,497.0,87.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,500,train,50,1.84,21,21,41.06968683033581,0.9583333333333334,0.5,adaptive_move,0.5125,0.08610298262391447,0.16627209595959624,438.0,0.0,0.0,483.0,128.0,0.0,0.0,0.0,65.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,550,train,50,2.16,21,21,72.08907343911262,0.875,0.5,adaptive_move,0.55625,0.08033585589739324,0.16131027918781715,335.0,0.0,0.0,493.0,25.0,0.0,0.0,0.0,62.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,600,train,50,2.34,17,17,93.81003207916271,0.7916666666666666,0.5,adaptive_move,0.575,0.08674054296246396,0.1629214376590331,322.0,0.0,0.0,347.0,67.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_move__baldwinian__s1,A_f1_move__baldwinian,A_f1_move,A,baldwinian,1,650,train,50,2.48,21,21,76.92730132145601,0.875,0.5,adaptive_move,0.55625,0.09175506948298028,0.16056089743589763,361.0,0.0,0.0,428.0,156.0,0.0,0.0,0.0,52.0,0.0,0.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
