run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,50,train,50,0.76,31,1,109.33910029733099,0.7708333333333334,0.5,adaptive_move,0.575,0.052910603521237845,0.10647444751381219,355.0,0.0,0.0,290.0,119.0,0.0,0.0,0.0,40.0,0.0,0.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,100,train,50,0.78,16,16,67.36295478030601,0.9375,0.5,adaptive_move,0.575,0.05911769348853456,0.12313847708894898,347.0,0.0,0.0,392.0,119.0,0.0,0.0,0.0,43.0,0.0,0.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,150,train,50,0.86,14,14,95.95841623171918,0.7708333333333334,0.5,adaptive_move,0.56875,0.10211640551739563,0.19626342482100245,374.0,0.0,0.0,473.0,67.0,0.0,0.0,0.0,50.0,0.0,0.0,29.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,200,train,50,0.92,9,9,68.89027853344767,0.8541666666666666,0.5,adaptive_move,0.54375,0.09234289355829961,0.16264349489795915,444.0,0.0,0.0,489.0,138.0,0.0,0.0,0.0,70.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,250,train,50,0.9,7,7,59.82506561285075,0.9375,0.5,adaptive_move,0.575,0.09313788000291509,0.18413109756097557,374.0,0.0,0.0,441.0,99.0,0.0,0.0,0.0,77.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,300,train,50,0.9,7,7,70.6106005916295,0.8541666666666666,0.5,adaptive_move,0.5625,0.12325432105821585,0.19478155339805836,355.0,0.0,0.0,354.0,63.0,0.0,0.0,0.0,63.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,350,train,50,0.92,9,9,48.34355407733202,0.9583333333333334,0.5,adaptive_move,0.5375,0.10793101127559118,0.18468288177339898,338.0,0.0,0.0,364.0,30.0,0.0,0.0,0.0,73.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,400,train,50,0.96,11,11,94.77657676680809,0.7916666666666666,0.5,adaptive_move,0.5375,0.10862274786418846,0.19126213592233032,394.0,0.0,0.0,553.0,64.0,0.0,0.0,0.0,55.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,450,train,50,0.98,7,7,59.779439097263186,0.875,0.5,adaptive_move,0.525,0.09303336693098374,0.17108982412060314,294.0,0.0,0.0,701.0,73.0,0.0,0.0,0.0,79.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
A_f1_move__lamarckian__s1,A_f1_move__lamarckian,A_f1_move,A,lamarckian,1,500,train,50,1.28,18,18,49.109674007234,0.9583333333333334,0.5,adaptive_move,0.54375,0.07777756772451688,0.1492288961038959,277.0,0.0,0.0,668.0,36.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
