run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C1__baldwinian__s1,C1__baldwinian,C1,C1,baldwinian,1,0.5,0.0,6.0,0,static,3.0,0.47181127548980406,0,0.4994894366197184,0.0,0.0,1800,0,50,687,667,637,0,0
C1__baldwinian__s2,C1__baldwinian,C1,C1,baldwinian,2,0.5,0.0,6.0,0,static,3.0,0.44917355371900825,0,0.4992957746478874,0.0,0.0,1800,0,50,646,626,596,0,0
C1__baldwinian__s3,C1__baldwinian,C1,C1,baldwinian,3,0.5,0.0,6.0,0,static,3.0,0.4633848657445077,0,0.5015845070422534,0.0,0.0,1800,0,50,680,660,630,0,0
C1__baldwinian__s4,C1__baldwinian,C1,C1,baldwinian,4,0.5,0.0,6.0,0,static,3.0,0.4718281313336036,0,0.4974471830985916,0.0,0.0,1800,0,50,661,641,611,0,0
C1__baldwinian__s5,C1__baldwinian,C1,C1,baldwinian,5,0.5,0.0,6.0,0,static,3.0,0.47677764077270857,0,0.5024823943661971,0.0,0.0,1800,0,50,629,609,579,0,0
C1__baldwinian__s6,C1__baldwinian,C1,C1,baldwinian,6,0.5,0.0,6.0,0,static,3.0,0.4855224506924045,0,0.49485915492957744,0.0,0.0,1800,0,50,673,653,623,0,0
C1__baldwinian__s7,C1__baldwinian,C1,C1,baldwinian,7,0.5,0.0,6.0,0,static,3.0,0.4686289697908598,0,0.4998943661971831,0.0,0.0,1800,0,50,716,696,666,0,0
C1__baldwinian__s8,C1__baldwinian,C1,C1,baldwinian,8,0.5,0.0,6.0,0,static,3.0,0.46853677028051555,0,0.5063908450704225,0.0,0.0,1800,0,50,685,665,635,0,0
C1__baldwinian__s9,C1__baldwinian,C1,C1,baldwinian,9,0.5,0.0,6.0,0,static,3.0,0.45592455924559244,0,0.5013732394366198,0.0,0.0,1800,0,50,643,623,593,0,0
C1__baldwinian__s10,C1__baldwinian,C1,C1,baldwinian,10,0.5,0.0,6.0,0,static,3.0,0.48688524590163934,0,0.4979049295774649,0.0,0.0,1800,0,50,600,580,550,0,0
C1__baldwinian__s11,C1__baldwinian,C1,C1,baldwinian,11,0.5,0.0,6.0,0,static,3.0,0.45283882783882784,0,0.504330985915493,0.0,0.0,1800,0,50,624,604,574,0,0
C1__baldwinian__s12,C1__baldwinian,C1,C1,baldwinian,12,0.5,0.0,6.0,0,static,3.0,0.47224523612261804,0,0.49691901408450695,0.0,0.0,1800,0,50,626,606,576,0,0
C1__baldwinian__s13,C1__baldwinian,C1,C1,baldwinian,13,0.5,0.0,6.0,0,static,3.0,0.4507379337854009,0,0.5014436619718313,0.0,0.0,1800,0,50,680,660,630,0,0
C1__baldwinian__s14,C1__baldwinian,C1,C1,baldwinian,14,0.5,0.0,6.0,0,static,3.0,0.4880838894184938,0,0.5026408450704224,0.0,0.0,1800,0,50,631,611,581,0,0
