run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,50,train,50,0.72,34,4,69.19140360082694,0.8958333333333334,0.5,static,0.475,0.0,0.0,188.0,203.0,108.0,121.0,34.0,39.0,0.0,0.0,26.0,30.0,17.0,18.0,17.0,8.0,0.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,100,train,50,0.76,12,12,75.36938228122767,0.8958333333333334,0.5,static,0.525,0.0,0.0,214.0,206.0,173.0,213.0,15.0,20.0,0.0,0.0,24.0,21.0,14.0,28.0,3.0,8.0,0.0,0.0,0.0,0.0,14.0,28.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,150,train,50,1.16,23,23,66.2816798583161,0.8125,0.5,static,0.48125,0.0,0.0,175.0,180.0,210.0,198.0,51.0,39.0,0.0,0.0,22.0,22.0,21.0,20.0,16.0,7.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,200,train,48,1.4166666666666667,15,17,82.57267876217003,0.8958333333333334,0.5,static,0.475,0.0,0.0,201.0,203.0,208.0,204.0,39.0,27.0,0.0,0.0,24.0,15.0,19.0,22.0,13.0,10.0,0.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,250,train,50,1.42,11,9,93.45878015748495,0.7708333333333334,0.5,static,0.5375,0.0,0.0,273.0,287.0,213.0,223.0,42.0,40.0,0.0,0.0,26.0,29.0,18.0,14.0,11.0,10.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,300,train,50,1.4,11,11,61.62607889934512,0.9791666666666666,0.5,static,0.5,0.0,0.0,301.0,334.0,220.0,209.0,52.0,41.0,0.0,0.0,35.0,36.0,14.0,16.0,11.0,6.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,350,train,50,1.46,14,14,60.764269610532764,0.8541666666666666,0.5,static,0.475,0.0,0.0,236.0,214.0,286.0,267.0,30.0,28.0,0.0,0.0,29.0,20.0,34.0,26.0,14.0,5.0,0.0,0.0,0.0,0.0,34.0,26.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,400,train,50,1.44,14,14,124.56777356199906,0.7291666666666666,0.5,static,0.48125,0.0,0.0,208.0,202.0,238.0,206.0,75.0,60.0,0.0,0.0,15.0,18.0,17.0,15.0,17.0,7.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,450,train,50,1.4,15,15,75.3704687990065,0.7916666666666666,0.5,static,0.50625,0.0,0.0,237.0,328.0,280.0,250.0,70.0,54.0,0.0,0.0,19.0,33.0,21.0,24.0,11.0,3.0,0.0,0.0,0.0,0.0,21.0,24.0,0.0,0.0,0.0,0.0
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,500,train,50,1.66,13,13,80.3663117657057,0.7916666666666666,0.5,static,0.475,0.0,0.0,269.0,279.0,289.0,271.0,69.0,48.0,0.0,0.0,27.0,28.0,15.0,22.0,7.0,12.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0
