run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,50,train,50,0.7,33,3,109.3492474435429,0.7916666666666666,0.5,static,0.475,0.0,0.0,233.0,0.0,0.0,242.0,80.0,0.0,0.0,0.0,39.0,0.0,0.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,100,train,50,0.76,9,9,49.14785738160906,0.9166666666666666,0.5,static,0.525,0.0,0.0,447.0,0.0,0.0,349.0,134.0,0.0,0.0,0.0,55.0,0.0,0.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,150,train,50,0.82,10,10,77.63048661283105,0.7916666666666666,0.5,static,0.48125,0.0,0.0,445.0,0.0,0.0,518.0,177.0,0.0,0.0,0.0,61.0,0.0,0.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,200,train,50,0.86,17,17,91.31014619948346,0.75,0.5,static,0.475,0.0,0.0,457.0,0.0,0.0,503.0,75.0,0.0,0.0,0.0,70.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,250,train,50,0.96,19,19,87.70580279723852,0.8125,0.5,static,0.5375,0.0,0.0,332.0,0.0,0.0,607.0,114.0,0.0,0.0,0.0,47.0,0.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,300,train,50,1.0,14,14,50.97629658114307,0.9166666666666666,0.5,static,0.5,0.0,0.0,325.0,0.0,0.0,323.0,71.0,0.0,0.0,0.0,76.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,350,train,50,1.0,10,10,119.36044298831993,0.6875,0.5,static,0.475,0.0,0.0,382.0,0.0,0.0,329.0,64.0,0.0,0.0,0.0,54.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,400,train,50,1.0,12,12,69.61113234038085,0.8541666666666666,0.5,static,0.48125,0.0,0.0,350.0,0.0,0.0,358.0,62.0,0.0,0.0,0.0,59.0,0.0,0.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,450,train,50,0.94,11,11,116.71323147598127,0.75,0.5,static,0.50625,0.0,0.0,473.0,0.0,0.0,340.0,78.0,0.0,0.0,0.0,64.0,0.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,500,train,50,1.24,18,18,80.50351743435715,0.7708333333333334,0.5,static,0.475,0.0,0.0,407.0,0.0,0.0,542.0,54.0,0.0,0.0,0.0,59.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
