run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,0.5,0.9,6.0,0,static,3.0,0.38122827346465815,0,0.4994894366197184,0.0,0.0,1800,0,50,624,604,574,0,0
C3_f0.9__baldwinian__s2,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,2,0.5,0.9,6.0,0,static,3.0,0.38747474747474747,0,0.4992957746478874,0.0,0.0,1800,0,50,598,578,548,0,0
C3_f0.9__baldwinian__s3,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,3,0.5,0.9,6.0,0,static,3.0,0.37858508604206503,0,0.5015845070422534,0.0,0.0,1800,0,50,667,647,617,0,0
C3_f0.9__baldwinian__s4,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,4,0.5,0.9,6.0,0,static,3.0,0.4116457743631217,0,0.4974471830985916,0.0,0.0,1800,0,50,558,538,508,0,0
C3_f0.9__baldwinian__s5,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,5,0.5,0.9,6.0,0,static,3.0,0.39802371541501974,0,0.5024823943661971,0.0,0.0,1800,0,50,619,599,569,0,0
C3_f0.9__baldwinian__s6,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,6,0.5,0.9,6.0,0,static,3.0,0.3969559851912793,0,0.49485915492957744,0.0,0.0,1800,0,50,588,568,538,0,0
C3_f0.9__baldwinian__s7,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,7,0.5,0.9,6.0,0,static,3.0,0.4083710407239819,0,0.4998943661971831,0.0,0.0,1800,0,50,690,670,640,0,0
C3_f0.9__baldwinian__s8,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,8,0.5,0.9,6.0,0,static,3.0,0.39397363465160073,0,0.5063908450704225,0.0,0.0,1800,0,50,630,610,580,0,0
C3_f0.9__baldwinian__s9,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,9,0.5,0.9,6.0,0,static,3.0,0.41379310344827586,0,0.5013732394366198,0.0,0.0,1800,0,50,672,652,622,0,0
C3_f0.9__baldwinian__s10,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,10,0.5,0.9,6.0,0,static,3.0,0.41819665442676457,0,0.4979049295774649,0.0,0.0,1800,0,50,605,585,555,0,0
C3_f0.9__baldwinian__s11,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,11,0.5,0.9,6.0,0,static,3.0,0.3912058023572076,0,0.504330985915493,0.0,0.0,1800,0,50,589,569,539,0,0
C3_f0.9__baldwinian__s12,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,12,0.5,0.9,6.0,0,static,3.0,0.3763975155279503,0,0.49691901408450695,0.0,0.0,1800,0,50,585,565,535,0,0
C3_f0.9__baldwinian__s13,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,13,0.5,0.9,6.0,0,static,3.0,0.40090943539219404,0,0.5014436619718313,0.0,0.0,1800,0,50,638,618,588,0,0
C3_f0.9__baldwinian__s14,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,14,0.5,0.9,6.0,0,static,3.0,0.4252146407591505,0,0.5026408450704224,0.0,0.0,1800,0,50,601,581,551,0,0
C3_f0.9__baldwinian__s15,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,15,0.5,0.9,6.0,0,static,3.0,0.3941355674028941,0,0.4929049295774646,0.0,0.0,1800,0,50,579,559,529,0,0
