run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,0.5,0.9,6.0,0,static,3.0,0.2530842439196334,0,0.4994894366197184,0.0,0.0,1800,0,50,430,410,380,410,0
C3_f0.9__lamarckian__s2,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,2,0.5,0.9,6.0,0,static,3.0,0.27326007326007323,0,0.4992957746478874,0.0,0.0,1800,0,44,456,436,412,436,0
C3_f0.9__lamarckian__s3,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,3,0.5,0.9,6.0,0,static,3.0,0.27075306479859895,0,0.5015845070422534,0.0,0.0,1800,0,35,440,420,405,420,0
C3_f0.9__lamarckian__s4,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,4,0.5,0.9,6.0,0,static,3.0,0.3058694859642727,0,0.4974471830985916,0.0,0.0,1800,0,41,437,417,396,417,0
C3_f0.9__lamarckian__s5,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,5,0.5,0.9,6.0,0,static,3.0,0.27352221056313397,0,0.5024823943661971,0.0,0.0,1800,0,46,475,455,429,455,0
C3_f0.9__lamarckian__s6,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,6,0.5,0.9,6.0,0,static,3.0,0.3043968432919955,0,0.49485915492957744,0.0,0.0,1800,0,43,432,412,389,412,0
C3_f0.9__lamarckian__s7,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,7,0.5,0.9,6.0,0,static,3.0,0.2748517614230903,0,0.4998943661971831,0.0,0.0,1800,0,33,432,412,399,412,0
C3_f0.9__lamarckian__s8,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,8,0.5,0.9,6.0,0,static,3.0,0.25380542686962276,0,0.5063908450704225,0.0,0.0,1800,0,46,420,400,374,400,0
C3_f0.9__lamarckian__s9,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,9,0.5,0.9,6.0,0,static,3.0,0.2871985157699443,0,0.5013732394366198,0.0,0.0,1800,0,50,422,402,372,402,0
C3_f0.9__lamarckian__s10,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,10,0.5,0.9,6.0,0,static,3.0,0.29530685920577615,0,0.4979049295774649,0.0,0.0,1800,0,50,459,439,409,439,0
C3_f0.9__lamarckian__s11,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,11,0.5,0.9,6.0,0,static,3.0,0.2988871224165342,0,0.504330985915493,0.0,0.0,1800,0,43,424,404,381,404,0
C3_f0.9__lamarckian__s12,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,12,0.5,0.9,6.0,0,static,3.0,0.2933730454206999,0,0.49691901408450695,0.0,0.0,1800,0,40,432,412,392,412,0
C3_f0.9__lamarckian__s13,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,13,0.5,0.9,6.0,0,static,3.0,0.27378027378027375,0,0.5014436619718313,0.0,0.0,1800,0,45,437,417,392,417,0
C3_f0.9__lamarckian__s14,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,14,0.5,0.9,6.0,0,static,3.0,0.32517182130584193,0,0.5026408450704224,0.0,0.0,1800,0,50,431,411,381,411,0
C3_f0.9__lamarckian__s15,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,15,0.5,0.9,6.0,0,static,3.0,0.2717948717948718,0,0.4929049295774646,0.0,0.0,1800,0,47,462,442,415,442,0
C3_f0.9__lamarckian__s16,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,16,0.5,0.9,6.0,0,static,3.0,0.284992784992785,0,0.5025000000000001,0.0,0.0,1800,0,47,428,408,381,408,0
C3_f0.9__lamarckian__s17,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,17,0.5,0.9,6.0,0,static,3.0,0.2904761904761905,0,0.4979049295774648,0.0,0.0,1800,0,40,416,396,376,396,0
