run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,monitor_policy,mask_overlap,weight_kl,weight_gini,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,50,train,50,0.68,31,1,87.637276557756,0.8125,0.5,static,0.475,0.0,0.0,220.0,16.0,15.0,230.0,78.0,7.0,0.0,0.0,51.0,3.0,1.0,26.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,100,train,50,0.76,7,7,51.00529598935073,0.9375,0.5,static,0.525,0.0,0.0,314.0,9.0,15.0,260.0,83.0,5.0,0.0,0.0,57.0,2.0,2.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,150,train,50,0.82,13,13,97.58233294794533,0.8125,0.5,static,0.48125,0.0,0.0,247.0,9.0,26.0,321.0,65.0,6.0,0.0,0.0,46.0,0.0,11.0,23.0,16.0,1.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,200,train,50,1.2,12,12,60.2647920702525,0.8958333333333334,0.5,static,0.475,0.0,0.0,265.0,11.0,15.0,232.0,95.0,6.0,0.0,0.0,55.0,0.0,2.0,27.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,250,train,50,1.3,13,13,90.74765569132703,0.8541666666666666,0.5,static,0.5375,0.0,0.0,505.0,39.0,13.0,285.0,59.0,4.0,0.0,0.0,65.0,1.0,4.0,15.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,300,train,50,1.34,10,10,43.51292748802659,0.9375,0.5,static,0.5,0.0,0.0,367.0,14.0,19.0,421.0,142.0,9.0,0.0,0.0,74.0,3.0,8.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,350,train,50,1.38,11,11,54.8562463320659,0.9375,0.5,static,0.475,0.0,0.0,259.0,14.0,14.0,399.0,135.0,9.0,0.0,0.0,63.0,2.0,2.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,400,train,50,1.46,10,10,71.32707319849278,0.8541666666666666,0.5,static,0.48125,0.0,0.0,403.0,14.0,29.0,533.0,123.0,5.0,0.0,0.0,53.0,1.0,5.0,31.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,450,train,50,1.46,10,10,45.40929364880832,0.9375,0.5,static,0.50625,0.0,0.0,404.0,20.0,30.0,600.0,95.0,5.0,0.0,0.0,62.0,1.0,9.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0
C3_f0.9__lamarckian__s1,C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,1,500,train,50,1.74,18,18,75.27169213669966,0.875,0.5,static,0.475,0.0,0.0,325.0,13.0,26.0,489.0,75.0,4.0,0.0,0.0,65.0,0.0,6.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0
