run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,monitor_policy,expected_penalty_per_defection,realised_enforcement,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C4__lamarckian__s1,C4__lamarckian,C4,C4,lamarckian,1,0.5,1.0,6.0,1,static,3.0,0.48881789137380194,0,0.4994894366197184,0.0,0.0,1800,0,50,418,398,368,398,0
C4__lamarckian__s2,C4__lamarckian,C4,C4,lamarckian,2,0.5,1.0,6.0,1,static,3.0,0.48057097541633625,0,0.4992957746478874,0.0,0.0,1800,0,50,553,533,503,533,0
C4__lamarckian__s3,C4__lamarckian,C4,C4,lamarckian,3,0.5,1.0,6.0,1,static,3.0,0.4786656322730799,0,0.5015845070422534,0.0,0.0,1800,0,50,537,517,487,517,0
C4__lamarckian__s4,C4__lamarckian,C4,C4,lamarckian,4,0.5,1.0,6.0,1,static,3.0,0.4642573471008737,0,0.4974471830985916,0.0,0.0,1800,0,50,499,479,449,479,0
C4__lamarckian__s5,C4__lamarckian,C4,C4,lamarckian,5,0.5,1.0,6.0,1,static,3.0,0.47411764705882353,0,0.5024823943661971,0.0,0.0,1800,0,50,511,491,461,491,0
C4__lamarckian__s6,C4__lamarckian,C4,C4,lamarckian,6,0.5,1.0,6.0,1,static,3.0,0.4776490066225166,0,0.49485915492957744,0.0,0.0,1800,0,50,515,495,465,495,0
C4__lamarckian__s7,C4__lamarckian,C4,C4,lamarckian,7,0.5,1.0,6.0,1,static,3.0,0.46578366445916114,0,0.4998943661971831,0.0,0.0,1800,0,50,570,550,520,550,0
C4__lamarckian__s8,C4__lamarckian,C4,C4,lamarckian,8,0.5,1.0,6.0,1,static,3.0,0.4930737551478847,0,0.5063908450704225,0.0,0.0,1800,0,50,481,461,431,461,0
C4__lamarckian__s9,C4__lamarckian,C4,C4,lamarckian,9,0.5,1.0,6.0,1,static,3.0,0.44427184466019415,0,0.5013732394366198,0.0,0.0,1800,0,50,511,491,461,491,0
C4__lamarckian__s10,C4__lamarckian,C4,C4,lamarckian,10,0.5,1.0,6.0,1,static,3.0,0.4754841367943964,0,0.4979049295774649,0.0,0.0,1800,0,50,437,417,387,417,0
C4__lamarckian__s11,C4__lamarckian,C4,C4,lamarckian,11,0.5,1.0,6.0,1,static,3.0,0.4471476510067114,0,0.504330985915493,0.0,0.0,1800,0,50,497,477,447,477,0
C4__lamarckian__s12,C4__lamarckian,C4,C4,lamarckian,12,0.5,1.0,6.0,1,static,3.0,0.4991561181434599,0,0.49691901408450695,0.0,0.0,1800,0,50,410,390,360,390,0
C4__lamarckian__s13,C4__lamarckian,C4,C4,lamarckian,13,0.5,1.0,6.0,1,static,3.0,0.4845516201959307,0,0.5014436619718313,0.0,0.0,1800,0,50,529,509,479,509,0
C4__lamarckian__s14,C4__lamarckian,C4,C4,lamarckian,14,0.5,1.0,6.0,1,static,3.0,0.4558550185873606,0,0.5026408450704224,0.0,0.0,1800,0,50,431,411,381,411,0
C4__lamarckian__s15,C4__lamarckian,C4,C4,lamarckian,15,0.5,1.0,6.0,1,static,3.0,0.45461365341335336,0,0.4929049295774646,0.0,0.0,1800,0,50,509,489,459,489,0
C4__lamarckian__s16,C4__lamarckian,C4,C4,lamarckian,16,0.5,1.0,6.0,1,static,3.0,0.47090163934426227,0,0.5025000000000001,0.0,0.0,1800,0,50,445,425,395,425,0
C4__lamarckian__s17,C4__lamarckian,C4,C4,lamarckian,17,0.5,1.0,6.0,1,static,3.0,0.45699831365935917,0,0.4979049295774648,0.0,0.0,1800,0,50,489,469,439,469,0
C4__lamarckian__s18,C4__lamarckian,C4,C4,lamarckian,18,0.5,1.0,6.0,1,static,3.0,0.47482883608538057,0,0.5041021126760564,0.0,0.0,1800,0,50,491,471,441,471,0
C4__lamarckian__s19,C4__lamarckian,C4,C4,lamarckian,19,0.5,1.0,6.0,1,static,3.0,0.49483648881239245,0,0.497887323943662,0.0,0.0,1800,0,50,445,425,395,425,0
C4__lamarckian__s20,C4__lamarckian,C4,C4,lamarckian,20,0.5,1.0,6.0,1,static,3.0,0.46476510067114096,0,0.496338028169014,0.0,0.0,1800,0,50,526,506,476,506,0
C4__lamarckian__s21,C4__lamarckian,C4,C4,lamarckian,21,0.5,1.0,6.0,1,static,3.0,0.4829106945975744,0,0.4998239436619718,0.0,0.0,1800,0,50,540,520,490,520,0
C4__lamarckian__s22,C4__lamarckian,C4,C4,lamarckian,22,0.5,1.0,6.0,1,static,3.0,0.45161290322580644,0,0.500088028169014,0.0,0.0,1800,0,50,554,534,504,534,0
C4__lamarckian__s23,C4__lamarckian,C4,C4,lamarckian,23,0.5,1.0,6.0,1,static,3.0,0.47468610773592546,0,0.4922711267605635,0.0,0.0,1800,0,50,493,473,443,473,0
