inheritance_mode,condition,fidelity,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,rate_mean,realised_enforcement_mean,auc_classifier,auc_classifier_lo,auc_classifier_hi,auc_rank,spearman_fidelity_delta,spearman_fidelity_auc
baldwinian,C1,0.0,0.003621769588570371,0.0017004292911080477,0.005605733280420609,0.011243754832189645,0.009043195445252688,0.013353895703660678,0.09827807357287048,0.46973895405334726,0.7919794707890936,0.7798716621054232,0.8043018390985807,0.7838816587026579,1.0,-0.9285714285714288
baldwinian,C3_f0.1,0.1,0.008780800632855764,0.006155349031180977,0.011250132322737808,0.010206354755415566,0.007475838420461817,0.0129908626671354,0.09880378263198392,0.47056446316935435,0.8020792372043699,0.7918362152032808,0.8135638522297317,0.7952719880713572,1.0,-0.9285714285714288
baldwinian,C3_f0.3,0.3,0.019616345059443166,0.01703609493752858,0.022085104886600256,0.012932427910100576,0.01050465985553478,0.015530722250944325,0.09889003995285911,0.4658931461867183,0.785428759137919,0.7754094029648259,0.7959036285816913,0.7807378620261497,1.0,-0.9285714285714288
baldwinian,C3_f0.5,0.5,0.03336359152512766,0.030226196644594076,0.03655910353096564,0.020786101864216797,0.018053291402503814,0.023587117655173837,0.10107999551562362,0.45916620220608056,0.7903080439635054,0.7771017820860977,0.8020938997142059,0.789171236272842,1.0,-0.9285714285714288
baldwinian,C3_f0.7,0.7,0.046084261932592095,0.04270051662248617,0.04947118671066496,0.03100860366992061,0.02773028816795601,0.03422721393246476,0.10063901109018218,0.4346246108068707,0.7561486277033505,0.7444602119017303,0.7676809599059332,0.7565668699506065,1.0,-0.9285714285714288
baldwinian,C3_f0.9,0.9,0.06350794170668744,0.05957819900633677,0.0675553122651588,0.052795749214792895,0.04915535400203123,0.05655261346235168,0.10259102745472438,0.3952054772264609,0.7309892699984709,0.7187628667651326,0.7437898163732172,0.7303719126339705,1.0,-0.9285714285714288
baldwinian,C2,1.0,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.10716878414779368,0.3517356702726221,0.7024012016290146,0.6877991002022709,0.7157671836277438,0.6771536170785601,1.0,-0.9285714285714288
lamarckian,C1,0.0,-0.0008736676276052814,-0.003477786993339675,0.001682954441460357,0.004586429384777207,0.0025178973756755244,0.0065767543152194415,0.07645265394879379,0.4794076383563572,0.7880760420858675,0.7774247729508161,0.7995168333781434,0.7890106986385622,1.0,-0.642857142857143
lamarckian,C3_f0.1,0.1,0.009094678867127082,0.005864670403744063,0.01270390513206282,0.006133159640677405,0.004575237143311203,0.007641420645160332,0.07598686723431272,0.47859332354154377,0.7882552574299679,0.7755375597356606,0.8020286616180827,0.7904201564268115,1.0,-0.642857142857143
lamarckian,C3_f0.3,0.3,0.04061341992755571,0.03636413555275014,0.04504102102281441,0.01054527863203496,0.008594395340307703,0.012675894057618504,0.08316929752441293,0.46469961864182635,0.7941606423974679,0.7836813129188762,0.8049110710852516,0.7958322575709763,1.0,-0.642857142857143
lamarckian,C3_f0.5,0.5,0.07139846824824488,0.06633780336582294,0.07705697870155134,0.028163837270326498,0.025041208347250158,0.03163461384245469,0.09187167678977293,0.42753388590108526,0.7898441697674535,0.7789577084348829,0.8013297781075076,0.7913082558764305,1.0,-0.642857142857143
lamarckian,C3_f0.7,0.7,0.12288721346982576,0.11454426876669821,0.13150331756881173,0.07076226079258666,0.06495386195204912,0.07681532631198766,0.11167426002830229,0.37048169287110955,0.7711175181639949,0.7587617916749017,0.7837540574895809,0.7622416676277247,1.0,-0.642857142857143
lamarckian,C3_f0.9,0.9,0.23079121888144355,0.21749912241732405,0.24341235760673938,0.19047050270215585,0.17832581707469025,0.20203678084678223,0.1497504272878164,0.24719825733914907,0.7469921601095864,0.7303020769573938,0.7631831679773731,0.6444405618394322,1.0,-0.642857142857143
lamarckian,C2,1.0,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.18275363390423893,0.14088199802888204,0.7528553619875933,0.7376867304692762,0.7672395479045993,0.4458342978926503,1.0,-0.642857142857143
