cell_id,condition,family,inheritance_mode,n_runs,conditional_onset_fraction,conditional_onset_median_tick_censored,conditional_onset_median_generation,cooperative_onset_fraction,cooperative_onset_median_tick_censored,cooperative_onset_median_generation
C1__baldwinian,C1,C1,baldwinian,30,0.0,1550.0,,1.0,100.0,0.89
C1__lamarckian,C1,C1,lamarckian,30,0.0,1550.0,,1.0,50.0,0.8
C1_p3__baldwinian,C1_p3,C1,baldwinian,30,0.0,1550.0,,0.9,375.0,1.125
C1_p3__lamarckian,C1_p3,C1,lamarckian,30,0.23333333333333334,1550.0,3.0,1.0,50.0,0.76
C1_p9__baldwinian,C1_p9,C1,baldwinian,30,0.0,1550.0,,1.0,150.0,1.2424489795918368
C1_p9__lamarckian,C1_p9,C1,lamarckian,30,0.0,1550.0,,1.0,50.0,0.9375
C2__baldwinian,C2,C2,baldwinian,30,1.0,200.0,0.8987179487179487,1.0,100.0,0.88
C2__lamarckian,C2,C2,lamarckian,30,1.0,175.0,0.92,1.0,50.0,0.8
C2_p3__baldwinian,C2_p3,C2,baldwinian,30,1.0,200.0,0.77,0.7666666666666667,600.0,1.06
C2_p3__lamarckian,C2_p3,C2,lamarckian,30,1.0,150.0,0.8,1.0,50.0,0.76
C2_p9__baldwinian,C2_p9,C2,baldwinian,30,1.0,200.0,1.423404255319149,1.0,175.0,1.2532051282051282
C2_p9__lamarckian,C2_p9,C2,lamarckian,30,1.0,225.0,1.22,1.0,50.0,0.88
C3_f0.1__baldwinian,C3_f0.1,C3,baldwinian,30,0.0,1550.0,,1.0,150.0,0.9442857142857143
C3_f0.1__lamarckian,C3_f0.1,C3,lamarckian,30,0.13333333333333333,1550.0,1.6844444444444444,1.0,50.0,0.8
C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,30,0.03333333333333333,1550.0,0.72,1.0,100.0,0.98
C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,30,0.5333333333333333,1350.0,2.7199999999999998,1.0,50.0,0.83
C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,30,0.36666666666666664,1550.0,2.56,1.0,150.0,0.979795918367347
C3_f0.5__lamarckian,C3_f0.5,C3,lamarckian,30,1.0,550.0,1.63,1.0,50.0,0.78
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,30,0.8333333333333334,525.0,1.32,1.0,150.0,0.9
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,30,1.0,300.0,1.0512765957446808,1.0,50.0,0.8
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,30,1.0,200.0,0.96,1.0,150.0,0.8989795918367347
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,30,1.0,175.0,0.94,1.0,50.0,0.8181632653061224
C4__baldwinian,C4,C4,baldwinian,30,0.03333333333333333,1550.0,1.4,1.0,100.0,0.9079166666666667
C4__lamarckian,C4,C4,lamarckian,30,0.06666666666666667,1550.0,2.58,1.0,50.0,0.8081632653061225
