run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
C1__baldwinian__s1,C1__baldwinian,C1,C1,baldwinian,1,0.06759172986669647,,,100.0,0.84
C1__baldwinian__s2,C1__baldwinian,C1,C1,baldwinian,2,0.06759172986669647,,,100.0,0.8409090909090909
C1__baldwinian__s3,C1__baldwinian,C1,C1,baldwinian,3,0.06759172986669647,,,100.0,1.16
C1__baldwinian__s4,C1__baldwinian,C1,C1,baldwinian,4,0.06759172986669647,,,600.0,2.86
C1__baldwinian__s5,C1__baldwinian,C1,C1,baldwinian,5,0.06759172986669647,,,100.0,0.88
C1__baldwinian__s6,C1__baldwinian,C1,C1,baldwinian,6,0.06759172986669647,,,100.0,0.98
C1__baldwinian__s7,C1__baldwinian,C1,C1,baldwinian,7,0.06759172986669647,,,400.0,1.8222222222222224
C1__baldwinian__s8,C1__baldwinian,C1,C1,baldwinian,8,0.06759172986669647,,,100.0,0.9
C1__baldwinian__s9,C1__baldwinian,C1,C1,baldwinian,9,0.06759172986669647,,,200.0,0.9583333333333334
C1__baldwinian__s10,C1__baldwinian,C1,C1,baldwinian,10,0.06759172986669647,,,300.0,1.8297872340425527
C1__baldwinian__s11,C1__baldwinian,C1,C1,baldwinian,11,0.06759172986669647,,,150.0,0.78
C1__baldwinian__s12,C1__baldwinian,C1,C1,baldwinian,12,0.06759172986669647,,,250.0,1.34
C1__baldwinian__s13,C1__baldwinian,C1,C1,baldwinian,13,0.06759172986669647,,,100.0,0.86
C1__baldwinian__s14,C1__baldwinian,C1,C1,baldwinian,14,0.06759172986669647,,,150.0,0.82
C1__baldwinian__s15,C1__baldwinian,C1,C1,baldwinian,15,0.06759172986669647,,,250.0,1.653061224489796
C1__baldwinian__s16,C1__baldwinian,C1,C1,baldwinian,16,0.06759172986669647,,,100.0,0.82
C1__baldwinian__s17,C1__baldwinian,C1,C1,baldwinian,17,0.06759172986669647,,,100.0,0.9
C1__baldwinian__s18,C1__baldwinian,C1,C1,baldwinian,18,0.06759172986669647,,,150.0,0.8571428571428571
C1__baldwinian__s19,C1__baldwinian,C1,C1,baldwinian,19,0.06759172986669647,,,200.0,1.02
C1__baldwinian__s20,C1__baldwinian,C1,C1,baldwinian,20,0.06759172986669647,,,100.0,0.92
C1__baldwinian__s21,C1__baldwinian,C1,C1,baldwinian,21,0.06759172986669647,,,200.0,1.0816326530612246
C1__baldwinian__s22,C1__baldwinian,C1,C1,baldwinian,22,0.06759172986669647,,,100.0,0.84
C1__baldwinian__s23,C1__baldwinian,C1,C1,baldwinian,23,0.06759172986669647,,,100.0,0.84
C1__baldwinian__s24,C1__baldwinian,C1,C1,baldwinian,24,0.06759172986669647,,,100.0,0.84
C1__baldwinian__s25,C1__baldwinian,C1,C1,baldwinian,25,0.06759172986669647,,,200.0,1.62
C1__baldwinian__s26,C1__baldwinian,C1,C1,baldwinian,26,0.06759172986669647,,,100.0,0.82
C1__baldwinian__s27,C1__baldwinian,C1,C1,baldwinian,27,0.06759172986669647,,,100.0,0.8
C1__baldwinian__s28,C1__baldwinian,C1,C1,baldwinian,28,0.06759172986669647,,,100.0,0.74
C1__baldwinian__s29,C1__baldwinian,C1,C1,baldwinian,29,0.06759172986669647,,,100.0,0.76
C1__baldwinian__s30,C1__baldwinian,C1,C1,baldwinian,30,0.06759172986669647,,,100.0,0.92
C1__lamarckian__s1,C1__lamarckian,C1,C1,lamarckian,1,0.05993114113623804,,,50.0,0.72
C1__lamarckian__s2,C1__lamarckian,C1,C1,lamarckian,2,0.05993114113623804,,,50.0,0.84
C1__lamarckian__s3,C1__lamarckian,C1,C1,lamarckian,3,0.05993114113623804,,,50.0,0.8
C1__lamarckian__s4,C1__lamarckian,C1,C1,lamarckian,4,0.05993114113623804,,,50.0,0.78
C1__lamarckian__s5,C1__lamarckian,C1,C1,lamarckian,5,0.05993114113623804,,,50.0,0.74
C1__lamarckian__s6,C1__lamarckian,C1,C1,lamarckian,6,0.05993114113623804,,,50.0,0.979591836734694
C1__lamarckian__s7,C1__lamarckian,C1,C1,lamarckian,7,0.05993114113623804,,,100.0,0.7441860465116279
C1__lamarckian__s8,C1__lamarckian,C1,C1,lamarckian,8,0.05993114113623804,,,100.0,0.9777777777777776
