run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C0__baldwinian__s1,C0__baldwinian,C0,C0,baldwinian,1,-1.0,6.0,0.0,0,50,408,0,0,44.666666666666664,5.045454545454546,-0.00014221960467014646,6083.0,0.2286700641131021,0.2286700641131021,,0.2286700641131021,,,,0.0,0.44086021505376344,,,93.0,0.15747188002142476,,,1867.0
C0__baldwinian__s2,C0__baldwinian,C0,C0,baldwinian,2,-1.0,6.0,0.0,0,50,386,0,0,43.13333333333333,4.666666666666667,0.0007371679218154368,5040.0,0.26666666666666666,0.26666666666666666,,0.26666666666666666,,,,0.0,0.15730337078651685,,,445.0,0.17796143250688706,,,1815.0
C0__baldwinian__s3,C0__baldwinian,C0,C0,baldwinian,3,-1.0,6.0,0.0,0,50,369,0,0,39.733333333333334,5.136363636363637,0.003721484682341948,4981.0,0.2728367797630998,0.2728367797630998,,0.2728367797630998,,,,0.0,0.14903846153846154,,,416.0,0.13023012552301255,,,1912.0
C0__baldwinian__s4,C0__baldwinian,C0,C0,baldwinian,4,-1.0,6.0,0.0,0,50,409,0,0,47.666666666666664,4.938775510204081,-0.0024384387061440354,6369.0,0.21604647511383263,0.21604647511383263,,0.21604647511383263,,,,0.0,0.0680379746835443,,,632.0,0.18354430379746836,,,1580.0
C0__baldwinian__s5,C0__baldwinian,C0,C0,baldwinian,5,-1.0,6.0,0.0,0,50,405,0,0,45.8,4.157894736842105,0.0010394490166942183,5924.0,0.22552329507089805,0.22552329507089805,,0.22552329507089805,,,,0.0,0.291005291005291,,,189.0,0.3130034522439586,,,869.0
C0__baldwinian__s6,C0__baldwinian,C0,C0,baldwinian,6,-1.0,6.0,0.0,0,50,396,0,0,44.86666666666667,4.916666666666667,-0.0001324698018522892,5800.0,0.23293103448275862,0.23293103448275862,,0.23293103448275862,,,,0.0,0.12143742255266418,,,807.0,0.20726672171758878,,,1211.0
C0__baldwinian__s7,C0__baldwinian,C0,C0,baldwinian,7,-1.0,6.0,0.0,0,50,367,0,0,40.0,6.416666666666667,-0.004181578552046825,5899.0,0.23936260383115782,0.23936260383115782,,0.23936260383115782,,,,0.0,0.06814310051107325,,,587.0,0.17857142857142858,,,1148.0
C0__baldwinian__s8,C0__baldwinian,C0,C0,baldwinian,8,-1.0,6.0,0.0,0,50,385,0,0,44.733333333333334,6.32,-0.0012070138212687915,5906.0,0.24229597019979682,0.24229597019979682,,0.24229597019979682,,,,0.0,0.1858974358974359,,,156.0,0.10857908847184987,,,2238.0
C0__baldwinian__s9,C0__baldwinian,C0,C0,baldwinian,9,-1.0,6.0,0.0,0,50,418,0,0,44.8,4.625,0.0030169963375587857,5643.0,0.2277157540315435,0.2277157540315435,,0.2277157540315435,,,,0.0,0.13333333333333333,,,540.0,0.15672676837725383,,,2163.0
C0__baldwinian__s10,C0__baldwinian,C0,C0,baldwinian,10,-1.0,6.0,0.0,0,50,411,0,0,49.8,4.62,-0.0010878643243435414,5666.0,0.23032121426050123,0.23032121426050123,,0.23032121426050123,,,,0.0,0.23076923076923078,,,429.0,0.18492784607161947,,,1871.0
C0__baldwinian__s11,C0__baldwinian,C0,C0,baldwinian,11,-1.0,6.0,0.0,0,50,416,0,0,47.4,6.14,0.0018059174845567129,5019.0,0.2372982665869695,0.2372982665869695,,0.2372982665869695,,,,0.0,0.07632600258732213,,,773.0,0.09780439121756487,,,2004.0
C0__baldwinian__s12,C0__baldwinian,C0,C0,baldwinian,12,-1.0,6.0,0.0,0,50,388,0,0,46.8,4.48,-0.0031197639754122603,5570.0,0.23087971274685817,0.23087971274685817,,0.23087971274685817,,,,0.0,0.15285451197053407,,,543.0,0.21423487544483985,,,1405.0
C0__baldwinian__s13,C0__baldwinian,C0,C0,baldwinian,13,-1.0,6.0,0.0,0,50,372,0,0,39.93333333333333,4.685714285714286,0.0016415215850580699,5560.0,0.2564748201438849,0.2564748201438849,,0.2564748201438849,,,,0.0,0.1856060606060606,,,264.0,0.12753468516542155,,,1874.0
C0__baldwinian__s14,C0__baldwinian,C0,C0,baldwinian,14,-1.0,6.0,0.0,0,50,393,0,0,45.86666666666667,4.552631578947368,-0.002252590916376023,5173.0,0.22617436690508408,0.22617436690508408,,0.22617436690508408,,,,0.0,0.19440745672436752,,,751.0,0.14844941535332995,,,1967.0
C0__baldwinian__s15,C0__baldwinian,C0,C0,baldwinian,15,-1.0,6.0,0.0,0,50,379,0,0,48.2,4.24,-0.002819646071076085,6257.0,0.22966277768898832,0.22966277768898832,,0.22966277768898832,,,,0.0,0.20557491289198607,,,287.0,0.13742819266460451,,,2263.0
C0__baldwinian__s16,C0__baldwinian,C0,C0,baldwinian,16,-1.0,6.0,0.0,0,50,388,0,0,43.8,4.386363636363637,-0.001725924434034979,5531.0,0.25492677635147354,0.25492677635147354,,0.25492677635147354,,,,0.0,0.22598870056497175,,,177.0,0.2323503127792672,,,1119.0
C0__baldwinian__s17,C0__baldwinian,C0,C0,baldwinian,17,-1.0,6.0,0.0,0,50,405,0,0,47.666666666666664,5.1875,-0.000655200604595882,5260.0,0.22984790874524716,0.22984790874524716,,0.22984790874524716,,,,0.0,0.1548974943052392,,,439.0,0.18885672937771347,,,1382.0
C0__baldwinian__s18,C0__baldwinian,C0,C0,baldwinian,18,-1.0,6.0,0.0,0,50,393,0,0,46.13333333333333,5.1891891891891895,0.002547243429437812,5173.0,0.2501449835685289,0.2501449835685289,,0.2501449835685289,,,,0.0,0.1298342541436464,,,362.0,0.1389904901243599,,,1367.0
C0__baldwinian__s19,C0__baldwinian,C0,C0,baldwinian,19,-1.0,6.0,0.0,0,50,401,0,0,47.266666666666666,5.02,-0.007486080008603865,6374.0,0.20458111076247254,0.20458111076247254,,0.20458111076247254,,,,0.0,0.24946695095948826,,,469.0,0.14002763703362506,,,2171.0
C0__baldwinian__s20,C0__baldwinian,C0,C0,baldwinian,20,-1.0,6.0,0.0,0,50,384,0,0,43.0,5.358974358974359,0.00013288181106693728,5095.0,0.2527968596663395,0.2527968596663395,,0.2527968596663395,,,,0.0,0.1991869918699187,,,738.0,0.24125364431486881,,,1372.0
C0__baldwinian__s21,C0__baldwinian,C0,C0,baldwinian,21,-1.0,6.0,0.0,0,50,401,0,0,45.4,6.255813953488372,-0.003814180494129741,6851.0,0.21150197051525324,0.21150197051525324,,0.21150197051525324,,,,0.0,0.2805755395683453,,,139.0,0.1949588477366255,,,1944.0
C0__baldwinian__s22,C0__baldwinian,C0,C0,baldwinian,22,-1.0,6.0,0.0,0,50,427,0,0,47.6,5.0,0.0003383113345312498,5478.0,0.23731288791529756,0.23731288791529756,,0.23731288791529756,,,,0.0,0.0821917808219178,,,511.0,0.16510903426791276,,,1605.0
C0__baldwinian__s23,C0__baldwinian,C0,C0,baldwinian,23,-1.0,6.0,0.0,0,50,385,0,0,41.0,4.566666666666666,0.0041610447743452225,4612.0,0.29444926279271466,0.29444926279271466,,0.29444926279271466,,,,0.0,0.13405797101449277,,,276.0,0.1507991660875608,,,1439.0
C0__baldwinian__s24,C0__baldwinian,C0,C0,baldwinian,24,-1.0,6.0,0.0,0,50,413,0,0,45.4,4.32,-0.0036965087116458055,5694.0,0.22567615033368457,0.22567615033368457,,0.22567615033368457,,,,0.0,0.10396039603960396,,,404.0,0.09938524590163934,,,1952.0
C0__baldwinian__s25,C0__baldwinian,C0,C0,baldwinian,25,-1.0,6.0,0.0,0,50,413,0,0,47.266666666666666,4.54,-0.0036722070591201934,5171.0,0.22838909301875845,0.22838909301875845,,0.22838909301875845,,,,0.0,0.2839506172839506,,,243.0,0.15033301617507136,,,1051.0
C0__baldwinian__s26,C0__baldwinian,C0,C0,baldwinian,26,-1.0,6.0,0.0,0,50,390,0,0,44.266666666666666,5.04,-0.0028698637030967313,5475.0,0.24858447488584476,0.24858447488584476,,0.24858447488584476,,,,0.0,0.13476263399693722,,,653.0,0.17261219792865362,,,1738.0
C0__baldwinian__s27,C0__baldwinian,C0,C0,baldwinian,27,-1.0,6.0,0.0,0,50,398,0,0,44.733333333333334,5.404255319148936,0.0019584348784963965,5431.0,0.2518873135702449,0.2518873135702449,,0.2518873135702449,,,,0.0,0.08768656716417911,,,536.0,0.17770034843205576,,,1722.0
C0__baldwinian__s28,C0__baldwinian,C0,C0,baldwinian,28,-1.0,6.0,0.0,0,50,401,0,0,44.733333333333334,5.147058823529412,-0.0018409384001689272,6251.0,0.22908334666453367,0.22908334666453367,,0.22908334666453367,,,,0.0,0.1292517006802721,,,441.0,0.2685539403213466,,,1307.0
C0__baldwinian__s29,C0__baldwinian,C0,C0,baldwinian,29,-1.0,6.0,0.0,0,50,383,0,0,41.86666666666667,4.878048780487805,-0.0037292572012663345,5394.0,0.2371153133110864,0.2371153133110864,,0.2371153133110864,,,,0.0,0.13066202090592335,,,574.0,0.1880184331797235,,,1085.0
C0__baldwinian__s30,C0__baldwinian,C0,C0,baldwinian,30,-1.0,6.0,0.0,0,50,402,0,0,44.333333333333336,4.566666666666666,-0.0014762240437340534,5163.0,0.2535347666085609,0.2535347666085609,,0.2535347666085609,,,,0.0,0.16972477064220184,,,218.0,0.1729185727355901,,,1093.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,-1.0,6.0,0.0,0,32,225,205,0,33.93333333333333,4.972222222222222,0.013292818391067142,3863.0,0.5003882992492881,0.5003882992492881,,0.5003882992492881,,,,0.0,0.47297297297297297,,,148.0,0.4612310151878497,,,1251.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,-1.0,6.0,0.0,0,32,210,190,0,34.8,6.638888888888889,0.025546153947885928,3008.0,0.5545212765957447,0.5545212765957447,,0.5545212765957447,,,,0.0,0.5344827586206896,,,232.0,0.4910358565737052,,,1004.0
