cell_id,condition,family,inheritance_mode,fidelity,n_agents,n_seeds,auc_classifier,auc_classifier_lo,auc_classifier_hi,auc_rank,auc_rank_lo,auc_rank_hi,positive_rate
C0__baldwinian,C0,C0,baldwinian,,0,0,,,,,,,
C0__lamarckian,C0,C0,lamarckian,,0,0,,,,,,,
C1__baldwinian,C1,C1,baldwinian,0.0,5034,30,0.7919794707890936,0.7798716621054232,0.8043018390985807,0.7838816587026579,0.7710688202204673,0.7966776470762243,0.4978148589590783
C1__lamarckian,C1,C1,lamarckian,0.0,6286,30,0.7880760420858675,0.7774247729508161,0.7995168333781434,0.7890106986385622,0.7788293362196901,0.7997249832555157,0.4949093223035317
C1_p3__baldwinian,C1_p3,C1,baldwinian,,5090,30,0.8295862064599822,0.8156818850621332,0.8428416077826447,0.8301925216799764,0.817016461294177,0.8427357324771988,0.49724950884086444
C1_p3__lamarckian,C1_p3,C1,lamarckian,,5447,30,0.8308147495428315,0.8188467439227266,0.8433030210620187,0.8319648836330161,0.8195058253787002,0.8442991834924114,0.4986230952818065
C1_p9__baldwinian,C1_p9,C1,baldwinian,,4438,30,0.7648557822673276,0.749263872428865,0.779066362150696,0.7553642537452129,0.7418507259887062,0.7689998721016771,0.49414150518251465
C1_p9__lamarckian,C1_p9,C1,lamarckian,,6202,30,0.7601735419275133,0.7483952629210484,0.7717414239912346,0.7587741729512527,0.7467099306725102,0.7708361821604843,0.4985488552079974
C2__baldwinian,C2,C2,baldwinian,1.0,4812,30,0.7024012016290146,0.6877991002022709,0.7157671836277438,0.6771536170785601,0.6607547573777534,0.6932221662005923,0.4906483790523691
C2__lamarckian,C2,C2,lamarckian,1.0,4612,30,0.7528553619875933,0.7376867304692762,0.7672395479045993,0.4458342978926503,0.42462674059668387,0.46683916400776154,0.49934952298352125
C2_p3__baldwinian,C2_p3,C2,baldwinian,,4887,30,0.7789580469334105,0.767416413969383,0.7923185207301876,0.7526319482966072,0.7390918314110354,0.7661675359251232,0.4990791896869245
C2_p3__lamarckian,C2_p3,C2,lamarckian,,4343,30,0.7340295627094202,0.718165020954145,0.7491852105902329,0.5301044450099673,0.512642614087812,0.5491160149430157,0.49919410545705734
C2_p9__baldwinian,C2_p9,C2,baldwinian,,4491,30,0.6797472481574723,0.6677086195137262,0.691851697166664,0.6595704741804168,0.6453435013477319,0.672929534478877,0.4992206635493209
C2_p9__lamarckian,C2_p9,C2,lamarckian,,4676,30,0.732013426403944,0.7143853851094534,0.7487800914735726,0.4423003254154041,0.4260802637660019,0.45789666604073564,0.5
C3_f0.1__baldwinian,C3_f0.1,C3,baldwinian,0.1,5109,30,0.8020792372043699,0.7918362152032808,0.8135638522297317,0.7952719880713572,0.7845483634270648,0.8068107469272296,0.49990213348991974
C3_f0.1__lamarckian,C3_f0.1,C3,lamarckian,0.1,6267,30,0.7882552574299679,0.7755375597356606,0.8020286616180827,0.7904201564268115,0.7781562355806715,0.8039977690830066,0.4954523695548109
C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,0.3,5067,30,0.785428759137919,0.7754094029648259,0.7959036285816913,0.7807378620261497,0.7702181398904341,0.7913335132029662,0.492599171107164
C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,0.3,6337,30,0.7941606423974679,0.7836813129188762,0.8049110710852516,0.7958322575709763,0.7855137221776862,0.8060151448746979,0.4999210983115039
C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,0.5,5036,30,0.7903080439635054,0.7771017820860977,0.8020938997142059,0.789171236272842,0.7750155013225877,0.8020666538774353,0.49225575853852266
C3_f0.5__lamarckian,C3_f0.5,C3,lamarckian,0.5,6185,30,0.7898441697674535,0.7789577084348829,0.8013297781075076,0.7913082558764305,0.7801789833710145,0.8030340572998906,0.4889248181083266
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,0.7,5113,30,0.7561486277033505,0.7444602119017303,0.7676809599059332,0.7565668699506065,0.7447857725486777,0.768342394065598,0.49951105026403286
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,0.7,5890,30,0.7711175181639949,0.7587617916749017,0.7837540574895809,0.7622416676277247,0.7486952439722466,0.776138990674014,0.4923599320882852
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,0.9,5089,30,0.7309892699984709,0.7187628667651326,0.7437898163732172,0.7303719126339705,0.7181076706217049,0.7436995337465964,0.49793672627235214
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,0.9,5246,30,0.7469921601095864,0.7303020769573938,0.7631831679773731,0.6444405618394322,0.6253534919677532,0.6631018156169597,0.4959969500571864
C4__baldwinian,C4,C4,baldwinian,1.0,5243,30,0.7826147895804534,0.7729819808258703,0.7934100687814597,0.7755699490386863,0.7658510806463128,0.7867812116741043,0.49246614533663935
C4__lamarckian,C4,C4,lamarckian,1.0,6128,30,0.7726368132176571,0.759072594023775,0.7858249102848638,0.774026363860733,0.7602291343975626,0.7868906106967253,0.49787859007832896
