cell_id,condition,family,inheritance_mode,fidelity,penalty,calibration_condition,n_agents,auc,auc_lo,auc_hi
C1_p3__baldwinian,C1_p3,C1,baldwinian,0.0,3.0,C1,5090,0.8307671856088836,0.8179138361386199,0.8434903512094373
C1_p9__baldwinian,C1_p9,C1,baldwinian,0.0,9.0,C1,4438,0.7653241687206815,0.7504928512272685,0.7792858320911595
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,C1,4812,0.6636349450500457,0.6466517714953574,0.6799512595141303
C2_p3__baldwinian,C2_p3,C2,baldwinian,1.0,3.0,C1,4887,0.7220095158467924,0.7085563759285601,0.7364477253747234
C2_p9__baldwinian,C2_p9,C2,baldwinian,1.0,9.0,C1,4491,0.6607537734086595,0.6485482030920217,0.6736744062384703
C3_f0.1__baldwinian,C3_f0.1,C3,baldwinian,0.1,6.0,C1,5109,0.804360452197313,0.7938725448118591,0.8156106275814023
C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,0.3,6.0,C1,5067,0.7873554513359065,0.7771927592602759,0.7981268788327065
C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,0.5,6.0,C1,5036,0.7919189159215075,0.7794871376846294,0.8032999780966891
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,0.7,6.0,C1,5113,0.7575728087304072,0.744955430184915,0.7697472398635408
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,0.9,6.0,C1,5089,0.7201880646302266,0.7078465711880354,0.7326256273840028
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,C1,5243,0.7850851339499225,0.7748545517334191,0.7958794723252999
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,C4,5034,0.7912330028185519,0.779543567792085,0.8040099903634033
C1_p3__baldwinian,C1_p3,C1,baldwinian,0.0,3.0,C4,5090,0.8315115313373258,0.8187781322684958,0.8436206164947485
C1_p9__baldwinian,C1_p9,C1,baldwinian,0.0,9.0,C4,4438,0.762686905186273,0.7474113562242404,0.7769130025740152
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,C4,4812,0.6756609123747086,0.6596649425867771,0.692647127426679
C2_p3__baldwinian,C2_p3,C2,baldwinian,1.0,3.0,C4,4887,0.7338570934728955,0.7204196775637665,0.7469092908665543
