cell_id,condition,family,inheritance_mode,fidelity,penalty,feature_set,features,n_features,n_agents,auc,auc_lo,auc_hi
C0__baldwinian,C0,C0,baldwinian,,6.0,defect_rate,obs_defect_rate,1,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,defect_rate+actions,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share,4,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,defect_rate+actions+energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy,5,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,full,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,6,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,actions_only,obs_gather_share+obs_move_share+obs_pass_share,3,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,energy_only,obs_mean_energy,1,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,exposure_only,obs_log_ticks,1,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,full_minus_defect_rate,obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,5,0,,,
C0__baldwinian,C0,C0,baldwinian,,6.0,full_minus_energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_log_ticks,5,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,defect_rate,obs_defect_rate,1,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,defect_rate+actions,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share,4,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,defect_rate+actions+energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy,5,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,full,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,6,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,actions_only,obs_gather_share+obs_move_share+obs_pass_share,3,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,energy_only,obs_mean_energy,1,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,exposure_only,obs_log_ticks,1,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,full_minus_defect_rate,obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,5,0,,,
C0__lamarckian,C0,C0,lamarckian,,6.0,full_minus_energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_log_ticks,5,0,,,
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,defect_rate,obs_defect_rate,1,5034,0.7828587971147727,0.7698712490566192,0.7957617505123257
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,defect_rate+actions,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share,4,5034,0.7840287739804217,0.7709925931974945,0.7970106142279094
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,defect_rate+actions+energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy,5,5034,0.7846003452473558,0.771647911973945,0.7971861590621971
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,full,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,6,5034,0.7919794707890936,0.7802127930221507,0.8045285489064468
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,actions_only,obs_gather_share+obs_move_share+obs_pass_share,3,5034,0.6031787949427703,0.5892641291445269,0.6183255207223779
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,energy_only,obs_mean_energy,1,5034,0.5625254136906866,0.5507915699715048,0.5751940246436821
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,exposure_only,obs_log_ticks,1,5034,0.6620319303292352,0.6497073821700581,0.6750091446707702
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,full_minus_defect_rate,obs_gather_share+obs_move_share+obs_pass_share+obs_mean_energy+obs_log_ticks,5,5034,0.6769214328649217,0.6652283846765831,0.6884021262432063
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,full_minus_energy,obs_defect_rate+obs_gather_share+obs_move_share+obs_pass_share+obs_log_ticks,5,5034,0.7920995938860659,0.7796968530681231,0.8052508964699447
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,defect_rate,obs_defect_rate,1,6286,0.7884968501405984,0.778423162749134,0.7988934518288645
