cell_id,condition,family,inheritance_mode,fidelity,penalty,strategy,n_agents,share,mean_obs_defect_rate,mean_obs_gather_share,mean_obs_move_share,mean_obs_pass_share,mean_obs_mean_energy,mean_obs_log_ticks,smd_vs_cooperative_obs_defect_rate,smd_vs_cooperative_obs_gather_share,smd_vs_cooperative_obs_move_share,smd_vs_cooperative_obs_pass_share,smd_vs_cooperative_obs_mean_energy,smd_vs_cooperative_obs_log_ticks
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,cooperative,3916,0.8018018018018018,0.06384841687680054,0.155340475166562,0.141706458222628,0.30712365484612375,16.568839218870895,4.588764900007285,,,,,,
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,mixed,883,0.1807944307944308,0.2218734344960974,0.11972465178484384,0.17845267727378886,0.28530896904310415,11.692263992688522,4.04921114757873,,,,,,
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,defector,25,0.005118755118755119,0.5515441626599521,0.1052829481531867,0.24462637089834918,0.21679253372851284,14.674406388197491,4.323862858746189,,,,,,
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,conditional,60,0.012285012285012284,0.23520815582304888,0.09377738688852041,0.16638284736235726,0.3074660993023833,8.54446896782019,3.784826204533844,1.6057721543837278,-0.5928110048675784,0.27530101379241717,0.0020054306236570443,-0.5741105491924384,-1.1944635654504432
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,cooperative,5074,0.8245043873903153,0.06628295683205239,0.15740228974235837,0.169015875192835,0.3530190026441821,22.961827129414527,4.633345900962988,,,,,,
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,mixed,1018,0.16542086447838805,0.21466333337092156,0.10951028599117925,0.22048839492676967,0.3094556797786848,12.634505531007518,4.0008354819407295,,,,,,
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,defector,10,0.0016249593760155996,0.5171663888227356,0.07789200735695093,0.3224632982106727,0.17530747649709355,14.753166959104542,3.9570529220331223,,,,,,
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,conditional,52,0.008449788755281119,0.20485635359027746,0.09896793913216927,0.22915397537789087,0.3399516488480546,8.831903476368833,3.864632588756422,1.6871393454344965,-0.5538589403672489,0.5548886697646991,-0.07562482637576327,-0.7943464007723241,-1.1178451360699928
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,conditional,544,0.11305070656691604,0.08509646554978866,0.1477783782344107,0.23263275145394693,0.2724985206020379,20.891110777527906,4.716326718685793,0.6184420323628295,0.10520020795999008,0.8688639772115632,-0.24930607927201182,0.256547666375617,0.27441894105696546
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,cooperative,3412,0.7090606816292602,0.05222929449328076,0.13463537738658926,0.13150915129893476,0.3213051462466007,16.06351463776469,4.523173359965746,,,,,,
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,mixed,852,0.1770573566084788,0.12227339452300513,0.1344337497449629,0.185750523827964,0.29613784625174033,15.944160758911746,4.378350512152307,,,,,,
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,defector,4,0.0008312551953449709,0.5776515151515151,0.13574985803676254,0.2844703630059323,0.15274956771965956,9.866745724407894,4.172913391402426,,,,,,
