run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,0.0,-1.0,6.0,0,0.0,0.0,1800,0,32,225,205,193,205,0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,0.0,-1.0,6.0,0,0.0,0.0,1800,0,32,210,190,178,190,0
C0__lamarckian__s3,C0__lamarckian,C0,C0,lamarckian,3,0.0,-1.0,6.0,0,0.0,0.0,1800,0,32,197,177,165,177,0
C0__lamarckian__s4,C0__lamarckian,C0,C0,lamarckian,4,0.0,-1.0,6.0,0,0.0,0.0,1800,0,41,207,187,166,187,0
C0__lamarckian__s5,C0__lamarckian,C0,C0,lamarckian,5,0.0,-1.0,6.0,0,0.0,0.0,1800,0,36,217,197,181,197,0
C0__lamarckian__s6,C0__lamarckian,C0,C0,lamarckian,6,0.0,-1.0,6.0,0,0.0,0.0,1800,0,42,224,204,182,204,0
C0__lamarckian__s7,C0__lamarckian,C0,C0,lamarckian,7,0.0,-1.0,6.0,0,0.0,0.0,1800,0,39,213,193,174,193,0
C0__lamarckian__s8,C0__lamarckian,C0,C0,lamarckian,8,0.0,-1.0,6.0,0,0.0,0.0,1800,0,37,221,201,184,201,0
C0__lamarckian__s9,C0__lamarckian,C0,C0,lamarckian,9,0.0,-1.0,6.0,0,0.0,0.0,1800,0,32,229,209,197,209,0
C0__lamarckian__s10,C0__lamarckian,C0,C0,lamarckian,10,0.0,-1.0,6.0,0,0.0,0.0,1800,0,38,223,203,185,203,0
C0__lamarckian__s11,C0__lamarckian,C0,C0,lamarckian,11,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,214,194,179,194,0
C0__lamarckian__s12,C0__lamarckian,C0,C0,lamarckian,12,0.0,-1.0,6.0,0,0.0,0.0,1800,0,30,209,189,179,189,0
C0__lamarckian__s13,C0__lamarckian,C0,C0,lamarckian,13,0.0,-1.0,6.0,0,0.0,0.0,1800,0,30,199,179,169,179,0
C0__lamarckian__s14,C0__lamarckian,C0,C0,lamarckian,14,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,226,206,191,206,0
C0__lamarckian__s15,C0__lamarckian,C0,C0,lamarckian,15,0.0,-1.0,6.0,0,0.0,0.0,1800,0,32,202,182,170,182,0
C0__lamarckian__s16,C0__lamarckian,C0,C0,lamarckian,16,0.0,-1.0,6.0,0,0.0,0.0,1800,0,39,217,197,178,197,0
C0__lamarckian__s17,C0__lamarckian,C0,C0,lamarckian,17,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,212,192,177,192,0
C0__lamarckian__s18,C0__lamarckian,C0,C0,lamarckian,18,0.0,-1.0,6.0,0,0.0,0.0,1800,0,33,223,203,190,203,0
C0__lamarckian__s19,C0__lamarckian,C0,C0,lamarckian,19,0.0,-1.0,6.0,0,0.0,0.0,1800,0,34,218,198,184,198,0
C0__lamarckian__s20,C0__lamarckian,C0,C0,lamarckian,20,0.0,-1.0,6.0,0,0.0,0.0,1800,0,34,222,202,188,202,0
C0__lamarckian__s21,C0__lamarckian,C0,C0,lamarckian,21,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,215,195,180,195,0
C0__lamarckian__s22,C0__lamarckian,C0,C0,lamarckian,22,0.0,-1.0,6.0,0,0.0,0.0,1800,0,37,225,205,188,205,0
C0__lamarckian__s23,C0__lamarckian,C0,C0,lamarckian,23,0.0,-1.0,6.0,0,0.0,0.0,1800,0,30,215,195,185,195,0
C0__lamarckian__s24,C0__lamarckian,C0,C0,lamarckian,24,0.0,-1.0,6.0,0,0.0,0.0,1800,0,36,227,207,191,207,0
C0__lamarckian__s25,C0__lamarckian,C0,C0,lamarckian,25,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,210,190,175,190,0
C0__lamarckian__s26,C0__lamarckian,C0,C0,lamarckian,26,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,230,210,195,210,0
C0__lamarckian__s27,C0__lamarckian,C0,C0,lamarckian,27,0.0,-1.0,6.0,0,0.0,0.0,1800,0,39,229,209,190,209,0
C0__lamarckian__s28,C0__lamarckian,C0,C0,lamarckian,28,0.0,-1.0,6.0,0,0.0,0.0,1800,0,36,218,198,182,198,0
C0__lamarckian__s29,C0__lamarckian,C0,C0,lamarckian,29,0.0,-1.0,6.0,0,0.0,0.0,1800,0,35,214,194,179,194,0
C0__lamarckian__s30,C0__lamarckian,C0,C0,lamarckian,30,0.0,-1.0,6.0,0,0.0,0.0,1800,0,38,214,194,176,194,0
