run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,50,train,50,0.74,30,0,66.30331202238818,0.875,0.0,454.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,100,train,50,0.74,1,1,39.53727278924098,0.9791666666666666,0.0,292.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,150,train,50,0.7,7,7,60.349017745260724,0.8958333333333334,0.0,353.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,200,train,50,0.84,11,11,26.588342032460545,1.0,0.0,334.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,250,train,50,0.92,7,7,45.28337575153881,0.9166666666666666,0.0,265.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,300,train,50,1.16,11,11,35.35470175380297,0.9791666666666666,0.0,248.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,350,train,49,1.2040816326530612,7,8,40.416242675544844,0.9375,0.0,228.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,400,train,45,1.2222222222222223,4,8,46.72421297332962,0.9375,0.0,165.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,450,train,38,1.0789473684210527,4,11,33.90488075629496,1.0,0.0,160.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,500,train,31,1.4516129032258065,5,12,38.86548471720648,0.9375,0.0,213.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
