run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C1__baldwinian__s1,C1__baldwinian,C1,C1,baldwinian,1,0.5,0.0,6.0,0,3.0,0.47181127548980406,1800,0,50,687,667,637,0,0
C1__baldwinian__s2,C1__baldwinian,C1,C1,baldwinian,2,0.5,0.0,6.0,0,3.0,0.44917355371900825,1800,0,50,646,626,596,0,0
C1__baldwinian__s3,C1__baldwinian,C1,C1,baldwinian,3,0.5,0.0,6.0,0,3.0,0.4633848657445077,1800,0,50,680,660,630,0,0
C1__baldwinian__s4,C1__baldwinian,C1,C1,baldwinian,4,0.5,0.0,6.0,0,3.0,0.4718281313336036,1800,0,50,661,641,611,0,0
C1__baldwinian__s5,C1__baldwinian,C1,C1,baldwinian,5,0.5,0.0,6.0,0,3.0,0.47677764077270857,1800,0,50,629,609,579,0,0
C1__baldwinian__s6,C1__baldwinian,C1,C1,baldwinian,6,0.5,0.0,6.0,0,3.0,0.4855224506924045,1800,0,50,673,653,623,0,0
C1__baldwinian__s7,C1__baldwinian,C1,C1,baldwinian,7,0.5,0.0,6.0,0,3.0,0.4686289697908598,1800,0,50,716,696,666,0,0
C1__baldwinian__s8,C1__baldwinian,C1,C1,baldwinian,8,0.5,0.0,6.0,0,3.0,0.46853677028051555,1800,0,50,685,665,635,0,0
C1__baldwinian__s9,C1__baldwinian,C1,C1,baldwinian,9,0.5,0.0,6.0,0,3.0,0.45592455924559244,1800,0,50,643,623,593,0,0
C1__baldwinian__s10,C1__baldwinian,C1,C1,baldwinian,10,0.5,0.0,6.0,0,3.0,0.48688524590163934,1800,0,50,600,580,550,0,0
C1__baldwinian__s11,C1__baldwinian,C1,C1,baldwinian,11,0.5,0.0,6.0,0,3.0,0.45283882783882784,1800,0,50,624,604,574,0,0
C1__baldwinian__s12,C1__baldwinian,C1,C1,baldwinian,12,0.5,0.0,6.0,0,3.0,0.47224523612261804,1800,0,50,626,606,576,0,0
C1__baldwinian__s13,C1__baldwinian,C1,C1,baldwinian,13,0.5,0.0,6.0,0,3.0,0.4507379337854009,1800,0,50,680,660,630,0,0
C1__baldwinian__s14,C1__baldwinian,C1,C1,baldwinian,14,0.5,0.0,6.0,0,3.0,0.4880838894184938,1800,0,50,631,611,581,0,0
C1__baldwinian__s15,C1__baldwinian,C1,C1,baldwinian,15,0.5,0.0,6.0,0,3.0,0.46515151515151515,1800,0,50,672,652,622,0,0
C1__baldwinian__s16,C1__baldwinian,C1,C1,baldwinian,16,0.5,0.0,6.0,0,3.0,0.4713064713064713,1800,0,50,596,576,546,0,0
C1__baldwinian__s17,C1__baldwinian,C1,C1,baldwinian,17,0.5,0.0,6.0,0,3.0,0.4888402625820569,1800,0,50,661,641,611,0,0
C1__baldwinian__s18,C1__baldwinian,C1,C1,baldwinian,18,0.5,0.0,6.0,0,3.0,0.46138044371405096,1800,0,50,608,588,558,0,0
C1__baldwinian__s19,C1__baldwinian,C1,C1,baldwinian,19,0.5,0.0,6.0,0,3.0,0.4761301225179552,1800,0,50,573,553,523,0,0
C1__baldwinian__s20,C1__baldwinian,C1,C1,baldwinian,20,0.5,0.0,6.0,0,3.0,0.4825479930191972,1800,0,50,665,645,615,0,0
C1__baldwinian__s21,C1__baldwinian,C1,C1,baldwinian,21,0.5,0.0,6.0,0,3.0,0.4797999230473259,1800,0,50,691,671,641,0,0
C1__baldwinian__s22,C1__baldwinian,C1,C1,baldwinian,22,0.5,0.0,6.0,0,3.0,0.46121768140116765,1800,0,50,650,630,600,0,0
C1__baldwinian__s23,C1__baldwinian,C1,C1,baldwinian,23,0.5,0.0,6.0,0,3.0,0.4694702790133441,1800,0,50,640,620,590,0,0
C1__baldwinian__s24,C1__baldwinian,C1,C1,baldwinian,24,0.5,0.0,6.0,0,3.0,0.46741476046611996,1800,0,50,579,559,529,0,0
C1__baldwinian__s25,C1__baldwinian,C1,C1,baldwinian,25,0.5,0.0,6.0,0,3.0,0.4761061946902655,1800,0,50,600,580,550,0,0
C1__baldwinian__s26,C1__baldwinian,C1,C1,baldwinian,26,0.5,0.0,6.0,0,3.0,0.46309278350515465,1800,0,50,604,584,554,0,0
C1__baldwinian__s27,C1__baldwinian,C1,C1,baldwinian,27,0.5,0.0,6.0,0,3.0,0.47581645307978504,1800,0,50,591,571,541,0,0
C1__baldwinian__s28,C1__baldwinian,C1,C1,baldwinian,28,0.5,0.0,6.0,0,3.0,0.47555729370355887,1800,0,50,695,675,645,0,0
C1__baldwinian__s29,C1__baldwinian,C1,C1,baldwinian,29,0.5,0.0,6.0,0,3.0,0.4807692307692308,1800,0,50,678,658,628,0,0
C1__baldwinian__s30,C1__baldwinian,C1,C1,baldwinian,30,0.5,0.0,6.0,0,3.0,0.48169962137147665,1800,0,50,579,559,529,0,0
