run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,50,train,50,0.82,40,10,91.47875862337845,0.8125,0.5,134.0,161.0,111.0,96.0,46.0,69.0,0.0,0.0,20.0,28.0,22.0,13.0,12.0,13.0,0.0,0.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,100,train,50,0.9,9,9,69.94404518983603,0.8541666666666666,0.5,202.0,223.0,141.0,156.0,32.0,36.0,0.0,0.0,26.0,24.0,21.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,150,train,50,0.86,11,11,80.95236124481379,0.8958333333333334,0.5,233.0,228.0,243.0,258.0,81.0,93.0,0.0,0.0,21.0,26.0,13.0,13.0,17.0,8.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,200,train,50,0.82,20,20,75.91413511245472,0.875,0.5,343.0,310.0,242.0,232.0,61.0,51.0,0.0,0.0,26.0,22.0,23.0,17.0,16.0,5.0,0.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,250,train,50,0.84,20,20,113.3484209722332,0.7291666666666666,0.5,279.0,274.0,279.0,294.0,24.0,24.0,0.0,0.0,15.0,23.0,14.0,21.0,9.0,5.0,0.0,0.0,0.0,0.0,14.0,21.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,300,train,50,0.96,20,20,64.7343439474469,0.8541666666666666,0.5,325.0,341.0,262.0,263.0,57.0,60.0,0.0,0.0,21.0,40.0,19.0,16.0,13.0,6.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,350,train,50,1.02,14,14,107.05293453037766,0.7916666666666666,0.5,189.0,161.0,223.0,240.0,81.0,84.0,0.0,0.0,16.0,13.0,22.0,24.0,8.0,5.0,0.0,0.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,400,train,50,1.0,13,13,115.7126820453644,0.6666666666666666,0.5,356.0,340.0,240.0,231.0,153.0,142.0,0.0,0.0,25.0,27.0,17.0,17.0,11.0,9.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,450,train,50,0.98,9,9,121.89529605702582,0.6041666666666666,0.5,351.0,363.0,355.0,331.0,110.0,127.0,0.0,0.0,23.0,17.0,18.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,500,train,50,1.26,14,14,131.3878636848808,0.6041666666666666,0.5,353.0,295.0,385.0,367.0,152.0,172.0,0.0,0.0,30.0,15.0,20.0,12.0,11.0,9.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,550,train,50,1.54,17,17,98.9457804564268,0.7708333333333334,0.5,311.0,294.0,333.0,293.0,78.0,83.0,0.0,0.0,22.0,29.0,21.0,18.0,12.0,4.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,600,train,50,1.58,9,9,83.2693011099141,0.7708333333333334,0.5,306.0,292.0,293.0,298.0,98.0,95.0,0.0,0.0,26.0,21.0,19.0,19.0,12.0,6.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,650,train,50,1.58,13,13,129.99836003145685,0.6041666666666666,0.5,310.0,313.0,341.0,360.0,69.0,76.0,0.0,0.0,14.0,11.0,11.0,20.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,700,train,50,1.56,8,8,101.21551431402392,0.7083333333333334,0.5,373.0,371.0,389.0,415.0,78.0,62.0,0.0,0.0,31.0,21.0,19.0,21.0,5.0,6.0,0.0,0.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,750,train,50,1.66,11,11,98.63046334623306,0.6875,0.5,365.0,424.0,361.0,356.0,49.0,73.0,0.0,0.0,15.0,27.0,24.0,25.0,5.0,10.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,800,train,50,1.84,16,16,96.13870239449557,0.75,0.5,290.0,260.0,242.0,228.0,88.0,96.0,0.0,0.0,26.0,19.0,19.0,17.0,9.0,11.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,850,train,50,1.84,11,11,79.7814510045436,0.7708333333333334,0.5,256.0,288.0,318.0,295.0,47.0,51.0,0.0,0.0,23.0,25.0,15.0,16.0,3.0,5.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,900,train,50,1.96,19,19,76.4002566770972,0.8333333333333334,0.5,390.0,379.0,302.0,312.0,59.0,58.0,0.0,0.0,26.0,27.0,16.0,22.0,7.0,11.0,0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,950,train,50,2.02,22,22,88.81073137199262,0.7708333333333334,0.5,282.0,297.0,281.0,323.0,31.0,40.0,0.0,0.0,13.0,24.0,19.0,29.0,8.0,3.0,0.0,0.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1000,train,50,2.44,24,24,69.65797137284193,0.875,0.5,312.0,327.0,260.0,250.0,32.0,29.0,0.0,0.0,27.0,24.0,16.0,17.0,12.0,4.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1050,train,50,2.64,21,21,104.28687941492959,0.7708333333333334,0.5,270.0,250.0,377.0,408.0,46.0,30.0,0.0,0.0,24.0,16.0,17.0,28.0,11.0,2.0,0.0,0.0,0.0,0.0,17.0,28.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1100,train,50,2.7,16,16,105.6531999504464,0.7083333333333334,0.5,341.0,337.0,307.0,316.0,89.0,91.0,0.0,0.0,17.0,23.0,15.0,18.0,13.0,7.0,0.0,0.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1150,train,50,2.76,27,27,84.69950105598055,0.7916666666666666,0.5,343.0,307.0,385.0,422.0,55.0,65.0,0.0,0.0,15.0,20.0,23.0,28.0,8.0,8.0,0.0,0.0,0.0,0.0,23.0,28.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1200,train,50,2.84,17,17,69.39392755111953,0.8958333333333334,0.5,300.0,333.0,320.0,295.0,103.0,83.0,0.0,0.0,23.0,25.0,16.0,27.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,27.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1250,train,50,2.86,21,21,86.09409050444295,0.7708333333333334,0.5,371.0,386.0,340.0,337.0,37.0,36.0,0.0,0.0,21.0,12.0,25.0,17.0,4.0,7.0,0.0,0.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,1300,train,50,2.92,16,16,123.39411584661421,0.6666666666666666,0.5,373.0,344.0,351.0,319.0,63.0,75.0,0.0,0.0,23.0,16.0,18.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,0.0
