run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,0.5,1.0,3.0,0,1.5,0.36,1800,0,50,463,443,413,0,0
C2_p3__baldwinian__s2,C2_p3__baldwinian,C2_p3,C2,baldwinian,2,0.5,1.0,3.0,0,1.5,0.37199379363847945,1800,0,50,486,466,436,0,0
C2_p3__baldwinian__s3,C2_p3__baldwinian,C2_p3,C2,baldwinian,3,0.5,1.0,3.0,0,1.5,0.36932241250930753,1800,0,50,471,451,421,0,0
C2_p3__baldwinian__s4,C2_p3__baldwinian,C2_p3,C2,baldwinian,4,0.5,1.0,3.0,0,1.5,0.3458505444986857,1800,0,50,483,463,433,0,0
C2_p3__baldwinian__s5,C2_p3__baldwinian,C2_p3,C2,baldwinian,5,0.5,1.0,3.0,0,1.5,0.36370481927710846,1800,0,50,448,428,398,0,0
C2_p3__baldwinian__s6,C2_p3__baldwinian,C2_p3,C2,baldwinian,6,0.5,1.0,3.0,0,1.5,0.3681891025641026,1800,0,50,480,460,430,0,0
C2_p3__baldwinian__s7,C2_p3__baldwinian,C2_p3,C2,baldwinian,7,0.5,1.0,3.0,0,1.5,0.34681674287724235,1800,0,50,473,453,423,0,0
C2_p3__baldwinian__s8,C2_p3__baldwinian,C2_p3,C2,baldwinian,8,0.5,1.0,3.0,0,1.5,0.36785590578455146,1800,0,50,495,475,445,0,0
C2_p3__baldwinian__s9,C2_p3__baldwinian,C2_p3,C2,baldwinian,9,0.5,1.0,3.0,0,1.5,0.36666666666666664,1800,0,50,481,461,431,0,0
C2_p3__baldwinian__s10,C2_p3__baldwinian,C2_p3,C2,baldwinian,10,0.5,1.0,3.0,0,1.5,0.38837567359507313,1800,0,50,447,427,397,0,0
C2_p3__baldwinian__s11,C2_p3__baldwinian,C2_p3,C2,baldwinian,11,0.5,1.0,3.0,0,1.5,0.37635303913405493,1800,0,50,499,479,449,0,0
C2_p3__baldwinian__s12,C2_p3__baldwinian,C2_p3,C2,baldwinian,12,0.5,1.0,3.0,0,1.5,0.3686970552642194,1800,0,50,462,442,412,0,0
C2_p3__baldwinian__s13,C2_p3__baldwinian,C2_p3,C2,baldwinian,13,0.5,1.0,3.0,0,1.5,0.37190970978144033,1800,0,50,491,471,441,0,0
C2_p3__baldwinian__s14,C2_p3__baldwinian,C2_p3,C2,baldwinian,14,0.5,1.0,3.0,0,1.5,0.381053525913339,1800,0,50,465,445,415,0,0
C2_p3__baldwinian__s15,C2_p3__baldwinian,C2_p3,C2,baldwinian,15,0.5,1.0,3.0,0,1.5,0.3566856330014225,1800,0,50,458,438,408,0,0
C2_p3__baldwinian__s16,C2_p3__baldwinian,C2_p3,C2,baldwinian,16,0.5,1.0,3.0,0,1.5,0.34865759470393526,1800,0,50,446,426,396,0,0
C2_p3__baldwinian__s17,C2_p3__baldwinian,C2_p3,C2,baldwinian,17,0.5,1.0,3.0,0,1.5,0.34637561779242176,1800,0,50,485,465,435,0,0
C2_p3__baldwinian__s18,C2_p3__baldwinian,C2_p3,C2,baldwinian,18,0.5,1.0,3.0,0,1.5,0.3742211838006231,1800,0,50,469,449,419,0,0
C2_p3__baldwinian__s19,C2_p3__baldwinian,C2_p3,C2,baldwinian,19,0.5,1.0,3.0,0,1.5,0.3821907013396375,1800,0,50,451,431,401,0,0
C2_p3__baldwinian__s20,C2_p3__baldwinian,C2_p3,C2,baldwinian,20,0.5,1.0,3.0,0,1.5,0.37702265372168287,1800,0,50,466,446,416,0,0
C2_p3__baldwinian__s21,C2_p3__baldwinian,C2_p3,C2,baldwinian,21,0.5,1.0,3.0,0,1.5,0.35815102328863796,1800,0,50,462,442,412,0,0
C2_p3__baldwinian__s22,C2_p3__baldwinian,C2_p3,C2,baldwinian,22,0.5,1.0,3.0,0,1.5,0.3535741737125288,1800,0,50,466,446,416,0,0
C2_p3__baldwinian__s23,C2_p3__baldwinian,C2_p3,C2,baldwinian,23,0.5,1.0,3.0,0,1.5,0.36655341638354094,1800,0,50,464,444,414,0,0
C2_p3__baldwinian__s24,C2_p3__baldwinian,C2_p3,C2,baldwinian,24,0.5,1.0,3.0,0,1.5,0.3850118953211737,1800,0,50,486,466,436,0,0
C2_p3__baldwinian__s25,C2_p3__baldwinian,C2_p3,C2,baldwinian,25,0.5,1.0,3.0,0,1.5,0.3616298811544992,1800,0,50,433,413,383,0,0
C2_p3__baldwinian__s26,C2_p3__baldwinian,C2_p3,C2,baldwinian,26,0.5,1.0,3.0,0,1.5,0.370790768066591,1800,0,50,425,405,375,0,0
C2_p3__baldwinian__s27,C2_p3__baldwinian,C2_p3,C2,baldwinian,27,0.5,1.0,3.0,0,1.5,0.3781446540880503,1800,0,50,456,436,406,0,0
C2_p3__baldwinian__s28,C2_p3__baldwinian,C2_p3,C2,baldwinian,28,0.5,1.0,3.0,0,1.5,0.3946303788157411,1800,0,50,473,453,423,0,0
C2_p3__baldwinian__s29,C2_p3__baldwinian,C2_p3,C2,baldwinian,29,0.5,1.0,3.0,0,1.5,0.3684820393974508,1800,0,50,455,435,405,0,0
C2_p3__baldwinian__s30,C2_p3__baldwinian,C2_p3,C2,baldwinian,30,0.5,1.0,3.0,0,1.5,0.39467408585055647,1800,0,50,437,417,387,0,0
