run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,50,train,50,0.66,30,0,83.5439541453054,0.875,0.5,230.0,0.0,0.0,184.0,75.0,0.0,0.0,0.0,54.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,100,train,50,0.66,2,2,39.91436480309538,0.9791666666666666,0.5,302.0,0.0,0.0,304.0,134.0,0.0,0.0,0.0,45.0,0.0,0.0,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,150,train,50,0.68,10,10,99.04257398226028,0.7916666666666666,0.5,354.0,0.0,0.0,382.0,141.0,0.0,0.0,0.0,51.0,0.0,0.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,200,train,50,0.72,8,8,79.27506576616915,0.8333333333333334,0.5,446.0,0.0,0.0,462.0,78.0,0.0,0.0,0.0,62.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,250,train,50,0.7,5,5,64.0995491562013,0.9166666666666666,0.5,390.0,0.0,0.0,328.0,56.0,0.0,0.0,0.0,60.0,0.0,0.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,300,train,50,0.74,9,9,27.796104857463263,1.0,0.5,497.0,0.0,0.0,335.0,30.0,0.0,0.0,0.0,91.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,350,train,50,0.74,5,5,42.6474996841741,0.9583333333333334,0.5,337.0,0.0,0.0,379.0,31.0,0.0,0.0,0.0,63.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,400,train,50,0.74,7,7,51.194668103926865,0.9583333333333334,0.5,365.0,0.0,0.0,379.0,44.0,0.0,0.0,0.0,70.0,0.0,0.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,450,train,50,0.76,11,11,66.85775493158724,0.9166666666666666,0.5,278.0,0.0,0.0,496.0,53.0,0.0,0.0,0.0,66.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
C2_p3__baldwinian__s1,C2_p3__baldwinian,C2_p3,C2,baldwinian,1,500,train,49,1.2857142857142858,19,20,58.71555966362969,0.9375,0.5,248.0,0.0,0.0,372.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
