run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C2_p9__lamarckian__s1,C2_p9__lamarckian,C2_p9,C2,lamarckian,1,0.5,1.0,9.0,0,4.5,0.18799424874191228,1800,0,40,487,467,447,467,0
C2_p9__lamarckian__s2,C2_p9__lamarckian,C2_p9,C2,lamarckian,2,0.5,1.0,9.0,0,4.5,0.19017254313578394,1800,0,44,484,464,440,464,0
C2_p9__lamarckian__s3,C2_p9__lamarckian,C2_p9,C2,lamarckian,3,0.5,1.0,9.0,0,4.5,0.19971870604781997,1800,0,37,476,456,439,456,0
C2_p9__lamarckian__s4,C2_p9__lamarckian,C2_p9,C2,lamarckian,4,0.5,1.0,9.0,0,4.5,0.1885653409090909,1800,0,40,474,454,434,454,0
C2_p9__lamarckian__s5,C2_p9__lamarckian,C2_p9,C2,lamarckian,5,0.5,1.0,9.0,0,4.5,0.21351652432231713,1800,0,41,471,451,430,451,0
C2_p9__lamarckian__s6,C2_p9__lamarckian,C2_p9,C2,lamarckian,6,0.5,1.0,9.0,0,4.5,0.21107668474051122,1800,0,38,495,475,457,475,0
C2_p9__lamarckian__s7,C2_p9__lamarckian,C2_p9,C2,lamarckian,7,0.5,1.0,9.0,0,4.5,0.1808209483368719,1800,0,40,443,423,403,423,0
C2_p9__lamarckian__s8,C2_p9__lamarckian,C2_p9,C2,lamarckian,8,0.5,1.0,9.0,0,4.5,0.16497289972899729,1800,0,34,440,420,406,420,0
C2_p9__lamarckian__s9,C2_p9__lamarckian,C2_p9,C2,lamarckian,9,0.5,1.0,9.0,0,4.5,0.1674712216858522,1800,0,47,462,442,415,442,0
C2_p9__lamarckian__s10,C2_p9__lamarckian,C2_p9,C2,lamarckian,10,0.5,1.0,9.0,0,4.5,0.19650323071075637,1800,0,42,517,497,475,497,0
C2_p9__lamarckian__s11,C2_p9__lamarckian,C2_p9,C2,lamarckian,11,0.5,1.0,9.0,0,4.5,0.2323972323972324,1800,0,41,517,497,476,497,0
C2_p9__lamarckian__s12,C2_p9__lamarckian,C2_p9,C2,lamarckian,12,0.5,1.0,9.0,0,4.5,0.2058937572702598,1800,0,36,461,441,425,441,0
C2_p9__lamarckian__s13,C2_p9__lamarckian,C2_p9,C2,lamarckian,13,0.5,1.0,9.0,0,4.5,0.16922029281579842,1800,0,42,471,451,429,451,0
C2_p9__lamarckian__s14,C2_p9__lamarckian,C2_p9,C2,lamarckian,14,0.5,1.0,9.0,0,4.5,0.2013120131201312,1800,0,44,422,402,378,402,0
C2_p9__lamarckian__s15,C2_p9__lamarckian,C2_p9,C2,lamarckian,15,0.5,1.0,9.0,0,4.5,0.17320150017047392,1800,0,34,479,459,445,459,0
C2_p9__lamarckian__s16,C2_p9__lamarckian,C2_p9,C2,lamarckian,16,0.5,1.0,9.0,0,4.5,0.20298833819241982,1800,0,39,468,448,429,448,0
C2_p9__lamarckian__s17,C2_p9__lamarckian,C2_p9,C2,lamarckian,17,0.5,1.0,9.0,0,4.5,0.1736573892591141,1800,0,38,411,391,373,391,0
C2_p9__lamarckian__s18,C2_p9__lamarckian,C2_p9,C2,lamarckian,18,0.5,1.0,9.0,0,4.5,0.2138293874483277,1800,0,44,516,496,472,496,0
C2_p9__lamarckian__s19,C2_p9__lamarckian,C2_p9,C2,lamarckian,19,0.5,1.0,9.0,0,4.5,0.24256198347107438,1800,0,50,526,506,476,506,0
C2_p9__lamarckian__s20,C2_p9__lamarckian,C2_p9,C2,lamarckian,20,0.5,1.0,9.0,0,4.5,0.20779759435918707,1800,0,43,474,454,431,454,0
C2_p9__lamarckian__s21,C2_p9__lamarckian,C2_p9,C2,lamarckian,21,0.5,1.0,9.0,0,4.5,0.1738255033557047,1800,0,39,441,421,402,421,0
C2_p9__lamarckian__s22,C2_p9__lamarckian,C2_p9,C2,lamarckian,22,0.5,1.0,9.0,0,4.5,0.17686537702329252,1800,0,44,435,415,391,415,0
C2_p9__lamarckian__s23,C2_p9__lamarckian,C2_p9,C2,lamarckian,23,0.5,1.0,9.0,0,4.5,0.19232202758106598,1800,0,35,492,472,457,472,0
C2_p9__lamarckian__s24,C2_p9__lamarckian,C2_p9,C2,lamarckian,24,0.5,1.0,9.0,0,4.5,0.21075019334880124,1800,0,35,480,460,445,460,0
C2_p9__lamarckian__s25,C2_p9__lamarckian,C2_p9,C2,lamarckian,25,0.5,1.0,9.0,0,4.5,0.20457232952305873,1800,0,45,475,455,430,455,0
C2_p9__lamarckian__s26,C2_p9__lamarckian,C2_p9,C2,lamarckian,26,0.5,1.0,9.0,0,4.5,0.18107142857142858,1800,0,38,430,410,392,410,0
C2_p9__lamarckian__s27,C2_p9__lamarckian,C2_p9,C2,lamarckian,27,0.5,1.0,9.0,0,4.5,0.2076239822353812,1800,0,40,482,462,442,462,0
C2_p9__lamarckian__s28,C2_p9__lamarckian,C2_p9,C2,lamarckian,28,0.5,1.0,9.0,0,4.5,0.18328298086606243,1800,0,39,474,454,435,454,0
C2_p9__lamarckian__s29,C2_p9__lamarckian,C2_p9,C2,lamarckian,29,0.5,1.0,9.0,0,4.5,0.17965451055662188,1800,0,34,471,451,437,451,0
C2_p9__lamarckian__s30,C2_p9__lamarckian,C2_p9,C2,lamarckian,30,0.5,1.0,9.0,0,4.5,0.20044052863436124,1800,0,46,487,467,441,467,0
