run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C3_f0.3__baldwinian__s1,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,1,0.5,0.3,6.0,0,3.0,0.4998039984319875,1800,0,50,668,648,618,0,0
C3_f0.3__baldwinian__s2,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,2,0.5,0.3,6.0,0,3.0,0.4439516129032258,1800,0,50,625,605,575,0,0
C3_f0.3__baldwinian__s3,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,3,0.5,0.3,6.0,0,3.0,0.4649017248295227,1800,0,50,713,693,663,0,0
C3_f0.3__baldwinian__s4,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,4,0.5,0.3,6.0,0,3.0,0.46480032935364346,1800,0,50,622,602,572,0,0
C3_f0.3__baldwinian__s5,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,5,0.5,0.3,6.0,0,3.0,0.45614035087719296,1800,0,50,659,639,609,0,0
C3_f0.3__baldwinian__s6,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,6,0.5,0.3,6.0,0,3.0,0.490080202617138,1800,0,50,640,620,590,0,0
C3_f0.3__baldwinian__s7,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,7,0.5,0.3,6.0,0,3.0,0.4907048799380325,1800,0,50,697,677,647,0,0
C3_f0.3__baldwinian__s8,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,8,0.5,0.3,6.0,0,3.0,0.45265937382119953,1800,0,50,664,644,614,0,0
C3_f0.3__baldwinian__s9,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,9,0.5,0.3,6.0,0,3.0,0.45861655337864854,1800,0,50,653,633,603,0,0
C3_f0.3__baldwinian__s10,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,10,0.5,0.3,6.0,0,3.0,0.4668335419274093,1800,0,50,581,561,531,0,0
C3_f0.3__baldwinian__s11,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,11,0.5,0.3,6.0,0,3.0,0.46220797068254693,1800,0,50,626,606,576,0,0
C3_f0.3__baldwinian__s12,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,12,0.5,0.3,6.0,0,3.0,0.4497549019607843,1800,0,50,651,631,601,0,0
C3_f0.3__baldwinian__s13,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,13,0.5,0.3,6.0,0,3.0,0.4682850430696946,1800,0,50,683,663,633,0,0
C3_f0.3__baldwinian__s14,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,14,0.5,0.3,6.0,0,3.0,0.46436888681881694,1800,0,50,625,605,575,0,0
C3_f0.3__baldwinian__s15,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,15,0.5,0.3,6.0,0,3.0,0.4669275929549902,1800,0,50,604,584,554,0,0
C3_f0.3__baldwinian__s16,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,16,0.5,0.3,6.0,0,3.0,0.4951417004048583,1800,0,50,618,598,568,0,0
C3_f0.3__baldwinian__s17,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,17,0.5,0.3,6.0,0,3.0,0.4875054800526085,1800,0,50,592,572,542,0,0
C3_f0.3__baldwinian__s18,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,18,0.5,0.3,6.0,0,3.0,0.46153846153846156,1800,0,50,602,582,552,0,0
C3_f0.3__baldwinian__s19,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,19,0.5,0.3,6.0,0,3.0,0.4594942134590656,1800,0,50,650,630,600,0,0
C3_f0.3__baldwinian__s20,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,20,0.5,0.3,6.0,0,3.0,0.507168458781362,1800,0,50,658,638,608,0,0
C3_f0.3__baldwinian__s21,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,21,0.5,0.3,6.0,0,3.0,0.4676864244741874,1800,0,50,685,665,635,0,0
C3_f0.3__baldwinian__s22,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,22,0.5,0.3,6.0,0,3.0,0.441091360066143,1800,0,50,669,649,619,0,0
C3_f0.3__baldwinian__s23,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,23,0.5,0.3,6.0,0,3.0,0.4645030425963489,1800,0,50,672,652,622,0,0
C3_f0.3__baldwinian__s24,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,24,0.5,0.3,6.0,0,3.0,0.46309278350515465,1800,0,50,629,609,579,0,0
C3_f0.3__baldwinian__s25,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,25,0.5,0.3,6.0,0,3.0,0.46253925527142215,1800,0,50,648,628,598,0,0
C3_f0.3__baldwinian__s26,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,26,0.5,0.3,6.0,0,3.0,0.4756148395164652,1800,0,50,587,567,537,0,0
C3_f0.3__baldwinian__s27,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,27,0.5,0.3,6.0,0,3.0,0.45598006644518274,1800,0,50,620,600,570,0,0
C3_f0.3__baldwinian__s28,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,28,0.5,0.3,6.0,0,3.0,0.479351601698186,1800,0,50,691,671,641,0,0
C3_f0.3__baldwinian__s29,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,29,0.5,0.3,6.0,0,3.0,0.4404913172384583,1800,0,50,676,656,626,0,0
C3_f0.3__baldwinian__s30,C3_f0.3__baldwinian,C3_f0.3,C3,baldwinian,30,0.5,0.3,6.0,0,3.0,0.45919208573784004,1800,0,50,635,615,585,0,0
