run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,50,train,50,0.7,31,1,107.16105194242506,0.7708333333333334,0.5,187.0,84.0,31.0,152.0,55.0,23.0,0.0,0.0,29.0,15.0,8.0,30.0,13.0,9.0,0.0,0.0,0.0,0.0,8.0,30.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,100,train,50,0.78,14,14,73.79358335658728,0.875,0.5,281.0,78.0,75.0,215.0,51.0,14.0,0.0,0.0,42.0,7.0,13.0,25.0,11.0,3.0,0.0,0.0,0.0,0.0,13.0,25.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,150,train,50,0.88,12,12,109.96611699251218,0.7708333333333334,0.5,298.0,122.0,87.0,262.0,23.0,12.0,0.0,0.0,35.0,13.0,10.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,200,train,50,0.88,15,15,70.6307083654334,0.8541666666666666,0.5,268.0,85.0,78.0,256.0,120.0,33.0,0.0,0.0,51.0,12.0,13.0,20.0,18.0,1.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,250,train,50,1.02,16,16,71.9061068113122,0.8958333333333334,0.5,264.0,108.0,99.0,216.0,62.0,26.0,0.0,0.0,44.0,14.0,19.0,20.0,12.0,9.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,300,train,50,1.14,14,14,74.08561338853421,0.8541666666666666,0.5,291.0,100.0,115.0,309.0,40.0,26.0,0.0,0.0,39.0,14.0,16.0,25.0,10.0,4.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,350,train,50,1.28,20,20,69.93354758726193,0.8541666666666666,0.5,305.0,107.0,79.0,223.0,86.0,36.0,0.0,0.0,30.0,18.0,16.0,17.0,17.0,9.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,400,train,50,1.42,22,22,94.96600243680001,0.7708333333333334,0.5,306.0,98.0,117.0,334.0,47.0,19.0,0.0,0.0,47.0,6.0,16.0,25.0,5.0,4.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,450,train,50,1.54,16,16,127.65967509460016,0.6458333333333334,0.5,276.0,105.0,132.0,307.0,83.0,29.0,0.0,0.0,34.0,5.0,12.0,16.0,13.0,3.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0
C3_f0.5__baldwinian__s1,C3_f0.5__baldwinian,C3_f0.5,C3,baldwinian,1,500,train,50,1.6,16,16,76.08847832876141,0.8333333333333334,0.5,292.0,120.0,160.0,466.0,96.0,26.0,0.0,0.0,38.0,14.0,18.0,19.0,17.0,2.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0
