run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C3_f0.7__lamarckian__s1,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,1,0.5,0.7,6.0,0,3.0,0.3787279913762127,1800,0,48,521,501,473,501,0
C3_f0.7__lamarckian__s2,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,2,0.5,0.7,6.0,0,3.0,0.4094273470977795,1800,0,50,469,449,419,449,0
C3_f0.7__lamarckian__s3,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,3,0.5,0.7,6.0,0,3.0,0.4075568598679384,1800,0,50,496,476,446,476,0
C3_f0.7__lamarckian__s4,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,4,0.5,0.7,6.0,0,3.0,0.37897398843930635,1800,0,50,520,500,470,500,0
C3_f0.7__lamarckian__s5,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,5,0.5,0.7,6.0,0,3.0,0.3654058024237973,1800,0,50,494,474,444,474,0
C3_f0.7__lamarckian__s6,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,6,0.5,0.7,6.0,0,3.0,0.374414976599064,1800,0,50,515,495,465,495,0
C3_f0.7__lamarckian__s7,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,7,0.5,0.7,6.0,0,3.0,0.4034531360112755,1800,0,40,508,488,468,488,0
C3_f0.7__lamarckian__s8,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,8,0.5,0.7,6.0,0,3.0,0.4008293020041465,1800,0,50,552,532,502,532,0
C3_f0.7__lamarckian__s9,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,9,0.5,0.7,6.0,0,3.0,0.38967838444278236,1800,0,50,489,469,439,469,0
C3_f0.7__lamarckian__s10,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,10,0.5,0.7,6.0,0,3.0,0.3959199093313185,1800,0,50,475,455,425,455,0
C3_f0.7__lamarckian__s11,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,11,0.5,0.7,6.0,0,3.0,0.3939641109298532,1800,0,42,472,452,430,452,0
C3_f0.7__lamarckian__s12,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,12,0.5,0.7,6.0,0,3.0,0.376275028333963,1800,0,50,488,468,438,468,0
C3_f0.7__lamarckian__s13,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,13,0.5,0.7,6.0,0,3.0,0.40050651230101303,1800,0,50,500,480,450,480,0
C3_f0.7__lamarckian__s14,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,14,0.5,0.7,6.0,0,3.0,0.4077834179357022,1800,0,42,463,443,421,443,0
C3_f0.7__lamarckian__s15,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,15,0.5,0.7,6.0,0,3.0,0.37183988764044945,1800,0,41,506,486,465,486,0
C3_f0.7__lamarckian__s16,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,16,0.5,0.7,6.0,0,3.0,0.36926438455935906,1800,0,50,491,471,441,471,0
C3_f0.7__lamarckian__s17,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,17,0.5,0.7,6.0,0,3.0,0.39775910364145656,1800,0,50,500,480,450,480,0
C3_f0.7__lamarckian__s18,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,18,0.5,0.7,6.0,0,3.0,0.36538461538461536,1800,0,50,503,483,453,483,0
C3_f0.7__lamarckian__s19,C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,19,0.5,0.7,6.0,0,3.0,0.39920792079207923,1800,0,50,489,469,439,469,0
