population,n_candidates,paradigm,endpoint,family,n_pairs,delta_mean,delta_sd,ci_low,ci_high,pvalue,effect_size,wilcoxon_stat,pvalue_adjusted
two_cluster,8,individual,minority_welfare,primary,250,0.020523186876977653,0.08853463665172043,0.009494918667321366,0.03155145508663394,0.002883666747645893,0.23180969226442114,12277.0,0.011534666990583572
two_cluster,8,individual,total_welfare,primary,250,-0.0002481078093890906,0.005721172656538287,-0.0009607625275448682,0.00046454690876668705,0.8308369394235359,-0.043366600570172845,15443.0,1.0
two_cluster,8,individual,lambda_winner,primary,250,0.009274733933754626,0.20743632214532742,-0.016564457184661516,0.03511392505217077,0.6652588130125965,0.04471123397211438,4393.0,1.0
two_cluster,8,individual,loser_welfare,exploratory,250,0.031119407216780765,0.019311580793337505,0.028713870800799617,0.033524943632761914,6.260128755102583e-41,1.6114375902109972,354.0,
two_cluster,8,individual,gap,exploratory,250,-0.024205391722695972,0.0416683594234835,-0.029395787944529964,-0.01901499550086198,2.3320688910475826e-19,-0.5809058013705783,5391.0,
two_cluster,8,individual,loser_share,exploratory,250,0.20298000000000002,0.07672330455505282,0.19342300386194872,0.21253699613805133,9.239675450200291e-43,2.6456107590406472,0.0,
two_cluster,8,individual,majority_welfare,exploratory,250,-0.021019402495755846,0.08796660273224256,-0.03197691387336201,-0.01006189111814968,0.0027547765963780112,-0.23894753057289053,12261.0,
two_cluster,8,individual,min_utility,exploratory,250,-0.002988576513730143,0.021168706536711775,-0.005625444774191063,-0.0003517082532692225,0.0001424893704410262,-0.14117898552503488,11334.0,
two_cluster,8,individual,p10_utility,exploratory,250,-0.0021462538206993165,0.02072157864198748,-0.004727425841433899,0.00043491820003526555,0.005252153415006457,-0.10357578723999483,12493.0,
two_cluster,8,individual,gini_utility,exploratory,250,0.004723872379623082,0.04739955533307117,-0.0011804271013574506,0.010628171860603615,0.05778621144536529,0.09966068977712933,13516.0,
two_cluster,8,individual,supporter_welfare,exploratory,250,0.006914015494084794,0.029311043271440802,0.0032629015467389795,0.010565129441430609,0.0002631037418582386,0.23588431943742721,11511.0,
two_cluster,8,score,minority_welfare,primary,250,0.021592037854243785,0.073580681297476,0.01242650084989627,0.030757574858591298,8.220792026731129e-07,0.2934471042331113,10045.0,5.75455441871179e-06
two_cluster,8,score,total_welfare,primary,250,-0.001724316510337029,0.007708894265173734,-0.002684570674937648,-0.00076406234573641,0.01163879391662717,-0.22367883784927856,12800.0,0.03491638174988151
two_cluster,8,score,lambda_winner,primary,250,-0.19107898139265303,0.1925345416023803,-0.2150619404323682,-0.16709602235293786,1.1127060073924591e-30,-0.992440004803225,673.0,8.901648059139673e-30
two_cluster,8,score,loser_welfare,exploratory,250,0.05098846851943386,0.01812664503931622,0.04873053297245457,0.05324640406641315,9.254424784186016e-43,2.8129015826613917,0.0,
two_cluster,8,score,gap,exploratory,250,-0.08220929033222325,0.04518516248181524,-0.08783775518837482,-0.07658082547607169,1.205860964288088e-42,-1.819386847735877,22.0,
two_cluster,8,score,loser_share,exploratory,250,0.32205,0.08479346807930233,0.3114877483912416,0.3326122516087584,9.233099843473582e-43,3.79805198790555,0.0,
two_cluster,8,score,majority_welfare,exploratory,250,-0.02504067087491785,0.07499410540663565,-0.03438227027427045,-0.01569907147556525,2.9223138973432783e-07,-0.3339018545409863,9818.0,
two_cluster,8,score,min_utility,exploratory,250,0.018916103290189983,0.022089256927841507,0.01616456717771292,0.021667639402667048,1.5029752933656205e-27,0.8563485567659793,3240.0,
two_cluster,8,score,p10_utility,exploratory,250,0.025438649503458036,0.02214481637239928,0.02268019265939687,0.028197106347519204,6.667400679724281e-38,1.148740593539719,958.0,
two_cluster,8,score,gini_utility,exploratory,250,-0.05736359118601465,0.05362009570256391,-0.06404274884903785,-0.05068443352299144,7.2924610813409395e-37,-1.0698151585595126,1171.0,
two_cluster,8,score,supporter_welfare,exploratory,250,-0.03122082181278938,0.03221735121681361,-0.035233958407243485,-0.027207685218335276,8.036442964157493e-32,-0.9690685495117873,2252.0,
two_cluster,8,latent_match,minority_welfare,primary,250,0.019654436820791016,0.07116178764021634,0.01079020797144091,0.028518665670141122,5.523320735274246e-06,0.27619369148174006,10487.0,3.313992441164548e-05
two_cluster,8,latent_match,total_welfare,primary,250,-0.0023782379093604078,0.007922477303802957,-0.0033650969274298718,-0.0013913788912909438,0.0002342764594112687,-0.300188668034278,11477.0,0.0011713822970563434
two_cluster,8,latent_match,lambda_winner,primary,250,-0.22577298754112576,0.18225569912818074,-0.24847556823427122,-0.2030704068479803,1.0629902636305453e-36,-1.2387705219705598,0.0,9.566912372674907e-36
two_cluster,8,latent_match,loser_welfare,exploratory,250,0.052728284061779006,0.017819344931436866,0.05050862718333801,0.05494794094022,9.254424784186016e-43,2.959047275007053,0.0,
two_cluster,8,latent_match,gap,exploratory,250,-0.0895806249352856,0.04332116167420958,-0.0949769015583713,-0.0841843483121999,1.018983385889627e-42,-2.0678260109681155,8.0,
two_cluster,8,latent_match,loser_share,exploratory,250,0.34167000000000003,0.08344421999998336,0.33127581673446677,0.3520641832655333,9.235513141477164e-43,4.094591572670559,0.0,
two_cluster,8,latent_match,majority_welfare,exploratory,250,-0.02441091263951184,0.07174090233168387,-0.033347278591166665,-0.015474546687857013,3.6482750745250737e-07,-0.34026492344146236,9866.0,
two_cluster,8,latent_match,min_utility,exploratory,250,0.022210207445014236,0.021851077390124728,0.019488340035355996,0.024932074854672477,3.731155471516403e-33,1.0164353477166217,1958.0,
two_cluster,8,latent_match,p10_utility,exploratory,250,0.029632521433499655,0.021191597422932987,0.026992801782415227,0.03227224108458408,6.366017512594648e-42,1.3983146641617552,161.0,
two_cluster,8,latent_match,gini_utility,exploratory,250,-0.06727523152552223,0.052065424719155234,-0.07376073245451209,-0.06078973059653237,3.010241522360261e-40,-1.2921287378026747,488.0,
two_cluster,8,latent_match,supporter_welfare,exploratory,250,-0.03685234087350658,0.03070011006383369,-0.040676483160121436,-0.03302819858689172,1.1083885669980557e-37,-1.2003976792552458,1003.0,
